title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
香薰手工课：工艺蜡烛与石膏制作从入门到进阶,2020-07-01 00:00:00,生活百科-手工,本书内容定位香薰蜡烛与香薰石膏基础技法讲解及进阶案例制作展示。全书分两部分，第一部分是香薰蜡烛的制作，分为4章，分别是：基础材料工具介绍、基础技法介绍、8款基础款蜡烛制作、18款造型装饰类（网红款）蜡烛制作；第二部分是香薰石膏的制作，分为2章，分别是香薰石膏基础知识和12款香薰石膏案例制作讲解。最后附有香氛科普及选用指导及香薰蜡烛使用指导，供读者参考学习。,13,735,0,38.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/674/34618674/s_34618674.jpg
跟阿瑛轻松学钩针基础入门篇,2018-01-01 00:00:00,生活百科-手工,本书针对初入门的钩针编织爱好者，从基础的工具材料、符号、结构以及图解观看等基础知识入手，配合清晰大图，并适当引用实例，帮助读者完成从编织小白到入门的转变。,8,800,0,13.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/582/25559582/s_25559582.jpg
超有趣的黏土童话书（视频教学版）,2019-10-01 00:00:00,生活百科-手工,继《超有趣的黏土魔法书视频教学版》之后，巧手姐姐的又一力作《超有趣的黏土童话书视频教学版》与大家见面了，让我们一起跟随巧手姐姐用黏土创造童话世界吧！本书一共6章。第1、2章是基础知识章节，第1章介绍黏土手工使用的材料和工具，第2章讲解了黏土手工的基础技法，并且通过10个简单可爱的入门案例让大家熟练手法。第3到6章讲解了四组有趣的黏土童话小作品的制作：小红帽智斗狼外婆、白雪公主的森林奇遇、小美人鱼的浪漫海洋以及灰姑娘的舞会；这里面共有22个案例，包括小物、植物、动物和Q萌人物；不但详细讲解了单品制作，也展示了将单品组合搭建出既可爱又具有故事性的小场景的过程。通过本书的学习，相信你也能创造出黏土童话世界。这本书不仅适合喜欢黏土的小伙伴，还适合所有拥有童话梦的朋友们。,10,955,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/433/27112433/s_27112433.jpg
剪纸大图谱,2018-02-01 00:00:00,生活百科-手工,出版《剪纸大图谱》一书的目的是为了传扬传统文化和美学内涵，感受手工操作带来的愉悦心情，努力降低学习剪纸的难度，增强读者的参与欲望。本书以剪纸的基本技巧为开端，以剪纸大图谱为主要的内容，按照工具、材料与技法，植物，器物、吉祥符号，动物，人物，实用剪纸、名家剪纸等5个部分为切入点，每个部分又用案例做了分步骤的详细操作解说。可以说是一本比较实用，比较全面的剪纸图书。适用对象为剪纸爱好者、幼教和老年大学的老师、父母和孩子。,64,778,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/58/22664058/s_22664058.jpg
木工完全手册,2020-03-01 00:00:00,生活百科-手工,本书通过详细的文字和2000余幅图，为你揭开木工这项技艺的面纱。阅读本书，你将学习如何选择木工用材和装饰用材（原木或人造板材）；将了解木工的“武器”——传统手动工具和电动工具，从简单的钻头到大型机械工具，不一而足——及各种工具（电木铣等）的使用方法；将清楚家具的主要组装方法（胶合、榫卯拼接、指接榫拼接、燕尾榫拼接等）；还将通晓安装各种五金件的方法及各种表面处理工艺（贴面等）。本书细致讲解了一件木工作品的每个环节，意在让你掌握方法，进而能够独立完成自己的作品。总之，这是一本工具书，在众多普适性的木工书中堪称经典，适用人群广，实用性强。有了它，每一位读者都能直接上手操作。,12,821,0,47.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/546/31417546/s_31417546.jpg
一学就会的100个编绳技巧,2019-03-01 00:00:00,生活百科-手工,《一学就会的100个编绳技巧》精选100个简单实用的编绳技巧，重点介绍编绳步骤，使读者在轻松学习编绳技巧的同时体会各种中国特色的绳结所带来的乐趣。书中主要以彩色插图形式介绍，辅以简单的文字叙述，使读者一目了然，轻松学习和掌握。,32,552,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/519/29974519/s_29974519.jpg
跟阿瑛轻松学棒针基础入门篇,2018-01-01 00:00:00,生活百科-手工,本书针对初入门的手工编织爱好者，从基础的工具材料、符号、结构以及图解观看等基础知识入手，配合清晰大图，并适当引用实例，帮助读者完成从编织小白到入门的转变。,12,0,0,13.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/584/25559584/s_25559584.jpg
阿瑛帮你解钩针疑难,2018-04-01 00:00:00,生活百科-手工,本书针对零基础的入门新手、具有一定基础的编织爱好者和具备较好基础的手工编织者，收集了进行钩针编织各个阶段中可能会遇到的问题，以一问一答的形式来解说编织的各个难点，并搭配实例，进行详尽清晰的解答，通俗易懂具有较强实用性。,15,900,0,13.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/842/23914842/s_23914842.jpg
顶级中国结 全图鉴,2014-03-01 00:00:00,生活百科-手工,精美的中国结是凝聚着中国人传统民俗、审美观念、历史传承的结晶。本书对中国现存的中国结编结技法进行了广泛收集、细致分类和甄选，共涉及基础编法、手链、项链、发饰、古典盘扣、耳环、戒指、手机吊饰、挂饰9大分类，240多种中国结技法及方案，并通过图文对照的形式将手工编结的全过程分步呈现。品种全面，花样繁多，看得懂，学得快，是人们学习或手工制作中国结的超值之选。,5,714,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/361/824361/s_824361.jpg
古风黏土手办制作技法教程,2020-04-01 00:00:00,生活百科-手工,相信很多人都想学习用黏土做出喜欢的人物手办吧？随着古风人物越来越受欢迎，大家对古风手办也充满了热情。那么，黏土古风手办制作到底有哪些特别的要点？哪些基础技法是一定要学会的？有没有一些可以体现古风特色的小技巧？这本书就将为你一一介绍，制作黏土古风手办基础且重要的内容。  本书最先介绍了制作黏土手办的材料和工具，帮助读者做好准备。接下来是六章的教程讲解。第一章是基础技法讲解，针对古风手办，将人物比例、肤色、头部、面部、身体等重点模块的基础制作做了介绍，为读者做出后面的案例作品打好基础。第二章至第六章，作者精心设计了5个具有特色的古风人物——Q版女孩、Q版男孩、正比半身人物、正比平面人物以及正比立体人物，从易到难，讲解了各类古风人物的制作过程，每个案例还配有简单的古风道具和场景，并且包含了重难点解析，读者在完成书中作品的同时，可以将技法融会贯通，早日开启自己的创作之路。每个案例都配有教学视频，帮助大家更直观全面的理解制作过程。  本书适合黏土手工新手阅读，可以从零起步，逐步进阶；也适合有一定经验的小伙伴阅读，可以精进技法，做出更完美的作品。,8,875,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/20/30654020/s_30654020.jpg
