title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
过得刚好（2019新版）,2019-10-01 00:00:00,人物传记-娱乐明星,郭德纲亲笔作品，2019年全新修订版，邀请郭德纲老师重新拍摄封面人物照，新锐设计师操刀全新设计。说书、唱戏、讲相声，回首人生，过得刚好。讲述人生四十多年的江湖过往，知无不言，言无不尽。迄今为止，首次人生回顾，荣辱浮沉，冷暖自知，自浊自清自安然。书中的文字记录了郭德纲这些年的心路历程以及对人生、相声艺术、生活的感悟和思考，行文冷静，不煽情，不夸张，不做作，不隐瞒，不回避。本书有着极其鲜明的郭式风格，嬉笑怒骂皆成文章，妙语连珠，文字独特，语言幽默风趣，读之不禁令人捧腹，为我们营造了一份无与伦比的阅读快感，这份快感和他的相声作品一样过瘾。即使面对着台下无人的惨淡局面，郭德纲依然保持着他的幽默感。过得刚好，这是郭德纲式幽默，也是郭德纲的人生态度。我争者人必争，极力争未必得。我让者人必让，极力让未必失。真放肆不在饮酒放荡，假矜持偏要慷慨激昂。万事留一线，江湖好相见。,20,748,0,26,https://wfqqreader-1252317822.image.myqcloud.com/cover/703/26687703/s_26687703.jpg
十年一觉电影梦：李安传,2013-04-01 00:00:00,人物传记-娱乐明星,《十年一觉电影梦》是导演李安以人称“我”口述的方式，讲述自己电影生涯首个十年的追梦历程。这不仅是一个坚持“理想不死”的电影人的成长告白，更是一部探究“如何面对磨难和荣耀”的自我对话。美国《时代》周刊说，李安荣膺“全球超具影响力的艺术与娱乐人士”，当之无愧。张艺谋说，在东西方世界里游刃有余地行走的导演，恐怕华语影坛里只有李安一人。陈文茜说，李安终于跃上峰顶，成了东西方电影世界没有人可以忽视的导演。站在荣耀的巅峰，李安却通过《十年一觉电影梦》告诉所有人，他眼中的自己，是“一个没用的人”：他，两次高考落榜，却意外步入舞台生涯；他，在纽约名校高分毕业后，遭遇“毕业即失业”；他，在美国煮饭、带孩子，做全职“家庭煮夫”，整整六年；人往四十岁走，他才华满腹，却只能在剧组守夜看器材，扛沙袋，做苦力。他“不好意思再谈什么理想”，却不知理想已深埋心底。李安活得很明白。他说，我真的只会当导演，做其他事都不灵光。《十年一觉电影梦》，讲述一个导演的自我修养，一个男人的征服与温存。,8,808,0,41.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/210/26776210/s_26776210.jpg
曼巴精神：科比自传,2018-11-01 00:00:00,人物传记-娱乐明星,你永远不知道明天和意外那个先来，缅怀科比，曼巴精神永在！科比惟一官方认证传记。自强自律、永不服输的“曼巴精神”真义，科比写给青年人的励志经典。这是篮球巨星科比·布莱恩特的自传，也是他对自己篮球生涯的惟一一次全面总结。这是一本存有大量科比笔迹的出版物，科比的亲笔手书贯穿全书始终，足见科比对这本书用心至深。本书以“曼巴精神”为主旨，将带读者进入科比的精神世界，发现这位篮球史上传奇球星的成功秘密。科比是一生偶像，“曼巴精神”是一生信仰。,25,825,0,63,https://wfqqreader-1252317822.image.myqcloud.com/cover/702/23458702/s_23458702.jpg
苍炎（套装全2册，世界花滑王者羽生结弦个人自传）,2020-10-01 00:00:00,人物传记-娱乐明星,"羽生结弦：1994年12月7日生于日本仙台市。
2014年获得索契冬奥会金牌，成为亚洲首位男子单人滑冠军。
2014年、2017年世界花样滑冰锦标赛男单冠军。
2013—2016年赛季花样滑冰大奖赛总决赛四连冠。
2012—2015年赛季，全日本花样滑冰锦标赛四连冠。
2018年蝉联平昌冬奥会冠军，66年以来位蝉联冬奥会男单冠军的花样滑冰选手。
2020年获得四大洲花样滑冰锦标赛男单比赛冠军，成为男单史上，实现奥运会、世锦赛、大奖赛总决赛、四大洲赛全满贯人。2020年，荣获国际滑联2019-2020赛季MVS。
19次打破世界纪录，短节目112.72分、自由滑223.20分、总成绩330.43分的世界纪录保持者。",8,953,0,73.3,https://weread-1258476243.file.myqcloud.com/weread/cover/84/3300008984/s_3300008984.jpg
娜是光照亮的地方（独家定制版）,2020-04-01 00:00:00,人物传记-娱乐明星,【微信读书全网独家首发，独家定制版】她曾是孤注一掷的小女孩，想要凭借自己的努力，改变家庭的困境；她曾是日夜不休的工作狂，想要在闪闪发光的舞台上证明自己……后来，“他来了，她变了”。他的出现，让她学会了放轻松，学会享受当下。她曾坐着轮椅主持节目；她曾差一点吐在舞台上；她曾连呼吸都感到困难；她戒掉了自己爱吃的火锅，想喝的可乐，不买衣服，不出门，甚至推掉自己心爱的工作……她有了自己小小的家，迎来了两个鲜活的小生命；性格大大咧咧的她，第一次做妈妈，却做的让所有人都意想不到的好。她从150多斤身材走样，坚持锻炼，练出马甲线，只为证明“她可以，你也可以！”；她白天录制节目，晚上飞回家照看宝宝，做到了家庭事业两不误；她想成为一个好女儿、好妻子、好妈妈，也想成为更好的自己。300多个日日夜夜，80000字暖心手记，她说：“希望能够带给你们快乐和积极的能量。”勇敢哭、用力笑、别逞强。,13,826,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/174/30552174/s_30552174.jpg
奥黛丽·赫本：美丽天使，上帝身边的女人（珍藏版）,2016-09-01 00:00:00,人物传记-娱乐明星,"    本书通过奥黛丽·赫本身边亲人和朋友的视角，还原这位美丽女子从一个平凡女孩到传奇明星、再到亲善大使的一生。文中以奥黛丽·赫本所塑造的每个电影形象为情节线索，在幕后拍摄所发生的插曲中深入细致地挖掘她众多优良的品德。书中还围绕奥黛丽·赫本的几段感情故事展开描述，向读者展示了这个卓然不群的银幕巨星不为人知的坎坷感情历程和心路历程。从小被父亲遗弃的孤女，到二战时期的贫困儿，再到两次婚姻失败的女人，爱的创伤使奥黛丽·赫本的一生都在忧伤中度过。但她并未就此抱怨和沉沦，她坚信爱可以疗伤，因此以积极的态度去面对人生，用爱去拥抱这个世界……
",12,718,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/607/842607/s_842607.jpg
过得刚好,2013-06-01 00:00:00,人物传记-娱乐明星,郭德纲亲笔作品，讲述人生四十年的江湖过往，知无不言，言无不尽。迄今为止，唯一人生回顾，荣辱浮沉，冷暖自知，自浊自清自安然。书中的文字记录了郭德纲这些年的心路历程以及对人生、相声艺术、生活的感悟和思考，行文冷静，不煽情，不夸张，不做作，不隐瞒，不回避。本书有着极其鲜明的郭式风格，嬉笑怒骂皆成文章，妙语连珠，文字独特，语言幽默风趣，读之不禁令人捧腹，为我们营造了一份无与伦比的阅读快感，这份快感和他的相声作品一样过瘾。即使面对着台下无人的惨淡局面，郭德纲依然保持着他的幽默感。,3,644,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/461/642461/s_642461.jpg
生活的艺术家,2013-04-01 00:00:00,人物传记-娱乐明星,一直以来，李小龙都以一个功夫高手的形象闻名于世。但本书却告诉读者，李小龙绝不仅仅是一介武夫，他还是出色的哲学家、心理学家、作家、诗人、艺术家、演员、社会学家和灵魂的探求者。他有着明确的人生追求——就是在生活的每个层面都力求完美，成为一个生活的艺术家。在本书中，李小龙畅谈了他对功夫的独到看法和对人生的精妙洞见。这些鲜活的文字透过时空，将一代功夫之王丰富细腻的内心世界再现于读者面前。翻开这本书，聆听李小龙生命的交响曲，揭秘他传奇人生的智慧源泉。,25,770,0,19.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/638/915638/s_915638.jpg
苍炎2：飞翔篇,2020-12-01 00:00:00,人物传记-娱乐明星,本书是羽生结弦《苍炎》的续篇，《苍炎》出版的当时，羽生结弦刚刚在世界花样滑冰界崭露头角，在书中谈起梦想时，他表示自己希望有一天能拿下奥运金牌。在索契冬奥时，年轻的他终于成为了奥运冠军。本书由羽生亲自叙述2012年世界锦标赛至2016年世界锦标赛的花滑生涯，包括下定决心离开日本、远赴加拿大训练、索契冬季奥运会上首次夺金，以及创下史上首度超过总分三百分的历史纪录。这一路上，羽生始终与伤病不断搏斗，但仍屡屡突破困境，达成更高的目标。,6,955,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/93/35539093/s_35539093.jpg
科比：黄金年代,2016-06-01 00:00:00,人物传记-娱乐明星,2016年4月，NBA著名球星科比将退役，就此带着一系列传奇记录离开篮球场。20年的NBA篮球生涯，这位才华无可非议但经历了无数争议事件的球员，给我们留下了很多记录和故事。在这位NBA伟大球星的身上，投射的是我们一代人的青春！本书由国内著名篮球专栏作家张佳玮撰写，将为球迷朋友还原科比的传奇一生。,13,791,0,4.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/892/822892/s_822892.jpg
