title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
设计心理学（1-4册）,2016-10-01 00:00:00,艺术-设计,能改变世界的商业思维书籍！设计学知名力作，设计师必读经典！《设计心理学（全四册）》包括了《设计心理学1：日常的设计》《设计心理学2：与复杂共处》《设计心理学3：情感设计》《设计心理学4：未来设计》。《设计心理学（全四册）》内容简介：诺曼博士用诙谐的语言讲述了许多我们日常生活中常常会遇到的挫折和危险，帮我们找到了这些问题的关键，即产品设计忽略了使用者在一定情境中的真实需求，甚至违背了认知学原理。诺曼博士本书中强调以使用者为中心的设计哲学，提醒消费者在挑选的物品，必须要方便好用，易于理解，希望设计师在注重设计美感的同时，不要忽略设计的一些必要因素，因为对于产品设计来说，安全好用永远是竞争的关键。对未来产品设计中可能面临的问题进行了多角度的分析，并探讨了解决方法和指导原则。从“话唠”GPS系统到“坏脾气”的冰箱，诺曼博士用诙谐的语言和生动的案例，大胆预测了未来产品的发展趋势，并总结了未来产品设计的六大法则。本书可以启发到人们用一种全新的视角看设计，并揭示了在未来设计中设计师应该坚持的方向和原则。,32,836,0,100.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/353/857353/s_857353.jpg
写给大家看的设计书（第4版）,2016-01-01 00:00:00,艺术-设计,平面设计入门经典大作、 零基础自学平面设计师指导手册！ 让人人都能成为设计师！在这部畅销全球多年、影响了一代设计师的经典著作中，Robin　Williams将优秀设计的秘诀归纳为对比、重复、对齐和亲密性四条基本原则，并用简洁通俗、幽默生动的文笔，同时配以大量经过修改进行前后对比的实例图解和设计练习（并提供解答），直观清晰地传授给读者。通过本书，普通读者很快就能够自信地设计出专业级别的作品，而专业设计师也将从中获得灵感和解决问题的途径。,10,787,0,39.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/758/907758/s_907758.jpg
设计思维手册：斯坦福创新方法论,2019-11-01 00:00:00,艺术-设计,本书是一本极具可操作性的未来商业指南。通过质疑当前的状态和缺点，作者提供了开启数字化转型所需的工具和框架。设计思维以一种强大的用户导向和多学科团队的快速迭代来解决问题，它同样适用于重新设计产品、服务、流程、商业模式和生态系统。本书描述了如何在不同的行业中应用设计思维，面对包含数字化转变在内的常见挑战，作者提供了一套有效的解决方案，以一种实用的、高度可视化的方式展示将设计思维如何融入管理、创新和创业的方法中。,11,765,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/244/27414244/s_27414244.jpg
设计心理学1：日常的设计（增订版）,2015-10-01 00:00:00,艺术-设计,诺曼博士《设计心理学》中强调以使用者为中心的设计哲学，提醒消费者在挑选的物品，必须要方便好用，易于理解，希望设计师在注重设计美感的同时，不要忽略设计的一些必要因素，因为对于产品设计来说，安全好用永远是竞争的关键。诺曼博士用诙谐的语言讲述了许多我们日常生活中常常会遇到的挫折和危险，帮我们找到了这些问题的关键，即产品设计忽略了使用者在一定情境中的真实需求，甚至违背了认知学原理。,12,743,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/925/833925/s_833925.jpg
服装色彩搭配,2018-04-01 00:00:00,艺术-设计,作为服装设计专业学生的基础课程之一，《服装色彩搭配》扮演着学习与应用的重要角色，对学生的专业学习具有特别的意义。本书在讲授色彩相关理论的同时，加入了大量设计案例，从实践的角度对色彩知识进行全面分析，力求揭示服装设计、服装搭配领域中的各种色彩规律，有助于深入理解和运用色彩知识。本书最后一章在前面诸内容的基础上，设置了拓展性实操练习，目的在于多维度激发学生寻找灵感图和灵感色，开阔学生进行服装色彩搭配的艺术视野与想象力，建立服装色彩搭配与大千世界的联系。《服装色彩搭配》适用于服装设计专业院校师生以及服装色彩设计师、造型师、陈列师等相关从业人员参考学习。,11,723,0,26,https://wfqqreader-1252317822.image.myqcloud.com/cover/754/32011754/s_32011754.jpg
设计力就是沟通力,2020-12-01 00:00:00,艺术-设计,让你的设计作品瞬间打动用户的77个简单方法日本“视觉营销”大师宇治智子30年设计实战经验大公开！好设计VS坏设计案例对比，轻松掌握版式、字体、配色、图表、留白、照片的致胜法则清晰易懂，快速精通，海报、宣传单、PPT、招牌、网页多领域一本满足！帮助新手设计师少走弯路，打破成熟设计师的思维误区，教你做出和用户快速沟通的商业设计独创“AISUS”设计理念，让你的设计思维焕然一新，让你的设计作品“开口说话”！非专业人士也可以学习的设计技巧，最新、最实用的设计案例，教你从零开始学设计不仅仅适用于设计师，所有人都应该买回家看一看的视觉营销战略之书！,30,586,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/949/35449949/s_35449949.jpg
设计学概论（全新版）,2016-11-06 00:00:00,艺术-设计,本次《设计学概论（全新版）》是第四次修订，全书在基本不改变原修订版全貌的前提下，对几乎全部章节都作了较大的改写，增设了“现代设计”、“新媒介设计”、“设计师的从业指南”等章节，在每章后增补了有利于课程考试复习的“课后回顾”，并增补了“设计专业术语表”和“进一歩阅读书目”，内容涵盖设计学以及学科的理论发展与历史沿革。《设计学概论（全新版）》可作为各大专院校艺术、设计类相关专业的指定教材和研究生考试的指定用书。也是艺术与设计理论研究者、从业人员以及爱好者必备的设计理论与批评类读物。,5,830,0,25.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/551/852551/s_852551.jpg
设计师要懂心理学,2013-05-01 00:00:00,艺术-设计,《设计师要懂心理学》出自国际知名的设计心理学博士Susan M. Weinschenk之手，内容实用，示例清晰，以创造美观实用的设计为宗旨，讨论了设计师必须了解的100个心理学问题，每个问题都配以权威经典的示例，并给出即学即用的设计建议，篇幅简短，让你轻松理解设计背后的心理学动机，拓展视野，创新思维，为你的设计打造全新用户体验。,23,735,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/769/907769/s_907769.jpg
创意配色与设计：设计师必备色彩搭配手册,2015-06-01 00:00:00,艺术-设计,在我们的生活中充满了五彩缤纷的色彩，并被应用到各个领域中，不同的色彩会给人不同的色彩感受和意象，色彩在不知不觉中影响着人们的思想感情和情绪。因此，在设计工作中色彩是非常重要的元素，是针对目标群体的性别、年龄、兴趣爱好来制作更传神的广告、杂志封面时不容忽视的要素。色彩信息传递的速度是很快的，在进入眼球的瞬间即可在人的头脑中形成一种印象。因此，可以毫不夸张地讲，不同的色彩搭配足以左右设计本身的效果和表现力。《创意配色与设计——设计师必备色彩搭配手册》这本书并非单纯地指导读者如何选择颜色，而是针对那些有既定目标的设计方案，分析如何才能使配色更具效果和表现力。本书一共由基本配色理论、色彩的选择、基本配色规律、配色应用技巧、配色及色谱这5章内容构成。书中提出的配色理念简单易行，带你梳理色彩创作的切入点，正确判断和思考色彩集合、色彩参照等配色概念，迅速理解色彩与图像的关系、色彩关键词等设计重点，将优秀作品的色彩运用到自己的作品中。本书内文的装帧设计运用了书中所讲的用色技巧，每一页都是配色学习的参考作品。,7,778,0,23.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/431/22623431/s_22623431.jpg
版式设计从入门到精通：基础理论+图文编排+网格运用+色彩搭配+商业实训,2021-06-01 00:00:00,艺术-设计,本书共9章，集合了100多个版式原理讲解、200多个案例分析和7个商业项目分析。第1章主要介绍点、线、面的基本概念和“三率一例”，以及它们在版式设计中的实际运用；第2章主要介绍元素之间的视觉关系对排版布局的影响；第3章从构图和情感方面介绍版式的基本类型；第4章主要介绍如何选择和运用字体，以及文字对版面的影响和排版技巧；第5章主要介绍图片素材的选择方法和排版技巧；第6章主要介绍版面的几种常见网格系统及其作用；第7章主要介绍色彩在版式设计中的搭配方法，并从色彩的基本原理和色彩的心理效应两个方面进行分析；第8章和第9章主要分析平面设计和网页/App设计的商业项目，同时通过修改前和修改后对比分析的方法帮助读者了解商业设计的工作流程和注意事项。,10,0,0,49.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/607/39985607/s_39985607.jpg
