title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
古诗词里的快意人生：瞧，这才是风流！,2020-01-01 00:00:00,文学-古代诗词,这是一本干货满满、风趣好玩，又不乏理性思考与历史深度的经典诗词读本。作者沿着先秦、魏晋、唐、宋、明、清的历史轨迹，引领我们与屈原、竹林七贤、李白、杜甫、白居易、欧阳修、苏轼、陆游、袁枚等伟大的诗人相遇。每一个诗人都是一个传奇，每首诗词都有它的故事。作者将诗人生平与经典诗作融入文章，让我们读懂传奇，重温经典，品味这一个个煜煜生辉的名字亘古不息的生命力。每个诗人都是有温度的，每一首诗都是有温度的，愿它们能在某一刻，能温暖你的心灵。让我们翻开它，去找寻属于中国人的美好磅礴的诗的记忆，去领略中国文学史上最璀璨的风景。,7,911,0,20.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/731/31471731/s_31471731.jpg
顺着历史学古诗,2021-06-05 00:00:00,文学-古代诗词,本书是蒙曼老师在全面理清中国历史与诗歌流派的基础上，按照中国历史的发展顺序，精心设计6个站点——春秋战国、秦汉、三国两晋南北朝、隋唐、宋、元明清，挑选30首必背古诗，关联100+经典诗篇，跟随蒙曼老师一起，回到历史现场，了解诗歌背景，走进诗人，抓住古诗精髓，把握意象、情感、写作手法，击破各个知识点，诗体、流派、成语、典故等超多硬核知识，一网打尽。每一处都仔细拆解，深入分析，让孩子真正读懂每一首诗，速成诗词小达人。,8,928,0,28.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/296/39889296/s_39889296.jpg
诗经,2017-12-01 00:00:00,文学-古代诗词,韩寒推荐。收录全篇305首，骆玉明解注，203幅细井徇全彩名物图，随文注音，无障碍诵读。,50,876,0,28,https://wfqqreader-1252317822.image.myqcloud.com/cover/848/931848/s_931848.jpg
戴老师高能唐诗课,2022-02-01 00:00:00,文学-古代诗词,“国民教授”戴建业2022开年新作——《戴老师高能唐诗课》，倾情讲解20余位著名唐代诗人的80余首代表作品，延伸讲解100余首，倾注近40年心血研究的精彩呈现。从唐高祖武德元年到唐玄宗先天初年，约百年的初唐诗坛，从王绩到陈子昂，从虞世南、上官仪到沈佺期、宋之问，许多诗人从不同侧面为盛唐诗歌积累了大量的经验。开元十五年前后，孟浩然、王维、李白、杜甫、岑参等人先后登上诗坛，这就是诗国的“盛唐”，唐朝诗歌大放异彩，甚至不仅仅使唐朝，也使中国古典诗歌步入黄金时代。中唐诗坛上出现了韩愈、白居易、刘禹锡、柳宗元、李贺、孟郊等著名诗人，中唐诗坛仍旧百花齐放。即使到了晚唐，也涌现出了杜牧、李商隐、温庭筠，那时的诗坛仍旧“夕阳无限好”。如果说盛唐的李白与杜甫，是珠穆朗玛峰的，它的壮伟雄奇让人震撼；中唐白居易、韩愈、柳宗元、刘禹锡等人，就是珠穆朗玛峰的山腰，它多彩多姿的景象仍然非常壮观。而“小李杜”等人，就是珠穆朗玛峰的山麓，它独特的风景照样让人迷恋。总之，初唐、盛唐、中唐，到晚唐，唐诗中的牛人及其代表作品，这本书里都会讲到。,6,925,0,39.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/691/43168691/s_43168691.jpg
中国最美古诗词：你应该熟读的中国古诗+你应该熟读的中国古词+你应该熟读的中国古文（全集）,2018-10-01 00:00:00,文学-古代诗词,《中国最美古诗词》套装由复旦大学中文系主任陈引驰先生主持编著，甄别、挑选历代古诗263首，古词250首，古文90篇，加以注释和赏析。阅读这些古诗词，能使我们增长见识，得到教益，也对整个中国古代诗词的流转有最直接的认识。希望本书能成为面对卷帙浩繁的古典诗词时最好的观澜平台。,81,857,0,50,https://wfqqreader-1252317822.image.myqcloud.com/cover/206/23528206/s_23528206.jpg
半小时漫画古诗词系列全集（全5册）（独家定制版）,2021-04-01 00:00:00,文学-古代诗词,读完这些爆笑的古诗漫画，孩子多半会主动背古诗！通过手绘漫画和段子，陈磊（混子哥）领衔的半小时漫画团队带孩子走进有趣的古诗词世界：《诗经》曾被秦始皇要求“下架烧毁”，靠着文人背诵、默写的看家本领，它才有机会成为汉朝的正统教材；田园派诗歌开创者陶渊明，四次当官又四次辞官，最后却在“采菊东篱下，悠然见南山”中成了快乐的酒鬼；谢灵运能写出“池塘生春草，园柳变鸣禽”等优秀的山水诗，不仅因为他本身特有才，还因为他家里有钱，可以游山玩水不上班……李白喊出“安能摧眉折腰事权贵，使我不得开心颜”是因为朝廷总不让他当大官，内心憋屈。万众期待的诗圣杜甫终于登场，前半生是“会当凌绝顶，一览众山小”的狂放青年，后半生是“国破山河在，城春草木深”的愁苦大叔。翻开本书，在哈哈大笑中成为古诗词学霸！,13,835,0,199.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/446/26573446/s_26573446.jpg
枕上诗书：一本书读懂最美古诗词,2019-05-30 00:00:00,文学-古代诗词,"品读古典诗词中的浪漫与哀愁，读一首诗，讲一段故事。
全书从每小节的引子，到文中引申，涵盖中国古代经典诗词歌赋近百首。
每个诗词歌赋，引出一段发人深思的故事，每个故事的背后，隐藏着更多的诗词歌赋……
书名取李清照的词：“枕上诗书闲处好，门前风景雨来佳。”全书汇集从先秦到大清，各大家、各种类经典诗词歌赋，由作者解析创作而成。
书中有闲情，有深意，有情怀，也有故事，读来轻松愉悦。",7,853,0,45,https://weread-1258476243.file.myqcloud.com/weread/cover/84/3300019884/s_3300019884.jpg
唐诗三百首,2016-03-22 00:00:00,文学-古代诗词,《唐诗三百首》以诗人活动时间的先后为顺序，集合了唐代诗歌的精华。所选诗作，都是唐诗中脍炙人口的佳作名篇，其中包括唐诗各个时期各个流派的代表作。其体裁和题材非常广泛，包括自然现象、政治动态、劳动、社会生活等等，比较全面地反映了唐诗的全貌，能够帮助读者体会唐诗的深层内涵。,93,814,1,0,https://wfqqreader-1252317822.image.myqcloud.com/cover/861/814861/s_814861.jpg
课本里的古诗词,2019-11-01 00:00:00,文学-古代诗词,北师大文学院副教授﹑中央电视台“中国诗词大会”命题组专家谢琰老师，以他对古诗词的研究以及对古诗词教育的观察，提出了新的认识。他认为越是常见的诗词，就越容易对其产生“审美疲劳”和“认知疲劳”。而让大家感到“疲劳”的这些诗词，恰恰是中国古代诗词中优美而又基础的部分。轻率对待基础诗词，急于去学习字数更多、难度更大的作品，结果只能是“欲速则不达”。因此，孩子们、家长们、老师们应该高度重视那些常见的诗词，养成正确的阅读习惯和思考习惯，才有可能成为真正意义上的“诗词达人”。基于这样的认识，谢琰老师以“教育部统编小学语文教科书”中的古诗词篇目为主，选定100首古诗词。紧密配合小学生的课堂学习而量身定制，对于小学生应该掌握的古诗词基本实现了“全覆盖”。编写以“大学标准，小学趣味；重知识，重审美；随物赋形，灵活拓展；从易到难，从浅到深”为原则，以深厚的专业素养、活泼幽默的文风，为孩子们呈现了一本诗词解读佳作。,16,891,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/633/27269633/s_27269633.jpg
半小时漫画宋词（全2册）（独家首发）,2020-08-01 00:00:00,文学-古代诗词,"熟读宋词三百首背后的故事，准确理解宋词的原意、深意和诗意。别光笑，有考点！内含初高中必考古诗文的注释+翻译，由原中考命题组组长忍住笑亲自出马撰写！翻开本书，了解伟大词人一生的悲欢离合，感受千古名句背后的喜怒哀乐。大文豪苏轼的“竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生”看着乐观旷达，却是在他跌到人生谷底时所写。心怀天下的范仲淹能写出“浊酒一杯家万里，燕然未勒归无计”这样的豪放词，是因为他曾驻守边疆，打过西夏人。词坛偶像柳永的“有三秋桂子、十里荷花”，由于写得太过优美，竟然让金国皇帝动了攻打宋朝的心思。绝代才女李清照的“寻寻觅觅，冷冷清清，凄凄惨惨戚戚”抒发的不是闺愁，而是亡国之恨、丧夫之哀、孀居之苦。名将词人辛弃疾的“众里寻他千百度。蓦然回首,那人却在,灯火阑珊处。”看似是在寻找心上人，其实表现的是自己不受重用的惆怅。抛开枯燥的讲解，丢掉公式化的赏析，用幽默的方式讲述严肃的知识，让你在哈哈大笑中掌握考试的重点，并重新爱上宋词。",9,861,0,59.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/311/32879311/s_32879311.jpg
唐诗（国学大书院）,2018-09-01 00:00:00,文学-古代诗词,《唐诗》精选唐朝三百余首古诗，囊括了各种题材，隐居、干谒、应试、落第、恩遇、迁谪、忧国忧民、辞官归田、相思、离别、慈幼、友爱……明白易解，反映了唐朝生活背景和时代特征。细细品味，也可获陶冶性情之益处，并修养、激发人心。,94,855,0,11.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/451/26796451/s_26796451.jpg
诗经（彩图精装）,2013-10-01 00:00:00,文学-古代诗词,《诗经》共收录作品305篇，最初只称为《诗》或“诗三百”，它是中国文学史上第一部诗歌总集，向来被认为是中国古典文学之源，其现实主义的创作手法和多样式的文学风格，对后世文学影响极大，被后人尊奉为五经之一。,8,853,0,5.96,https://wfqqreader-1252317822.image.myqcloud.com/cover/306/813306/s_813306.jpg
唐诗三百首,2018-04-11 00:00:00,文学-古代诗词,"《唐诗三百首》是清蘅塘退士编选的一部普及读物，收录了77家诗，共311首。历来都说：“熟读唐诗三百首，不会吟诗也会吟。”其注释本中最为简明、影响较大的是才女陈婉俊的《唐诗三百首补注》，“考核援引,俱能精当”。",49,796,0,14,https://wfqqreader-1252317822.image.myqcloud.com/cover/494/29793494/s_29793494.jpg
四时之诗：蒙曼品最美唐诗,2018-04-01 00:00:00,文学-古代诗词,本书是著名隋唐史学者、中国诗词大会评委蒙曼老师讲解唐诗的首部作品，蒙曼老师带你重返大唐，品读最美唐诗。该书以古典24节气和现代节日为切入点，带领读者在四季时令中阅读精选的唐诗作品，品味唐诗的语言美、文学美，讲述文化典故、进入诗人心境。以此为主题精心编排修订32首诗文讲稿。这些诗围绕着四季的节气和节日，其实就是围绕着唐代的岁月轮回，围绕着唐人的生命轮回。希望在这轮回中看到他们——李白、杜甫、王维，更希望在这轮回中看到我们——你我和他（她）。我们和他们，古代和今天，传统和未来，就相遇在这如许美妙的四时之诗中。让我们和蒙曼老师一起，细细领略那穿越千年而来的风花雪月，和那历经千年而不朽的绣口锦心。,12,870,0,22.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/908/931908/s_931908.jpg
