title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
汽车为什么会跑：图解汽车构造与原理（精装典藏版）,2018-10-24 00:00:00,科学技术-工业技术,《汽车为什么会跑：图解汽车构造与原理（精装典藏版）》采用一问一答的形式，结合大量精美的汽车图片、通俗文字说明、中英文注释，以及130个视频，精准地介绍了汽车各个总成部件的构造、原理及最新的汽车技术与配置等。,18,945,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/761/26688761/s_26688761.jpg
电子元器件从入门到精通（全2册）,2019-01-01 00:00:00,科学技术-工业技术,《电子元器件从入门到精通》分为上、下两篇。上篇为基础入门篇，以行业资格规范为标准，选用典型元器件，全面系统地介绍了各种常用电子元器件的功能、特点、识别、应用及检测方法。主要内容包括电子基础知识、电阻器的功能特点与识别检测、电容器的功能特点与识别检测、电感器的功能特点与识别检测、二极管的功能特点与识别检测、三极管的功能特点与识别检测、场效应晶体管的功能特点与识别检测、晶闸管的功能特点与识别检测、集成电路的功能特点与识别检测和常用电气部件的功能特点与识别检测等。下篇为维修应用篇，以电子电工行业的技能要求为引导，从电路图的识读方法与技巧入手，详细介绍了电子元器件在电子产品及各控制电路中的维修检测技巧。主要内容包括电路图的识读方法与技巧、元器件拆卸焊接工具的特点与使用、空调器中元器件的检修、电冰箱中元器件的检修、液晶电视机中元器件的检修、电风扇中元器件的检修、电热水壶中元器件的检修、微波炉中元器件的检修、电磁炉中元器件的检修、电动机控制电路中元器件的检修、变频控制电路中元器件的检修和照明控制电路中元器件的检修等。本书内容采用彩色图解的样式，内容由浅入深，层次分明，重点突出，理论和实践相结合，非常方便读者学习。本书在重要知识点附印二维码，读者只需用手机扫描书中的二维码，即可在手机上实时浏览对应知识点的教学视频，帮助读者轻松理解复杂难懂的专业知识。本书可供电子电工技术人员学习使用，也可作为职业院校及培训学校相关专业教材使用。,36,850,0,64.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/357/29974357/s_29974357.jpg
Flink原理与实践,2021-03-01 00:00:00,科学技术-工业技术,本书围绕大数据流处理领域，介绍Flink DataStream API、时间和窗口、状态和检查点、Table API和SQL等知识。本书以实践为导向，使用大量真实业务场景案例来演示如何基于Flink进行流处理。本书主要面向对大数据领域感兴趣的本科生、研究生，想转行到大数据开发行业的在职人员，或有一定大数据开发经验的相关从业人员。读者最好有一定的Java或Scala编程基础，掌握计算机领域的常见技术概念。,16,977,0,38.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/88/37157088/s_37157088.jpg
电工一本通,2018-10-01 00:00:00,科学技术-工业技术,本书采用全彩色图解的形式，以电工行业的工作要求和规范作为依据，全面系统地介绍了电工的相关知识。通过对内容的学习，电工初学者不仅可以轻松入门掌握电工的基础知识，而且还可以深入掌握电工相关技能，并在工作中熟练应用，最终成为一名合格的电工技术人员。本书采用微视频讲解互动的全新教学模式，在内页重要知识点相关图文的旁边附印了二维码。读者只要用手机扫描书中相关知识点的二维码，即可在手机上实时浏览对应的教学视频，视频内容与图书涉及的知识完全匹配，复杂难懂的图文知识通过相关专家的语言讲解，帮助读者轻松领会，这不仅进一步方便了学习，而且还大大提升了本书内容的学习价值。本书可供电工学习使用，也可供职业院校、培训学校相关专业的师生学习使用。,14,921,0,61.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/327/24982327/s_24982327.jpg
电气工程师自学成才手册（基础篇）,2018-01-01 00:00:00,科学技术-工业技术,本书分为基础篇、提高篇、精通篇三册，本书为基础篇，主要介绍了电工基础知识、电工工具的使用与导线选用连接、电工电子测量仪表的使用、低压电器、电子元器件、变压器、电动机、三相异步电动机的常用控制电路、单相异步电动机及控制电路、直流电动机及控制电路、常用机床电气控制电路、变频器入门、PLC入门等内容。,26,837,0,51,https://wfqqreader-1252317822.image.myqcloud.com/cover/556/23914556/s_23914556.jpg
模拟电路和数字电路自学手册,2018-09-01 00:00:00,科学技术-工业技术,本书是一本介绍模拟电路、数字电路和电力电子电路的图书，主要内容有电路分析基础、放大电路、集成运算放大器、谐振电路与滤波电路、正弦波振荡器、调制与解调电路、频率变换电路与反馈控制电路、电源电路、数字电路基础与门电路、数制编码与逻辑代数、组合逻辑电路、时序逻辑电路、脉冲电路、A1D(模/数)和D/A(数/模)转换电路、半导体存储器、整流电路CAC-DC变换电路)、斩波电路CDC-DC变换电路)、逆变电路CDC-AC变换电路)、PWM控制技术、交流调压电路、交-变变频电路CAC-AC变换电路)。本书具有起点低、由洗入深、语言通俗易懂的特点，并且内容结构安排符合学习认知规律。本书适合作为模拟电路、数字电路和电力电子电路的自学图书，也适合作职业学校电类专业的电子电路教材。,15,802,0,41.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/911/24981911/s_24981911.jpg
电路原理,2016-04-01 00:00:00,科学技术-工业技术,共分13章：电路模型和基尔霍夫定律、电路元件及电路等效变换、线性电路的一般分析方法、电路定理、含有运算放大器的电阻电路、电容元件和电感元件、暂态电路及正弦稳态电路的分析、三相电路 、非正弦周期激励电路的稳态响应、耦合电感与理想变压器、运算法、双口网络,16,938,0,25.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/398/32164398/s_32164398.jpg
纳米集成电路制造工艺（第2版）,2017-01-01 00:00:00,科学技术-工业技术,本书共19章，涵盖先进集成电路工艺的发展史，集成电路制造流程、介电薄膜、金属化、光刻、刻蚀、表面清洁与湿法刻蚀、掺杂、化学机械平坦化，器件参数与工艺相关性，DFM（Design for Manufacturing），集成电路检测与分析、集成电路的可靠性，生产控制，良率提升，芯片测试与芯片封装等内容。 再版时加强了半导体器件方面的内容，增加了先进的FinFET、3D NAND存储器、CMOS图像传感器以及无结场效应晶体管器件与工艺等内容。,40,971,0,62.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/71/26944071/s_26944071.jpg
电子工程师自学速成：入门篇,2014-01-01 00:00:00,科学技术-工业技术,“电子工程师自学速成”丛书分为“入门篇”、“提高篇”和“设计篇”共 3 本。《电子工程师自学速成——入门篇》为“入门篇”，主要介绍了电子技术入门基础、电子元器件(电阻器、电容器、电感器、变压器、二极管、三极管、光电器件、电声器件、晶闸管、场效应管、IGBT、继电器、干簧管、显示器件、贴片元器件、集成电路和传感器)、基础电子电路、收音机与电子产品的检修、电子测量基础、指针万用表、数字万用表、信号发生器、毫伏表、示波器、频率计和扫频仪等内容。《电子工程师自学速成——入门篇》具有基础起点低、内容由浅入深、语言通俗易懂、结构安排符合学习认知规律的特点。《电子工程师自学速成——入门篇》适合作为电子工程师入门的自学图书，也适合作为职业学校和社会培训机构的电子技术入门教材。,19,799,0,33,https://wfqqreader-1252317822.image.myqcloud.com/cover/385/729385/s_729385.jpg
人类是怎么霸气上天的：吾皇巴扎黑航天科学史,2022-04-01 00:00:00,科学技术-工业技术,"《就喜欢你看不惯我又干不掉我的样子》系列作者白茶首部知识漫画作品！吾皇巴扎黑带你爆笑长知识！ 
知识严谨！中科院院士孙家栋作序推荐！ 
“这本漫画版图书采取叙事与绘画结合的思路，用有趣生动的形式展现严谨的知识，相信它会成为广大读者，尤其是青少年读者，喜欢阅读的图书，也是普通读者了解和学习航天科学知识的一本入门读物。”——孙家栋 
《就喜欢你看不惯我又干不掉我的样子》系列作者白茶创作的知识漫画作品，也是吾皇猫第一次爆笑长知识的图书作品。
本书用吾皇和巴扎黑的幽默傲娇画风，演绎航天科学重要人物事件。 
延续了“喜干”系列漫画爆笑风格，新书中更加丰满的角色个性带来了更加丰富的故事情节，同时还增加了大量的航天科学知识。 
除了可靠的知识基础，吾皇巴扎黑的风趣幽默，让读者在哈哈大笑中获得知识。
这是一本你看完就想推荐给身边人的漫画知识作品。",5,877,0,40.99,https://weread-1258476243.file.myqcloud.com/weread/cover/49/3300017549/s_3300017549.jpg
