title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
人性的弱点,2014-09-01 00:00:00,个人成长-认知思维,本书作为一本实用的人际关系著作，从人性本质的角度，挖掘出潜藏在人们体内的弱点，使人们能够充分认识自己，并不断改造自己，从而能有所长进，直至取得最后的成功。在过去的77年里，戴尔·卡耐基的忠告带领着上千万名读者攀登上成功的阶梯，无论在事业方面还是个人生活上，他的箴言不断被一代代人实践与验证。在出版史上，本书创造了全世界图书销售空前的记录。在经济萧条时期之后，本书满足了普遍存在的人性的需要，触动了读者的神经，在当今社会依然有其特有的借鉴价值。,19,853,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/205/522205/s_522205.jpg
高效能人士的七个习惯（30周年纪念版）（全新增订版）,2020-05-01 00:00:00,个人成长-认知思维,这是全新增订版。新增《纽约时报》畅销书作家肖恩·柯维对七个习惯学习、实践以及理解的全新观点，并作了内容修订。美团“四大名著”之一，吉姆·柯林斯作序推荐。这是一本能改变亿万人命运的奇书，影响力仅次于《圣经》。畅销30多年，销量超过4000万册。18位中国企业家和全球64位政企界人士重读本书再次真诚推荐。被誉为中国商界经典、著名的培训教材，世界500强企业装备培训课程。柯维“七个习惯”思想为我们揭示了一套让企业和个人永远立于不败之地的致胜法则，给中国快速成长的企业和领导者带来了新的启发和人生新感悟。全新升级的【PEQ效能测试2.0】为你全面评估效能现状，并提供行之有效的行动方案。,7,866,0,55.49,https://wfqqreader-1252317822.image.myqcloud.com/cover/600/33810600/s_33810600.jpg
刻意练习：如何从新手到大师,2016-11-01 00:00:00,个人成长-认知思维,本书是两位作者合作撰写的，一位是心理学家，另一位是科学作家。10多年前，我们开始经常探讨杰出人物和“刻意练习”这个主题，并在5年前开始认真地围绕这个主题写书。在那段时间，本书在我们两人的思想碰撞中慢慢成形，以至于我们现在都难以分辨，书中的哪一部分观点由谁提出。我们只知道，本书由我们两人合写，比由我们单独去写要好得多，也完全不同。,26,719,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/464/843464/s_843464.jpg
底层逻辑：看清这个世界的底牌,2021-10-01 00:00:00,个人成长-认知思维,如果只教给你各行各业的“干货”（方法论），那只是“授人以鱼”，一旦环境出现任何变化，“干货”就不再适用。但如果教给你的是底层逻辑，那就是“授人以渔”，你可以通过不变的底层逻辑，推演出顺应时势的方法论。所以，只有掌握了底层逻辑，只有探寻到万变中的不变，才能动态地、持续地看清事物的本质。在这本书中，我把在《5分钟商学院》中讲述的底层逻辑的内容进行了总结，与你分享是非对错、思考问题、个体进化、理解他人、社会协作五个方面的底层逻辑，带你看清世界的底牌。,11,677,0,40,https://weread-1258476243.file.myqcloud.com/weread/cover/22/3300011622/s_3300011622.jpg
思考，快与慢,2012-07-01 00:00:00,个人成长-认知思维,诺贝尔经济学奖得主丹尼尔·卡尼曼经典之作，彻底颠覆你对思考的看法！横扫全球各大畅销书排行榜，《经济学人》年度十佳图书，巴曙松、何帆、王福重等知名经济学家高度评价。卡尼曼认为，我们的大脑有快与慢两种作决定的方式，常用的无意识的“系统1”和有意识的“系统2”。他还介绍了很多经典有趣的行为实验，指出我们在什么情况下可以相信自己的直觉，什么时候不能相信；指导我们如何在商场、职场和个人生活中作出更好的选择，以及如何运用不同技巧来避免那些常使我们陷入麻烦的思维失误。,10,774,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/975/573975/s_573975.jpg
终身成长（全新修订版）,2017-11-01 00:00:00,个人成长-认知思维,在对成功的数十年研究后，斯坦福大学心理学家卡罗尔·德韦克发现了思维模式的力量。她在《终身成长》中表明，我们获得的成功并不是能力和天赋决定的，更受到我们在追求目标的过程中展现的思维模式的影响。她介绍了两种思维模式：固定型与成长型，它们体现了应对成功与失败、成绩与挑战时的两种基本心态。你认为才智和努力哪个重要，能力能否通过努力改变，决定了你是会满足于既有成果还是会积极探索新知。只有用正确的思维模式看待问题，才能更好地达成人生和职业目标。德韦克揭示的成功法则已被很多具有发展眼光的父母、老师、运动员和管理者应用，并在实践中得到了验证。通过了解自己的思维模式并做出改变，人们能以最简单的方式培养对学习的热情，和在任何领域内取得成功都需要的抗压力。,18,785,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/642/915642/s_915642.jpg
直击本质：洞察事物底层逻辑的思考方法,2020-01-01 00:00:00,个人成长-认知思维,这是一本专注于“思考的方法”的书。随书附赠独创开放式思维导图。上半部分聚焦于本质思考，这种思考方法能够帮你看透问题本质，并高效地解决复杂问题，让你成为只需半秒就看透事物本质的人，而不是一辈子也看不清事物本质的人。下半部分则跳脱出思维的框架，站在更高、更广的层面去思考，运用迁移思考、升维思考以及逆向思考的方法，让很多看似无解的人生难题得到了解答。,11,820,0,30.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/575/30914575/s_30914575.jpg
认知天性：让学习轻而易举的心理学规律,2018-09-01 00:00:00,个人成长-认知思维,不管是朋友圈里年入百万的斜杠青年，还是、喜马拉雅上的大师专家，无一不在刺激着在积极上进的年轻灵魂。有没有一种科学的，符合每个人思维规律的学习方法，可以让自己瞬间提升职场竞争力和商业生存力，以此走上财务自由、精神独立的人生。在《认知天性：让学习轻而易举的心理学规律》这本书中，你将掌握学习领域的规律：为什么说天性懒惰孕育了认知规律和心智模型/只需1次自测，一周后回忆率从28跃迁为39/知识是平面的，复合型知识是立体的/哪些“良性干扰”能提习效果/别在无法克服的学习困难上浪费时间/如何打造适合自己的心智模型/掌握几个适合自己的记忆技巧事半功倍……本书案例丰富，论点，是一本不容错过的认知科普读物。总的来说，《认知天性》这本书，可以看作是认知科学目前在“如何更地学习”这个课题上取得的所有成果总结。读者能从中获取的，不仅是切实的学习方法，而且会对人脑的工作机制有更深的了解。,11,762,0,34.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/547/23665547/s_23665547.jpg
深度思维：透过复杂直抵本质的跨越式成长方法论,2018-09-01 00:00:00,个人成长-认知思维,精英的最大共通点，并非优异的才能，而是深刻的底层思维。在人类的发展史上，决定个体强大的关键因素在不断变化，原始时代是体力，后来是知识，现在则逐渐转化为思维能力。思维不是天生的，而是通过学习和训练可以掌握的思维工具。所掌握思维工具的数量多少、层次高低以及效用如何，决定了你是否能成为人生赢家。在复杂的世界里，我们该如何运筹帷幄？我们是否具备精细的思维技术，以解决日常生活、工作中的问题？我们是否拥有宏大的思维格局，以在关键时刻做出精妙的战略选择？归根到底，我们的大脑有足够的武器来应对复杂的世界吗？大脑最好的武器，莫过于深度思维方法。普通的浅度思维逻辑链条短，分析视角局限，处理复杂信息效率低下，并且无法在宏观战略层面上认知事物。而深度思维则是一套完善的体系，可以从根本上解决问题，让你：快速切换思考问题的视角；探索问题的根本原因及长远发展；有效应对信息流繁杂、事务琐碎的挑战；站在更高层面，以系统、宏观的视角认知和解决问题。深度思维的方法，既来源于多学科的思想精华，也经过了大量的商业、职场实践，被证实是解决问题、提升格局的利器。对普通人而言，无论是对领导布置的项目进行深度逻辑分析，对用户的需求痛点进行多角度换位思考，还是在职业发展规划或进行投资决策时做出巧妙的战略选择，深度思维方法都能使你有所裨益。,5,802,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/116/23549116/s_23549116.jpg
学会提问（原书第11版）,2019-01-01 00:00:00,个人成长-认知思维,很多人不知道怎样切实有效地提出一些判断性问题，希望我们能提供较为详尽的指导，鉴于此，我们专门撰写了这本书，以满足大家的需求。本书最新版依然致力于培养学生一整套提问的技能，并且可以广泛应用于各个领域。这些技能的训练都是在轻松自然的讨论中展开的。本书特别适合在以下几个领域中应用。普通教育学课程、语言类课程的说明文写作，以及专门用来培养学生的评判性阅读和思考的技能的课程。另外，它还是提高沟通效率，实现关键沟通的一本难得的精品之作。,37,767,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/397/25614397/s_25614397.jpg
