title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
杨绛传：生活不易，保持优雅,2019-10-01 00:00:00,人物传记-女性人物,杨绛生于乱世，却一生淡然，保持优雅。在写作上，她的《我们仨》《走到人生边上》受万人追捧；在翻译上，她的《唐·吉诃德》译本卓然于世；在婚姻上，她遇到了懂她的钱锺书，演绎了一场世人皆羡的完美爱情。本书用诗意的语言，将杨绛105年的优雅人生历程娓娓道来，参透她不妥协、不慌张、不迷茫的生活态度，传递平静面对岁月打磨的温柔力量，让读者变成更好的自己。,15,937,0,19,https://wfqqreader-1252317822.image.myqcloud.com/cover/315/33276315/s_33276315.jpg
我心归处是敦煌：樊锦诗自述,2019-10-01 00:00:00,人物传记-女性人物,"    “敦煌的女儿”樊锦诗直面读者，亲述自己不平凡的人生：在北京大学考古系师从宿白、苏秉琦等考古名家的青春求学往事，与终身伴侣、武汉大学考古系创始人彭金章先生相濡以沫的爱情诗篇，五十多年坚守大漠、守护敦煌，积极开展国际合作，以高精科技向世界展现中国传统艺术之美的动人故事……本书收录了一批从未公开过的资料，展现这位传奇女性的志业与爱情、困境与坚守，解读敦煌艺术崇高之美，历数百年敦煌学研究的筚路蓝缕，披露莫高窟“申遗”及“数字敦煌”背后的故事。
",11,875,0,41.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/860/26991860/s_26991860.jpg
杨绛传：简朴的生活，高贵的灵魂,2020-06-01 00:00:00,人物传记-女性人物,本书叙写了杨绛的百年人生，包括童年成长、家庭变迁、求学历程以及与钱钟书半个多世纪的爱情，尽现了一位非凡女性的魅力——既是才华横溢的文学家、翻译家，是慈爱包容的贤妻良母，又是安分守时的智者，还是一位从容优雅的精神贵族，骨子里又有着令人感动的平民情怀。作者搜集阅览了大量关于杨绛的资料，用丰富翔实的细节，温暖细腻的笔触，恰如其分地浓缩了杨绛一生的智慧精华，给读者以人生的启示，无穷裨益。,17,898,0,16.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/128/33905128/s_33905128.jpg
宋氏三姐妹,2018-06-01 00:00:00,人物传记-女性人物,宋霭龄、宋庆龄、宋美龄，三个集美貌与才华于一身的民国时代女性，因着她们独特的魅力和她们不凡的婚姻，成为几十年来盛传不衰的历史。宋氏三姐妹的人生理想差别是如此之大，但她们都有一个共同点：有信仰又好强，她们为自己的信仰奋斗终身。宋霭龄信仰金钱。如果放到今天，她很可能就是驰骋华尔街的女高管，专心致志地打造自己的金钱帝国。而在民国，她的投资策略已然可以写成一本商业教材。宋庆龄信仰正义。她把自己的爱国之心终身许给了孙中山，这个个头不高但是精神世界格外强大的男人，也给了他的三民主义。为此她选择了一条艰辛而又伟大的道路，孤独前行。宋美龄信仰权力。她喜好权力，一如她喜爱表演，喜爱在镁光灯下生活。她想要成为一个优秀的政治家，由于受到自身的局限，最终和夫君蒋介石一道落败。本书丰富而翔实地揭露了宋氏三姐妹的一生，语言幽默又不失真情，能够让您在轻松的阅读中，迅速揭开历史的面纱，去探察一个权贵家族在民国的飘摇河山中，所起到的雷霆之力。从三个女人的万种风情中，了解民国历史的风风雨雨。,24,899,0,28.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/835/41977835/s_41977835.jpg
董卿：在时光中优雅盛开,2019-11-01 00:00:00,人物传记-女性人物,"    她自幼在父母的严格教导下刻苦学习，砥砺成长，独立自主，坚持阅读，培养气质。她勇于追逐梦想，从浙江到上海到北京，三度改写命运。她曾连续13年主持春晚，连续8年被评为央视年度“央视十佳主持人”，连续7年位列央视挂历女主持人中前三甲，成为实至名归的“央视一姐”。虽然已达巅峰，但她只求超越自我，于是毅然选择赴美留学深造，一年后归来。2016年，主持《中国诗词大会》，凭借深厚的古典诗词功底惊艳四座；2017年制作并主持《朗读者》，再度爆红。随后主编同名图书出版，一时洛阳纸贵。一路走来，她依靠勤奋努力、积极进取、自我突破，成为公认的优质女性典范，诠释了每个女性应该如何成为理想的自己。她的名字，叫董卿。本书娓娓讲述董卿的成长奋斗历程，深度解读其成功背后的秘密，并展示其积极进取、优雅从容的人生态度，让你真正了解董卿。愿你从中获得慰藉和启示，获得智慧和美好，获得召唤和力量。
",2,844,0,18.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/387/27211387/s_27211387.jpg
风雨哈佛路,2015-10-16 00:00:00,人物传记-女性人物,这是一个女孩与命运抗争的真实故事。面对逆境与绝望，凭借不屈服的勇者精神、毅力和坚持，她最终考进了最 高学府。 莉丝出生在纽约的贫民窟，尽管父母吸毒，莉丝仍然深爱着他们。她在毒品、艾滋、饥饿充斥的环境中度过童年。在学校，莉丝肮脏的衣着，和藏在头发里的虱子让她饱受同学嘲弄，终因逃课被送进女童院。15岁时，莉丝拼尽全力维持的家庭最终破碎，她开始流落街头，捡拾垃圾，偷东西，她整夜乘坐地铁，因为只有在这里才能温暖入梦。 莉丝流落街头时，母亲因艾滋感染而死，莉丝深受触动，她决定不再继续这样的生活，她要改变命运，重返高中……,5,896,0,23.4,https://weread-1258476243.file.myqcloud.com/weread/cover/12/3300017612/s_3300017612.jpg
中国历史上的那些女人,2015-05-01 00:00:00,人物传记-女性人物,"    在华夏五千年的历史中，女性一直扮演着一种微妙的角色，她们与男人不同，没有自己所谓的“正史”，却又在无形当中将历史连缀起来。她们就好像是线状史书的锁线一样，乍看起来无足轻重，细细琢磨却发现必不可缺，没有了锁线，历史就不能成为一本书，而是一张张散乱的纸。
",29,699,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/6/26189006/s_26189006.jpg
杨绛：人生最曼妙的风景,2018-03-01 00:00:00,人物传记-女性人物,“人间四月天”的林徽因是她们中结局极美好、过程极浪漫的一个，集万千宠爱于一身。张爱玲是世界的临水照花人，终其一生，横空出世的来，旁若无人的活，听天由命的走。杨绛，世称“先生”，更是一个从容优雅的精神贵族，被誉为“天下极有才情和风骨的女子”。读书如睹人。感性温暖的情怀，细腻多情的文字，将林徽因、张爱玲、杨绛的一生如画卷一般徐徐展开在读者眼前，让你走进那个时代，走近这些传奇女子的世界，感受她们非比寻常人的独特人生。这是值得所有女人品读的女子，不管是事业、情感、气质，抑或如何有诗意地度过人生，你都可以在这三个女子身上获益匪浅。,8,756,0,15.99,https://rescdn.qqmail.com/weread/cover/445/3300007445/s_3300007445.jpg
张纯如：无法忘却历史的女子,2012-04-01 00:00:00,人物传记-女性人物,"　　出自张纯如笔下的畅销书《南京大屠杀》，永远的改变了人们看待二战亚洲战场的视角。这一切始于一张照片，照片里，数百名中国平民的尸体漂满江面。张纯如的灵魂因此被触动。这些人是谁？她无法忘怀那一景象。她无法忘怀自己看到的一切。
　　短短几年后，张纯如将这场堪比反犹大屠杀的暴行公之于世。《南京大屠杀》在《纽约时报》的畅销书榜单上停留了10周之久，销量近50万本，赢得了广泛的国际关注。
　　然而就是这个赤手空拳打破国际社会长达60年沉默的女子，2004年11月9日，终结了自己36岁的生命。
　　这之后的6年，张盈盈，张纯如的母亲，忍痛写下了这本回忆录，为读者细腻地呈现了女儿的生平：童年时自办的报纸，早年作为新闻记者的经历，一名年轻历史学者的冉冉升起，与儿子的自闭症作斗争的历程，以及悲剧性的自杀。《张纯如：无法忘却历史的女子》一书充分证明，张纯如确为她那一代人中的佼佼者，同时，这本书也展现了母女之间深切美丽的爱与疼痛。",8,907,0,11.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/206/192206/s_192206.jpg
且以优雅过一生：杨绛传,2016-09-01 00:00:00,人物传记-女性人物,这是一本富于人生启示的杨绛传记，温情追思杨绛百年人生的珍藏读本，向杨绛先生致敬！参透杨绛先生的百年人生智慧，做一个明媚从容、淡定优雅的女子。她虽生于乱世，却自始至终怀有一颗与世无争之心。外界给了她颇多赞誉——坚韧、从容、睿智、宁静……但这些于她不过浮华如花，开过即谢，她并不曾为此动容，不曾改变过一分一毫。她始终还是那个如深谷幽兰般的女子，在岁月里温婉如初。,7,847,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/456/23708456/s_23708456.jpg
我不可能只是仰望着你,2020-10-01 00:00:00,人物传记-女性人物,1937年，28岁的玛莎独自前往马德里报道西班牙内战，她深入大爆炸后的机场、难民营、孤儿院、医院，记录战时普通人的故事。在这过程中，玛莎情不自禁爱上了一直陪同在旁的海明威，一位已经声名显赫的作家。在即将到来的第二次世界大战的阴影下，他们陷入热恋，在古巴安家，关系和职业生涯由此点燃。但是，当海明威的事业因《丧钟为谁而鸣》而创下历史新高，他们不再平等。玛莎必须做出选择：屈服于成为名人妻子的狭隘要求，或是冒着失去海明威的风险，打造一条属于自己的女人和作家之路。这是一个两难的境地，会迫使她伤了他的心，也伤了她自己的心。,9,848,0,36,https://wfqqreader-1252317822.image.myqcloud.com/cover/271/34158271/s_34158271.jpg
宋氏三姐妹,2015-01-01 00:00:00,人物传记-女性人物,宋霭龄、宋庆龄、宋美龄三姐妹虽同出一宗，情同手足，但个性、信仰、志向、情趣等各不相同，“一个爱钱，一个爱国，一个爱权”。宋霭龄联姻孔祥熙，富甲一方；宋庆龄成为国母，爱国爱民；宋美龄嫁给蒋介石，权势显赫。本书图文并茂，配有上百张珍贵照片，通过解读三姐妹不同的人生道路，向社会还原了真实的宋霭龄、宋庆龄、宋美龄。,22,726,0,24.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/727/33134727/s_33134727.jpg
太平公主和她的时代,2022-04-01 00:00:00,人物传记-女性人物,"从来没有哪个时期，有如此多的女性同时投身于，激烈复杂的政治角逐！
武则天，成功颠覆了时人心目中只有男人才能当皇帝的传统观念，也刺激了一批宫廷女性的政治野心。
太平公主，武则天的女儿，权倾朝野。
韦皇后，武则天的儿媳，意欲成为第二个武则天。
安乐公主，武则天的孙女，立志要当“皇太女”。
上官婉儿，武则天的“内宰相”，品评天下才子。
她们目睹了武则天惊人的成功，都把她当成自己的楷模，于是飞蛾扑火般，前仆后继地追逐着权力。
隋唐史学者蒙曼，引经据典，讲述唐朝历史上宫廷动荡的八余年。",11,754,0,31.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/358/43958358/s_43958358.jpg
