title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
人间值得,2019-09-16 00:00:00,个人成长-人生哲学,"    太宰治，39岁，无赖派作家，他说《人间失格》；中村恒子，90岁，心理医生，她说《人间值得》。90岁仍未退休的心理医生的恒子奶奶，用一辈子书写一本书，一生的智慧凝练：人生不必太用力，坦率地接受每一天！人如何度过一生，才不会辜负生命？面对人生的终极问题，当了70年心理医生的作者中村恒子奶奶，将其90年的人生智慧，化为本书六大篇章关于工作、爱、人际关系、幸福、死亡等课题的诚挚箴言，陪同数不清的人走过人生泥泞的时期，让他们在认清生活真相后，仍然有热爱生活的勇气。作者娓娓道来的讲述，总有一句令你豁然开朗，消解心头烦忧，感受生命的力量，让你意识到“这是你自己的人生”，只要活出自己，就会发现“人间值得”。
",15,787,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/758/26406758/s_26406758.jpg
当下的力量（白金版）,2016-06-01 00:00:00,个人成长-人生哲学,《当下的力量（白金版）》堪称心灵读物经典，作者埃克哈特·托利指出了我们日常痛苦的主要来源——被大脑思维所控制、焦虑过去和未来而非活在当下。但实际上，我们只能活在当下，活在此时此刻。通过向当下的臣服，你才能找到真正的力量，获得内在的智慧和真正的喜悦。作者在《当下的力量》中提出了几个非常实用的方法，让自己认清时间的幻象，活在当下。《当下的力量》对于普遍焦虑、抑郁、压力大的现代大众读者来说，是一本切实有用的好书，将让我们认清时间的幻象，活在当下，找到真正的力量，发现平和与宁静的入口。,22,864,0,21,https://wfqqreader-1252317822.image.myqcloud.com/cover/673/848673/s_848673.jpg
心流：最优体验心理学,2017-12-01 00:00:00,个人成长-人生哲学,“心流”是指我们在做某些事情时，那种全神贯注、投入忘我的状态——这种状态下，你甚至感觉不到时间的存在，在这件事情完成之后我们会有一种充满能量并且非常满足的感受。心理理论之父、积极心理学奠基人米哈里·契克森米哈赖在30年前，在大量案例研究基础上，开创性地提出了“心流”的概念。本书系统阐述了心流理论，进入心流状态的条件，从日常生活、休闲娱乐、工作、人际关系等各方面，阐述如何进入心流状态。对心理学爱好者和研究者来说，《心流》是理解积极心理学等领域不可或缺的理论素材；对大众读者来说，这更是一本提升幸福感和效率的行动指南。,21,779,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/826/921826/s_921826.jpg
成年人的世界没有容易二字,2021-11-01 00:00:00,个人成长-人生哲学,25个共鸣强烈的故事，涵盖了学习、成长、青春、职场、爱情、友情、亲情的方方面面。告诉你“这才是被生活干翻之后该有的样子”，手把手教你如何“把鸡毛蒜皮过成风和日丽”。从焦虑到平静，从不甘到接受，从易燃易爆到和颜悦色，从灰心丧气到心平气和，让长大和快乐这对敌人在这本书里和解。送给“内心被现实砸了好几个陨石坑”的你。送给“拿自由去换柴米油盐”的你。送给“用青春的嫩枝煮着五斗米粥”的你。送给“用变形金刚一样强势的外表守着豆腐渣工程一样的内心”的你。提醒你“讨好所有人，就意味着彻底得罪了自己”；奉劝你“人和人之间还是见外一点儿比较好”；嘱咐你“未知全貌，不予置评”；拆穿你“活成自己讨厌的样子，并不代表你活错了”；提示你“要及时止损，才不会被混账的生活得寸进尺”；告诉你“人生是场体验，请你尽兴一点儿”；警示你“每一个想努力的念头，都是未来的你在向现在的你求救”；并希望“理想主义的少年永远不会被现实招安”。愿你在鸡零狗碎的生活中找到专属于你的称心如意，也愿你渐入佳境的人生配得上这一路的颠沛流离。,10,846,0,37,https://wfqqreader-1252317822.image.myqcloud.com/cover/682/42849682/s_42849682.jpg
断舍离,2019-01-01 00:00:00,个人成长-人生哲学,新版《断舍离》是“断舍离”创始人山下英子累积销量超400万册畅销书“断舍离”书系集大成之作，修订50%以上内容重新解读帮助读者重拾轻盈人生的生活哲学。理论+实践全面升级，了解断舍离先读这一本！风靡全球的“断舍离”概念已经在15个国家出版几十种图书，多次获得流行语大奖提名。但是总是被人当做只是物品的整理方法，实在是有点可惜，断舍离的内涵远不止这些。所谓断舍离是“出”的美学，不仅是家里的物品，不需要、不舒服、不合适的情感和被父母强加的价值观都可以通过分离和舍弃，让身心变得轻松起来，慢慢的一些“奇迹”会发生，人生因而发生巨大改变。这本书适合还未听过、听过但不太明白的断舍离的读者阅读，也适合仅仅停留在物品整理的断舍离践行者再次复习了解断舍离更深层次的意义，螺旋上升式地促进改变人生才是断舍离的终极目的。,13,706,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/71/25066071/s_25066071.jpg
世界上最神奇的24堂课大全集,2010-02-01 00:00:00,个人成长-人生哲学,被禁70年的全美历史上最具影响力的潜能训练课程，畅销50万册后，经典教程大全集回馈专版。被政商各界精英联手隐秘百年的“成功禁书”，《秘密》的作者郎达·拜恩因“偷窥”了《世界上最神奇的24堂课》的秘密，成为风靡全球的畅销书作家。,16,781,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/291/30556291/s_30556291.jpg
人生没什么不可放下：弘一法师的人生智慧,2014-01-01 00:00:00,个人成长-人生哲学,本书是弘一法师用一生彻悟的人生真谛，最朴实、最接地气的人生箴言。很多时候，你那些义无反顾的执着，那些让你遍体鳞伤的坚持，最终都将成为浮云。这个世界没有天大的事，也没有过不去的坎，只有放不下的自己。你要明白，世界不会为谁而停留，一切也终将成为过去，放不下、舍不得，只不过是徒增烦恼而已。人最强大的时候，不是坚持的时候，而是放下的时候。执于一念，将受困于一念；一念放下，会自在于心间。在本书中，弘一法师教你如何放下那些阻碍你人生幸福的欲望和执念，如何快速获得幸福自在的人生。,17,850,0,14.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/880/25982880/s_25982880.jpg
幸福的勇气：“自我启发之父”阿德勒的哲学课2,2020-06-05 00:00:00,个人成长-人生哲学,《幸福的勇气》是“勇气两部曲”的下卷、完结篇。同样以百年前心理学者阿德勒思想为核心，以“青年和哲人的对话”故事形式展现。在上次谈话的3年之后，青年已经辞去图书管理员工作，成为了一名小学老师。但是再次出现在哲人面前的他，经历了许多现实（在工作当中）的摧残，对于当初的理想已经感到绝望了：“阿德勒的思想，在外面的世界没有意义。”“猛药”级的哲学对谈，再度开始……如果说《被讨厌的勇气》是地图，《幸福的勇气》就是行动指南。《被讨厌的勇气》探究「该怎么做，人才能获得自由？」《幸福的勇气》探究「该怎么做，人才能变得幸福？」在上次谈话的3年之后，青年已经辞去图书管理员工作，成为了一名小学老师。但是再次出现在哲人面前的他，经历了许多现实（在教育工作当中）的摧残，对于当初的理想已经感到绝望了。“阿德勒的思想，在外面的世界没有意义。”“你对阿德勒的思想存在误解”“猛药”级的哲学对谈，再度开始……,19,890,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/647/32486647/s_32486647.jpg
秘密,2013-06-01 00:00:00,个人成长-人生哲学,本书为世人揭示了一个被隐藏千年的秘密。本书作者朗达·拜恩是澳大利亚电视工作者，有一年，父亲突然去世、工作遭遇瓶颈、家庭关系也陷入僵局，就在人生跌至谷底、生活即将崩溃时，意外发现了隐藏在百年古书中的秘密。这个秘密零星地存在于各种口述的历史、文学、宗教与哲学之中，更藏在人与世界的各个互动层面，每个人自身都存在着自己所不知道的能量。,5,755,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/251/852251/s_852251.jpg
在岁月中远行,2022-05-01 00:00:00,个人成长-人生哲学,"俞敏洪重磅新作，人生起伏下的心路与沉思！在不确定年代，笃定前行！让生命厚重的，是苦难和越过苦难后的刻骨铭心！阅读释然人生，行走使人辽阔，愿你在有限的时空，活出无限的人生！
本书是俞敏洪老师近年来工作、生活和行走的感悟与思考，真实反映了他在世事变幻、人生起伏下的心路历程和深刻思考。
行走使人辽阔，阅读让人生释然。俞敏洪老师在本书中带领我们学习适应变化，学习与变化共处，提升自己在变化中解决问题的能力。读完本书，你将收获勇气和笃定，在有限的时空里，活出无限的人生精彩。
一行行的文字，既是俞敏洪老师记录生命轨迹的方式，也是一种对过往经历的自我萃取和沉淀。对当下的我们来说，这是宝贵的人生经验和方法论，可以帮助我们在不确定的时代中，寻找到属于自己的那份确定。",6,816,0,46.99,https://weread-1258476243.file.myqcloud.com/weread/cover/14/3300020714/s_3300020714.jpg
