title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
三体（全集）,2018-12-01 00:00:00,精品小说-科幻经典,每个人的书架上都该有套《三体》！关于宇宙最狂野的想象！就是它！征服世界的中国科幻神作！包揽九项世界顶级科幻大奖！出版16个语种，横扫30国读者！奥巴马、雷军、马化腾、周鸿袆、潘石屹、扎克伯格……强推！刘慈欣获得2018年度克拉克想象力贡献社会奖！刘慈欣是中国科幻小说的最主要代表作家，亚洲首位世界科幻大奖“雨果奖”得主，被誉为中国科幻的领军人物。,22,931,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/233/695233/s_695233.jpg
献给阿尔吉侬的花束,2015-04-01 00:00:00,精品小说-科幻经典,《24个比利》作者的人性关怀经典，囊括星云奖、雨果奖两项科幻大奖，获科幻大师阿西莫夫盛赞！全美销售超过500万册，并被多次改编成影视剧、舞台剧，首部改编电影《查理》男主角克里夫·罗伯逊拿下奥斯卡最佳男主角奖的殊荣，2015年山下智久主演的同名日剧获得超高口碑。这部小说探讨了心智障碍主角查理·高登与白老鼠阿尔吉侬在医疗介入后，身体与心理的变化。声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后，查理的智商从68跃升为185，然而那些从未有过的情绪和记忆也逐渐浮现。从心智障碍变成最强大脑，他才明白，理解是最大的残酷。在《献给阿尔吉侬的花束》大获成功之后，凯斯又陆续推出了《第5位莎莉》、《24个比利》、《比利战争》及回忆录《阿尔吉侬、查理与我》等作品，成为读者心目中最擅长以医疗背景描写人类心理的作家。,11,934,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/863/857863/s_857863.jpg
三体前传：球状闪电,2019-06-01 00:00:00,精品小说-科幻经典,没有《球状闪电》，就没有后来的《三体》！《三体》前传！亚洲首位雨果奖得主刘慈欣的三大长篇之一！（《三体》《球状闪电》《超新星纪元》）《球状闪电》拥有最狂野的想象力！带你从另一个维度观察世界！全面展现刘慈欣对人生的终极思考！《三体》中解决可控核聚变的顶级物理学家丁仪，正是《球状闪电》中找到球状闪电的关键人物。《三体》中一号面壁人的幽灵军队计划，正是来自于《球状闪电》。《球状闪电》中的疑似宇宙观察者，为《三体》中的智子出现铺陈了线索。《球状闪电》和《三体》是刘慈欣两个不同时期的巅峰之作，《球状闪电》是他对人生的终极思考，《三体》则是他对宇宙的终极思考。过一个美妙的人生并不难，关键在于你迷上的是什么。某个离奇的雨夜，一颗球状闪电在一瞬间将少年的父母化为灰烬，而他们身下的板凳却分毫无损。从此少年踏上了研究球状闪电的旅程，死亡者的幽灵笔迹、前苏联的地下科技城、次世代的世界大战……球状闪电意外成为了战争中决定祖国存亡的终极武器！一个从未有人想像过的未来，在宇宙观察者的注视下，悄然降临在人类面前……,12,884,0,35,https://wfqqreader-1252317822.image.myqcloud.com/cover/39/25504039/s_25504039.jpg
刘慈欣短篇科幻小说合集（28册）,2008-11-01 00:00:00,精品小说-科幻经典,刘慈欣短篇科幻小说合集，共28册，包括《乡村教师》（电影《疯狂的外星人》故事来源）、《流浪地球》、（电影《流浪地球》原著小说）、《坍缩》、《西洋》、《光荣与梦想》、《信使》、《命运》、《微观尽头》、《微纪元》、《混沌蝴蝶》、《镜子》、《欢乐颂》、《天使时代》、《鲸歌》、《地火》、《纤维》、《圆圆的肥皂泡》、《白垩纪往事》、《太原之恋》、《创世纪》、《2018年4月1日》、《中国太阳》、《海水高山》、《山》、《诗云》、《地球大炮》、《吞食者》、《梦之海》。,2,941,0,147.15,https://wfqqreader-1252317822.image.myqcloud.com/cover/331/27423331/s_27423331.jpg
《沙丘》六部曲,2019-10-01 00:00:00,精品小说-科幻经典,每个一生必读的书单上都有《沙丘》！伟大的《沙丘》六部曲中文版初次完整出版！雨果奖、星云奖双奖作品！摘得轨迹杂志“20世纪科幻小说”桂冠！人类每次正视自己的渺小，都是自身的一次巨大进步。《沙丘》系列风靡半个多世纪，催生了《星球大战》、《阿凡达》等经典科幻电影！《沙丘》改编游戏《沙丘魔堡》开创了即时战略游戏，没有《沙丘》就没有《红色警戒》、《魔兽争霸》、《星际争霸》！哥白尼提出了“日心说”，我们才知道这个世界并不是宇宙的中心。哈勃用望远镜揭开了河外星系的神秘面纱，我们才知道宇宙中还有千亿个银河系。“自由号”发现了黑洞的存在，我们才知道也许宇宙之外还有宇宙，我们只是永恒中一颗微小的沙粒。一切会思考的机器都被摧毁后，宇宙的焦点重回人类之间的争夺。行星厄拉科斯——人类梦寐以求、竞相抢夺的“香料”的产地，在这里上演着权术与背叛、恐惧与仇恨、希望与梦想的太空歌剧。人们常常用另一个名字称呼这颗干旱的星球——沙丘。家破人亡、颠沛流离的少年保罗在这里抗争着他的宿命。在命运面前，他是如此的渺小，却又如此的强大。人类每次正视自己的渺小，都是自身的一次巨大进步。,30,823,0,315.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/515/26859515/s_26859515.jpg
银河帝国完整版（全套15册）,2012-03-01 00:00:00,精品小说-科幻经典,“银河帝国”百万册全新纪念版。完整版大全集重磅来袭！人类历史上最好看的系列小说。地球人公认的“科幻圣经”，文艺青年和技术宅的共同挚爱！《银河帝国》系列小说，一直被认为是人类想象力的极限，人类历史上最有趣迷人的故事，讲述人类未来两万年的历史。在机器人的帮助下，人类迅速掌握了改造外星球的技术，开启了恢弘的星际殖民运动；人类在银河系如蝗虫般繁衍扩张，带着他们永不磨灭的愚昧与智慧、贪婪与良知，登上了一个个荒凉的星球，并将银河系卷入漫长的星际战国时代，直至整个银河被统一，一个统治超过2500万个住人行星、疆域横跨十万光年、总计数兆亿人口的庞大帝国崛起——银河帝国。,115,902,0,766,https://wfqqreader-1252317822.image.myqcloud.com/cover/996/860996/s_860996.jpg
海奥华预言,2018-07-01 00:00:00,精品小说-科幻经典,法国人米歇被邀请到第九级行星的十日游。本书通过米歇的见闻揭示了地球史前文明、因果报应、生命轮回、基督来历、黄种人起源、宇宙旅行等，更重要的是指明了物质上的科技缺少了灵性知识，会把地球上的人们带向不可避免的全球性大灾难。科学技术必须帮助灵性发展而且不应被（像现在这样）用来把人们奴役在一个金钱系统和物质世界里，这两者无论如何都是暂时的。,6,757,0,15.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/626/25136626/s_25136626.jpg
挽救计划,2021-06-01 00:00:00,精品小说-科幻经典,一趟孤注一掷的太空远征，一座没有尽头的科学迷宫。一次争分夺秒的冒险营救，一段跨越星际的真挚友谊。浩瀚宇宙中，瑞恩·格雷斯是整个人类文明仅存的希望。但在醒来的那一刻，他连自己的名字都不记得。他在未知的恐惧中寻找身份，从记忆的碎片中获取线索。这个肩负拯救地球重任的关键人物，现已命悬一线！人类文明究竟能否存续？在这场“挽救计划”里，一切都充满了挑战……,7,955,0,40.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/356/41100356/s_41100356.jpg
三体2：黑暗森林,2019-04-01 00:00:00,精品小说-科幻经典,庞大的三体舰队杀气腾腾直扑太阳系，尖端科技被锁死的地球人面对前所未有的危局，面对地球文明前所未有的危局，人类组建起同样庞大的太空舰队，同时（PDC）利用三体人思维透明的致命缺陷，制订了“面壁计划”。在这场你死我活的文明生存竞争中，罗辑探索出了宇宙文明间的黑暗森林法则。借助于这一发现，他以向全宇宙公布三体世界的位置坐标相威胁，暂时制止了三体对太阳系的入侵，使地球与三体建立起脆弱的战略平衡。,4,933,0,21.84,https://wfqqreader-1252317822.image.myqcloud.com/cover/526/183526/s_183526.jpg
三体1：地球往事,2019-04-01 00:00:00,精品小说-科幻经典,军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰……四光年外的“三体文明”百余次毁灭与重生，正被逼迫不得不逃离母星，而恰在此时，他们接收到了地球发来的信息。庞大的三体舰队开始向地球进发，人类的末日悄然来临……,8,871,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/677/178677/s_178677.jpg
