title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
成为波伏瓦,2021-03-01 00:00:00,人物传记-传记综合,这本传记是在新近披露的波伏瓦信件、波伏瓦早期日记和给情人克洛德·朗兹曼的信之后的全新波伏瓦传记，它将让我们重新看待波伏瓦和让-保罗·萨特的关系。《成为波伏瓦》是根据近几年新曝光的波伏瓦信件、早期日记等材料撰写的波伏瓦全新传记。“女人不是天生的，而是后天成为的。”波伏瓦如是说。这本开创性的传记引入波伏瓦此前从未被出版的日记和信件等全新材料，把她从萨特的阴影中拉出来，使她站在属于自己的聚光灯下。这本传记将为读者呈现一个更为真实立体的波伏瓦，也让我们重新看待波伏瓦和萨特的关系。本书还将呈现很多此前不为人所知的波伏瓦的个人细节，这些新的细节会增强波伏瓦的神秘感，也会使我们对波伏瓦更加着迷。这本书将呈现很多此前不为人所知的波伏瓦个人细节，这些新的细节会增强波伏瓦的神秘感，也会使我们对波伏瓦更加着迷。为什么这位“女性主义偶像”要着力打造自己的形象？为什么关于她和萨特的关系她会频频撒谎，或是声称自己不是一个哲学家？带着这些新的细节，我们能更进一步地去认识真正的波伏瓦。,8,913,0,54.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/35/36968035/s_36968035.jpg
人类群星闪耀时,2019-04-01 00:00:00,人物传记-传记综合,茨威格传记名作，共收入历史特写12篇，展现了12个决定世界历史的瞬间：千年帝国拜占庭的陷落，巴尔法亚眺望水天一色的太平洋、享德尔奇迹的精神复活、老年歌德热恋的悲歌、滑铁卢的一分钟……这些时刻可以决定个人的生死、民族的存亡，乃至整个人类的命运。,6,747,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/946/25136946/s_25136946.jpg
人生由我,2020-06-01 00:00:00,人物传记-传记综合,她15岁次登台，22岁结婚，31岁成为破产的单身母亲，随后辗转于3个国家的多个城市开展自己的事业，独立培养出3个出色的子女，同时获得了两个硕士学位。60多岁的她重返模特舞台，在头发变白的时候走红，69岁时，她的形象在美国时代广场独占4个广告牌。她是72岁的“网红”，是众多女性眼中的励志偶像，也许她最出名的标签是“硅谷钢铁侠”、特斯拉公司创始人埃隆·马斯克的母亲，但她更是自己人生的女王，她是梅耶·马斯克。 你很难想象，这样的她也曾因为害怕而多年默默忍受丈夫的家暴，身为令众人艳羡不已的超模却说自己衣品差，在看中名气和年龄的职场圈不断遭遇歧视，拥有成功的后半生但至今仍未遇到可与之共度余生的人。她并不是媒体塑造的“女性代言人”，事实上，就是这种人设给普通人制造了数不清的压力和困惑。这本书展现了一个女性是怎样逐步探索世界和重建自我的。 虽然人生困境重重，但成功的蜕变依然有法可循。梅耶在书中真诚地分享了关于美丽、职场、家庭、教育和健康等人生问题的经历和建议，我们或许无法避免遇到与之相似的困境，但可以像她一样积极应对。,10,829,0,35.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/7/31934007/s_31934007.jpg
向前一步,2013-06-01 00:00:00,人物传记-传记综合,"她是全球最成功的女性之一。她是马克·扎克伯格的左膀右臂，被称为“Facebook第一夫人”。她是美国薪酬最高的女高管，被美国媒体誉为“硅谷最有影响力女人”。她身居福布斯百强女性榜第5名，荣登《时代周刊》封面人物, 并被《时代》杂志评为全球最具影响力的人物。她就是Facebook 首席运营官谢丽尔·桑德伯格。今天，她奉献上她的最新力作 《向前一步》，深刻地剖析了男女不平等现象的根本原因，解开了女性成功的密码！她认为，女性之所以没有勇气跻身领导层，不敢放开脚步追求自己的梦想，更多是出于内在的恐惧与不自信。她在书中鼓励所有女性，要大胆地“往桌前坐”，主动参与对话与讨论，说出自己的想法。同时，她还为女性提出了如下成功密码，激励女性勇于接受挑战，满怀热情地追求自己的人生目标。",9,765,0,18.98,https://wfqqreader-1252317822.image.myqcloud.com/cover/671/621671/s_621671.jpg
忏悔录（译文名著精选）,2014-03-01 00:00:00,人物传记-传记综合,卢梭的《忏悔录》堪称整个西方文学史甚或文化史上最著名的自传作品，是卢梭在文学方面的主要成就，与早期基督教神学家圣奥古斯丁的《忏悔录》具有同样经典的地位，对后世直至今天都有深远的影响。本书是作者晚年处于悲惨地时的悲愤自省、呕心沥血之作。整个自传是在颠沛流离、四面受敌的逃亡生活中断断续续完成的，主题是想通过自己历经坎坷的一生反映社会对人的残害和压迫。卢梭满怀感情地讲述自己的“本性善良”，古代历史人物又赋予他崇高的思想，但是社会环境的恶浊以及人与人之间关系的不平等，却使他受到了侵染和损害。卢梭历数他孩提时代寄人篱下所受到的粗暴待遇，入世后社会对他的虐待和他耳闻目睹的种种黑暗与不公……,8,730,0,5.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/127/932127/s_932127.jpg
追寻记忆的痕迹：新心智科学的开创历程,2019-08-10 00:00:00,人物传记-传记综合,本书是美籍犹太裔神经科学家、诺贝尔奖得主埃里克·坎德尔的自传，在书中他不仅表达了个人对其生活和历史的感受和思考，也以亲历者的身份叙述了神经科学这个学科从无到有的发展史——人们如何开始用生物科学的方法研究学习和记忆，在过去的一个世纪里这个领域得到了哪些发展，科学界又对未来怀有哪些愿景和期待。通过阅读这本书，读者不仅可以了解神经科学这一学科的动向，更能窥见最顶尖科学家进行科学探索的思考路径，以及一个伟大科学家的素质和襟怀。本书已被翻译成德语、法语、俄语、意大利语、西班牙语、波斯语等十多个语种，先后荣获2006年度《洛杉矶时报》图书奖和2007年度美国国家学院知识传播奖。,8,873,0,52.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/930/26307930/s_26307930.jpg
假如给我三天光明,2016-02-01 00:00:00,人物传记-传记综合,"    作者以一个身残志坚的柔弱女子的视角，告诫身体健全的人们应热爱生活，珍惜生命。本书系统而完整地介绍了作者丰富、生动、真实而伟大的一生。在文中，作者希望在这假想的三天时间里，能看见自己的老师、朋友；能去参观自然史和艺术博物馆；能看看纽约城和日常世界；最后还要去看一场戏剧。三天的活动，内容涉及生活的各个方面，既表现了作者对生活中美的追求，也表达了作者对人类创造的高度赞美。她还以自己的痛苦经历和美好渴望，劝诫世人要珍惜光明，珍惜光阴。《假如给我三天光明》是自传，采用了白描的手法，无论是对往事的回忆，还是对自己内心的表白， 都是极平常的话语，真实而亲切，自然而流畅。
",4,856,0,2,https://wfqqreader-1252317822.image.myqcloud.com/cover/768/811768/s_811768.jpg
西潮,2016-10-01 00:00:00,人物传记-传记综合,"    在《西潮》的开篇章节中，作者蒋梦麟写道：“我所写下的有点像自传，有点像回忆录，也有点像近代史。不管它像什么，它记录了我心目中不可磨灭的景象，这些景象历历如绘地浮现在我的脑际，一如隔昨才发生的经历。在急遽递嬗的历史中，我自觉只是时代巨轮上一颗小轮齿而已。”童年生活、参加科举、留学美国、回国任职，北京大学的学生运动是怎么回事？民国初年的风云变幻有什么不为人知的故事？著名的西南联大有什么前世今生？蒋梦麟以学者的冷静、赤子的热情，回忆自己的亲身经历，记录长达数十年的中国近代史。本书在五十年代初版后，引发惊人热潮，成为青年学生人手一册的“人生教科书”。《西潮》同时是哈佛大学远东研究所的指定参考书。
",14,820,0,7.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/171/846171/s_846171.jpg
五大传奇权谋人物传记（全集）,2017-05-01 00:00:00,人物传记-传记综合,五大传奇权谋人物传记。《知行合一王阳明》，道破天机！深入解读知行合一及其创始人王阳明的通俗全传，通过讲述王阳明的辉煌传奇，为您剖析知行合一的无边威力。《曾国藩：又笨又慢平天下》，一本书写透曾国藩成功秘诀：坚持笨拙，不走捷径！《成吉思汗：意志征服世界》，讲述成吉思汗一生杀伐谋断的智慧与意志。《帝王师刘伯温》，领略千古谋臣深不可测的谋略智慧。《帝王师张居正》，一生坚持实用主义的理想主义者！看帝王师张居正如何用为人不齿的手段实现神圣崇高的理想！,61,787,0,61.73,https://wfqqreader-1252317822.image.myqcloud.com/cover/468/856468/s_856468.jpg
念完哈佛念阿弥陀佛,2015-02-01 00:00:00,人物传记-传记综合,"    他是国民党陈诚将军的长孙。毕业于普林斯顿和哈佛MBA，曾为麦肯锡资深顾问。为了寻找生命的答案，他曾经出家为僧三年，在禅宗、汉传佛法、藏传佛法中找寻修心的方法；又到西藏、青海、云南、印度、尼泊尔，追随近百位高僧活佛学习。他以非凡的勇气和坦诚写下这本《念完哈佛念阿弥陀佛》，是希望“让认真寻找心性的朋友们，不必走弯路。 在这本不一样的自传里，陈宇廷讲述了自己传奇的半生经历：在台湾的少年时光，在美国求学的生活，在投资银行和麦肯锡工作的岁月，出家求法的经历，和格莱美音乐家央金拉姆的传奇婚姻。
",4,852,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/91/547091/s_547091.jpg
