title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
百年孤独,2017-08-01 00:00:00,文学-外国文学,"中国读者等待了近半个世纪的殿堂级经典《百年孤独》中文版惟一正式授权，根据马尔克斯指定版本翻译，未做任何增删！
缔造文坛传奇与文学奇迹；影响世界小说走向的文学巨匠加西亚·马尔克斯巅峰杰作！代表“魔幻现实主义”文学主峰；征服全球读者、作家、出版社、版权经纪人、书店、媒体的鸿篇巨制；被誉为“《堂吉诃德》之后伟大的西班牙语作品”；
诺贝尔文学奖",3,880,0,35.99,https://weread-1258476243.file.myqcloud.com/weread/cover/36/935536/s_935536.jpg
追风筝的人,2006-05-01 00:00:00,文学-外国文学,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。成年后的阿米尔始终无法原谅自己当年对哈桑的背叛。为了赎罪，阿米尔再度踏上暌违二十多年的故乡，希望能为不幸的好友尽最后一点心力，却发现一个惊天谎言，儿时的噩梦再度重演，阿米尔该如何抉择？,9,915,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/339/546339/s_546339.jpg
霍乱时期的爱情,2020-03-01 00:00:00,文学-外国文学,爱情，首先是一种本能，要么生下来就会，要么永远都不会。有两部书写完后让我整个儿被掏空了：一是《百年孤独》，一是《霍乱时期的爱情》。——加西亚·马尔克斯。有些人说死亡是人类历史上最重要的主题，我不这样认为。我认为爱才是，因为万物都与爱有关。——加西亚·马尔克斯。 加西亚·马尔克斯所创造的的世界是一个微观的世界。它以纷乱喧嚣、使人迷惑的现实描绘，反映了这个大陆令人信服的财产与贫困的现实。也许不仅如此，这是一个宇宙，人类心灵与历史的动力结合在一起，不时冲击着混乱的界限——屠杀与繁衍。,3,785,0,41.4,https://weread-1258476243.file.myqcloud.com/weread/cover/14/26441414/s_26441414.jpg
面纱,2016-04-01 00:00:00,文学-外国文学,50岁时毛姆写下这个近乎完美的爱情故事，因为每个人都在故事中找到了自己。这本小说讲述了爱情中所有的不美好：背叛、猜忌、报复，还有我们终将面对的离别与自我救赎。 毛姆以他冷静得近乎刻薄的方式，将一个女人的堕落与觉醒刻画得淋漓尽致。凯蒂怎么也琢磨不透，丈夫到底有没有发现她出轨的秘密——偷情时门把手的转动、晚餐时意有所指的话语，还有突然要带她前往霍乱之地的决定，这些都让凯蒂的神经越绷越紧。终于，忍无可忍的她打算摊牌，离婚后投奔心爱的情人。然而面纱揭开，爱情的真相与人生的意义将她的天真击得粉碎。毛姆以他冷静得近乎刻薄的方式，将一个女人的堕落与觉醒刻画得淋漓尽致——在两个人的世界里，她只能选择爱他或者失去他，以填补心灵的空虚；但当她身处更为广袤的世界，目睹了生活的残酷和人性的光辉之后，才真正获得了心灵的宁静和对自我的救赎。,25,852,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/809/820809/s_820809.jpg
月亮与六便士,2019-07-01 00:00:00,文学-外国文学,"    银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一种自我绑架，唯有失去是通向自由之途。在异国他乡，他贫病交加，对梦想却愈发坚定执着。他说：我必须画画，就像溺水的人必须挣扎。在经历种种离奇遭遇后，他来到南太平洋的一座孤岛，同当地一位姑娘结婚生子，成功创作出一系列惊世杰作……
",18,802,0,9.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/9/27326009/s_27326009.jpg
外婆的道歉信,2017-05-01 00:00:00,文学-外国文学,七岁的爱莎有个古怪又疯狂的外婆，会埋伏在雪堆里吓唬邻居，把重要的事情记在墙上因为墙不会丢，半夜从医院溜出来带着爱莎翻进动物园，基本上想干什么就干什么。这个四处惹麻烦的外婆却是爱莎最好的朋友，也是她心中的超级英雄。但就算是超级英雄，也有失去超能力的一天。外婆不幸得了癌症去世，留给爱莎一项艰巨的任务——将外婆的道歉信送给她得罪过的九个邻居。这一趟送信之旅让爱莎渐渐发现：外婆和邻居们的故事，比她听过的所有童话都更加精彩。巴克曼让我们爱上这个活泼过头的外婆，也重新爱上生活。随书附赠一封神秘道歉信，读完故事之前绝不要打开。这是一个关于爱、原谅和守护的故事，在合上书之后很久都难以忘记。,8,840,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/485/858485/s_858485.jpg
挪威的森林,2018-03-01 00:00:00,文学-外国文学,《挪威的森林》是村上春树历经30年畅销不衰的长篇爱情小说，更是影响了几代人的青春名作。本书讲述了看似不善言谈但极具个人魅力的主角渡边，爱上了娴静阴郁的直子，同时也被热情率真的少女绿子所吸引的爱情纠葛故事。在拯救这个迷失自我的直子的过程中，渡边逐渐失去自己的方向；而热情率真的少女绿子的出现，如同一片充满希望的绿洲，吸引着苦闷迷惘的渡边。他在这场爱情纠葛中，不断进行着自我的救赎和成长……,6,792,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/515/25856515/s_25856515.jpg
不能承受的生命之轻（米兰·昆德拉作品系列·2022版）,2022-04-01 00:00:00,文学-外国文学,《不能承受的生命之轻》是米兰·昆德拉的小说代表作，享誉世界的超级畅销书，小说依托二十世纪六十年代捷克斯洛伐克的历史剧变，以托马斯与特蕾莎偶然而宿命般的爱情为主线展开故事，不仅仅是描述几对男女感情上的纠葛，也不仅仅是书写个人命运在大的境遇变迁中的沉浮、个人在变革时刻的选择，更是一部层次丰富、意象繁复的哲理小说，从永恒轮回的谵妄之下人的生命分量几何这一带着神秘感的疑问开篇，随着不断穿插的书中人物的生活走向、所思所想提出了生命之轻与重、灵与肉的相对论。,21,877,0,46.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/728/43896728/s_43896728.jpg
禅与摩托车维修艺术,2018-09-01 00:00:00,文学-外国文学,作为一部自传体小说，斐德洛的故事，其实正是本书作者罗伯特·M. 波西格的人生。在《柏拉图对话集》中，斐德洛是一个爱好哲学的普通雅典青年。而在本书中，斐德洛重返人间。他曾经是学哲学的学生，同时也是教修辞学的教师，但是由于哲学理念与文化的世界观冲突，他终于因精神崩溃而住院。出院后，他希望从狭窄而受限的自我解脱，于是开始了一场骑着摩托车横跨美国大陆的万里长旅，一路经过复杂经验与反省思考，终于暂时恢复了灵性的完整与清静。这一回归自己的过程，是通过不断寻求“良质”，即东方哲学里的禅思，并用摩托车维修之道对其进行阐释而实现的。这便是《禅与摩托车维修艺术》一名的由来。与此同时，书中还批评了西方世界的二分法或二元论，如人文与科技、精神与物质、神秘主义与机械论、艺术与工业、心灵与机械、东方与西方等相对意识。,10,826,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/356/33810356/s_33810356.jpg
蝲蛄吟唱的地方,2019-10-01 00:00:00,文学-外国文学,家人一个接一个离开。从十岁起，她就独自生活在北卡罗来纳州海滨荒凉的湿地中，驾着小船，靠猎捕和收集野物卖给码头的人维生。她只上过一天学，是小镇居民口中的“湿地女孩”，文明社会之外的野姑娘。当镇上最受欢迎的花花公子被发现死在湿地中时，人们立刻将怀疑的目光投向她。作为天生的湿地生物学家，她从土地中汲取生活的教训，从萤火虫不诚实的信号中学习世界真正的运行方式。到了渴望触摸和爱的年纪，受到两个来自小镇的年轻人的吸引，她向一种全新的生活开启了心扉……若干年后，她成了当地的传奇，小镇旅游业的名片。但这本书要讲的并不是一个女孩冲破重重阻碍走向光明的励志故事。荒凉的湿地养育了女孩，也塑造了她。她关于爱情和生活的选择听从的是荒野的召唤，而非文明社会的教导。,10,940,0,23.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/977/29599977/s_29599977.jpg
山月记,2018-12-01 00:00:00,文学-外国文学,本书为中岛敦的中短篇小说集，独家收录十篇名作，鬼才漫画家撒旦君插画。此书专治文艺青年“纠结虚无”症，疏肝理气，药到病除。,6,771,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/275/24987275/s_24987275.jpg
五号屠场,2022-05-31 00:00:00,文学-外国文学,"故事中的一切，或多或少都发生过。至少，关于战争的部分是相当真实的。
    比利被外星人绑架了，他因此从时间链上脱开了。
    他上床睡觉时是个老态龙钟的鳏夫，醒来时却在他的婚礼日。
    他从1955年的那扇门进去，从另一扇门出来的时候是1941年。
    他说，他多次看见自己的出生和死亡，看见自己发财致富、儿孙满堂，也看见自己成为战俘，一遍又遍地经历“五号屠场”的灾难……",4,814,0,59.9,https://weread-1258476243.file.myqcloud.com/weread/cover/16/3300021016/s_3300021016.jpg
一个人的朝圣,2013-08-01 00:00:00,文学-外国文学,1个人，87天，627英里。有关爱的回归、自我发现、日常生活的信念以及万物之美。入围2012年布克文学奖，2013年欧洲头号畅销小说，《纽约时报》等各大媒体高评价推荐。哈罗德·弗莱，六十岁，在酿酒厂干了四十年销售代表后默默退休，没有升迁，既无朋友，也无敌人，退休时公司甚至连欢送会都没开。他跟隔阂很深的妻子住在英国的乡间，生活平静，夫妻疏离，日复一日。一天早晨，他收到一封信，来自二十年未见的老友奎妮。她患了癌症，写信告别。震惊、悲痛之下，哈罗德写了回信，在寄出的路上，他由奎妮想到了自己的人生，经过了一个又一个邮筒，越走越远，最后，他从英国最西南一路走到了最东北，横跨整个英格兰。87天，627英里，只凭一个信念：只要他走，老友就会活下去！这是哈罗德千里跋涉的故事。从他脚步迈开的那一刻起，与他六百多英里旅程并行的，是他穿越时光隧道的另一场旅行。,11,842,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/386/623386/s_623386.jpg
荒原狼（译文经典）,2010-08-01 00:00:00,文学-外国文学,赫尔曼·黑塞（1877-1962），德国作家，1946年获得诺贝尔文学奖。《荒原狼》是黑塞中期创作的代表作，亦是他创作生涯中的里程碑。小说的主人公哈勒尔是个正直的作家，他鄙视现代社会生活方式，常常闭门不出，令人窒息的空气使他陷于精神分裂的境地。一天他偶尔读到一本《评荒原狼》的小书，顿觉大梦初醒，认为自己就是一个“人性”和“狼性”并存的荒原狼。之后他应邀参加聚会，发现与会者都有狭隘的民族主义观点，而他的反战言论遭到斥责，更觉自己孤独；回家时他遇到酒巴女郎赫米纳，获得肉欲欢乐；经赫米纳介绍他又结识了音乐人帕布洛和一姑娘玛丽亚，他在音乐和感官享受中忘却了一切烦恼和忧虑。但当他看到赫米纳和帕布洛亲近时，便“狼性”大发，出于嫉妒将赫米纳杀死。小说幻想色彩浓郁，象征意味深远，被认为有“超现实主义”风格；托马斯·曼称它为“德国的尤利西斯”。,6,813,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/560/25291560/s_25291560.jpg
静静的顿河（全集）,2010-09-01 00:00:00,文学-外国文学,《静静的顿河（全集）》肖洛霍夫的长篇巨著《静静的顿河》问世后约半个世纪以来，对这部作品的争论从未停止过。先是争论作家和作品的属性：肖洛霍夫是哪个阶级的作家，《静静的顿河》是什么性质的作品？等到作家和作品被肯定了，又争论起小说中心人物格里高力的典型性。等到这一中心人物的典型性被认定以后，又争论起这一人物的悲剧实质。而所有争论的悲剧实质，实际上是悲剧成因。可以看出，中心议题的改变，是《静静的顿河》被认识和承认的过程。正确的意见一步步取得胜利。然而，直到今天，仍将着眼点放在悲剧本身及其成因方面，而没有看到作者通过悲剧手段塑造美好形象的主旨，仍说明某些评论者没有足够的胆识接触这部作品的实质。这部作品的实质，这部作品的核心是什么呢？作者肖洛霍夫说得很清楚，就是要表现人的魅力。人的魅力就是人性美和性格美，特别是中心人物格里高力的人性美和性格美。作家说到做到，他在作品中确实非常成功、非常有力地表现了中心人物的人性和性格美。,41,909,0,35.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/896/841896/s_841896.jpg
