title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
新摄影笔记,2021-06-01 00:00:00,艺术-摄影,本书是作者在《摄影笔记》的基础上进行悉心编辑整理后的新作。作者结合亲身的拍摄经历，用通俗的语言将摄影技术娓娓道来，使读者真切地感受到学习摄影并不难。本书共分为4章，包含取景、曝光、摄影中的虚实、构图等内容。作者总结了亲身拍摄经验，创造出一套摄影教程体系，以思维导图的形式，引导摄影爱好者进行学习。作者深入浅出的讲解方式，让读者能够快速上手学习摄影技法，并通过实践，不断检验和提高自己的摄影水平。本书适合摄影初学者和摄影爱好者学习参考。,9,907,0,54.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/839/40223839/s_40223839.jpg
拿起手机，人人都是摄影师：卷毛佟的手机摄影笔记,2019-04-01 00:00:00,艺术-摄影,记录平凡生活，分享快乐点滴，留存美好回忆……用手机拍摄和分享已经成为每个人生活中必不可少的一部分，但是，如何才能拍出高质量的照片，如何通过手机上的APP给照片后期“修图”进而提升照片的表现效果，又如何用手机拍出好玩有趣的短视频来记录趣有料的日常，仍然是许多人的困惑。卷毛佟是近年来从网络中涌现出的优秀手机摄影师，本书是他针对上述问题而悉心总结的手机摄影技能教程。全书从解锁拍摄技巧讲起，继而讲解了构图、用光、拍摄视角、场景转换、黑白照片、视觉对比、拍摄创意等方面的知识，书中不仅提供了丰富的手机拍摄于后期处理技法，更用一整个章节分享了短视频拍摄创作的既能干货，以期帮助读者全面提升手机摄影技术。全书配套45段学习视频，其中部分视频是作者首度公开分享。本书适合喜欢用手机拍摄、分享照片的人们，以及想更加深入地了解手机拍摄及照片后期处理技法的手机摄影爱好者阅读。,13,777,0,35.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/142/25916142/s_25916142.jpg
摄影笔记,2000-12-01 00:00:00,艺术-摄影,《摄影笔记》是知名摄影网络编辑宁思潇潇于2007年写成的一本电子书《摄影笔记》改编而来。这个教程是写给摄影新手和菜鸟的。《摄影笔记》共分为8章，其中包含数码单反摄影相机、影调、曝光量、曝光组合、突出主题、光线、人像摄影、旅行摄影、纪实摄影、用照片表达自己的意图等章节。宁思潇潇通过自己亲身的拍摄经验，通俗的语言将摄影技术对读者娓娓道来。使读者真切的感受到学摄影并不难。,13,834,0,27.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/208/22691208/s_22691208.jpg
美之地图,2019-03-01 00:00:00,艺术-摄影,《美之地图》是罗马尼亚摄影师米哈埃拉·诺洛茨发起的一个摄影项目，诺洛茨于2013—2017年自费前往50多个国家旅行，并为当地女性拍摄肖像，记录这个世界上女性多元的生活状态和丰富多样的美。这些摄影作品发布在Facebook和Instagram上，得到全世界的关注。目前这个项目仍在进行中。《美之地图》收录了诺洛茨500余幅作品，镜头前的她们来自世界各个角落，从亚马逊的热带雨林到伦敦街头，从印度的乡镇集市到约旦古城佩特拉。她们有着不同的发色、民族、职业、年龄、信仰，她们的美个个不同。,104,815,0,59.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/380/26785380/s_26785380.jpg
旅行之木,2020-12-01 00:00:00,艺术-摄影,以记录美丽而严酷的极北之地阿拉斯加而闻名的星野道夫，不仅是一位生态摄影师，还是一位旅行作家。《旅行之木》精选星野道夫创作于1993—1995年的33篇随笔。它们发表于作者成名伊始，33篇旅行手记，也是33个故事，33段邂逅。对作者而言，旅行路上邂逅的人会在今后的人生中画出怎样的地图，总归是想要了解的。通过旅行，找到答案，安静而意味深长地记录了下来，写成书，是“幸福汇报”。星野道夫的文字，有种“告别了某种人生”的人所特有的温柔，本书让我们能够与他并肩看到许许多多的风景。,6,948,0,29.99,https://weread-1258476243.file.myqcloud.com/weread/cover/42/3300014442/s_3300014442.jpg
电影感人像摄影教程,2021-03-01 00:00:00,艺术-摄影,本书主要讲解以复古、浪漫、优雅为基调，别具一格的电影感和油画感人像写真的拍摄方法。内容包括电影感人像的基本光线、构图、造型特点、布光方法、室内私房摄影，如何打造氛围感，还有大量案例分别讲解不同类型（英伦复古电影风格、香港电影风格、中式电影风格等）的电影元素要如何转化成摄影作品，并打造自己独特的风格。书中还讲解了相应的后期技术，非常适合人像摄影爱好者、人像摄影师进行阅读学习。并不是只有摄影师才可以拍摄私房，也可以是她的闺蜜，她的男友，她的老公，或者是她自己。这本书旨在教会那些想为别人，或者想为自己纪录下美，拍出具有艺术性的私房写真。,21,759,0,64.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/575/37423575/s_37423575.jpg
摄影入门：人像摄影超简单,2019-11-01 00:00:00,艺术-摄影,这是一本大白话教摄影小白拍出好看人像的图书。书中用简洁的语言教大家人像摄影的基本流程和好用的方法。在介绍用光、色彩、构图以及人像摆姿的基础上，通过13个常见场景拍摄案例，让读者反复练习，最终掌握人像摄影的方法。最后，介绍了人像后期调色和美肤技巧，为大家的照片锦上添花。拍下生活之所见，给家人和朋友留下美好的回忆，这就是本书的使命。,13,817,0,35.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/561/34354561/s_34354561.jpg
失焦,2017-10-01 00:00:00,艺术-摄影,《失焦》是罗伯特·卡帕亲历二战的摄影手记，作品忠实记录了他在战争中经历和感受到的一切。展卷阅读，有时会哑然失笑，而更多的时候，则会让人心情沉重。卡帕深深热爱生命，热爱和平，他厌恶战争，痛恨自己的职业——眼看着一个个年轻的生命，生死只在一瞬间，任谁也无法承受这种巨大的反差——尤其是当这种事情就发生在自己的身边，甚至随时会发生在自己身上时。然而卡帕却以近乎“冷酷无情”的冷静忠实地记录下这一切，他的文字，他的照片，无一不充分体现出这种冷静，而隐藏在冷静背后的，是用生命才能换取的勇气。,5,852,0,39,https://wfqqreader-1252317822.image.myqcloud.com/cover/486/29348486/s_29348486.jpg
摄影必修课（套装4册）（摄影必修课）,2019-11-20 00:00:00,艺术-摄影,套装包含：《审美与表现》、《观察与发现》、《光线与色彩》、《构图与取舍》。“摄影必修课”丛书旨在拨开摄影看似简单的外表，将其内核呈现在读者面前，帮助读者获得对摄影的清晰理解，并掌握摄影这门语言。,32,789,0,96,https://wfqqreader-1252317822.image.myqcloud.com/cover/532/27405532/s_27405532.jpg
论摄影（2018年版）,2018-04-01 00:00:00,艺术-摄影,《论摄影》初版于1977年，是苏珊·桑塔格最重要、最著名的论文集之一，主要包括《在柏拉图的洞穴里》、《透过照片看美国，昏暗地》、《忧伤的物件》、《视域的英雄主义》、《摄影信条》、《影像世界》等论文和随笔，至今仍被誉为&quot;摄影界的《圣经》&quot;。,6,744,0,35.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/296/23796296/s_23796296.jpg
