title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
遇见未知的自己（全新修订版）,2019-12-01 00:00:00,个人成长-情绪心灵,张德芬畅销800万册的都市个人成长修行代表作；新增万字内容；杨幂多次推荐：《遇见未知的自己》可以说是一本拯救过我的书，它让我学会了臣服和接受。周国平、李娜、郝蕾、刘亦菲倾情推荐,13,891,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/583/37086583/s_37086583.jpg
当下的力量（珍藏版）,2013-07-01 00:00:00,个人成长-情绪心灵,17年蝉联美国亚马逊畅销书排行榜，翻译成50多种文字，畅销全球500多万册。我们这个时代最具影响力的心灵经典。身心灵畅销作家张德芬导读推荐。这是一本不能用大脑读的书。这也是一本百读不厌的书。每一次读它，我都有新的收获。,35,846,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/732/237732/s_237732.jpg
与神对话.1,2015-05-01 00:00:00,个人成长-情绪心灵,"    “我的人生为什么如此失败？”尼尔·唐纳德·沃尔什在黄色便笺本上愤怒地写道。这封质疑信得到了神圣的回答，而他的提问也持续了三年。1995年，《与神对话》出版。雄踞《纽约时报》畅销书排行榜137周，拥有37种语言译本，总销量超过1300万册。《与神对话》共分三卷，和人生、世界、宇宙息息相关。怎样才能和别人愉快相处？爱与性的真相是什么？灾难降临时该如何改变命运？生活中所有困惑，都能从《与神对话》中寻找到解决秘钥。
",5,849,0,24,https://wfqqreader-1252317822.image.myqcloud.com/cover/521/733521/s_733521.jpg
我决定给自己一点时间,2022-05-01 00:00:00,个人成长-情绪心灵,"""在他人的眼中，我是什么样的人？
面对他人的期待，我要怎样过好这一生？
每天日复一日，生活催赶着我向前奔跑，
走过他人的历程，奔向未知的目标。
无助、迷茫、胆怯、彷徨……
发现自己并没有过着想要的可爱生活。
毕竟还要走很长很长的一段路，
所以我决定，停下来，等一等自己。
97篇治愈暖文，描绘生活中微小却有幸福的琐事，发现自己的珍贵。
105篇治愈漫画，暖心的配色，可爱的插图，治愈每个不如意的瞬间。
""",3,851,0,32,https://weread-1258476243.file.myqcloud.com/weread/cover/15/3300023015/s_3300023015.jpg
高情商聊天术,2017-10-01 00:00:00,个人成长-情绪心灵,聊天水平决定你的人际关系质量。本书全面升级你的思考能力和表达能力。本书将影响，说服，沟通，谈判，植入聊天案例中，让你在人际交往和生活中遇到的难题迎刃而解。案例接地气，让你在生活中实实在在用得上。本书系统化理论化地提供高情商聊天策略。,13,735,0,11.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/574/918574/s_918574.jpg
早起的奇迹,2018-02-01 00:00:00,个人成长-情绪心灵,要么躺在床上等待生活的暴击，要么早起创造奇迹。谁说世上没有奇迹？哈尔·埃尔罗德证明了他就是个奇迹！他15岁就拥有了自己的电台节目，20岁时已经是一家市值2亿美元公司的顶尖销售员。但很快，他就跌进了人生深渊，在一场严重车祸中“临床死亡”6分钟。醒来后被判定大脑损伤，下半生只能在轮椅上度过。但他隔年就回到公司，更在近6万名业务员中高踞成交量第6名。如今的哈尔不但能跑能跳，更是畅销书作家和励志演说家，还是超级马拉松选手。他究竟是怎么做到的？在人生最低潮时，哈尔接受朋友的建议早起晨跑，意外从中领悟出“S.A.V.E.R.S.人生拯救计划”，只要每天早起一小时做6件事，就能彻底改变你的人生、健康、財富、人际关系。,18,666,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/534/37477534/s_37477534.jpg
清醒地活：超越自我的生命之旅,2021-07-01 00:00:00,个人成长-情绪心灵,畅销书作家、瑜伽和冥想大师迈克尔·辛格从崭新的视角带你探索内心、认识自我内在能量的来源和觉察束缚你心灵成长的阻碍，为你正经历的烦恼、压力、纠结、痛苦找到一味良药——我们每个人都有自救的力量，这个力量来自于清醒的自我。面对漫漫人生之旅，我们都会迷茫、焦虑，会不知所措，会被卡住，那是因为我们受到了自己习惯性思维、情绪和能量模式的影响，从而迷失了自我。当我们处于清醒状态的时候，内心世界就会打开，内心蕴藏的无限能量就会被激发出来，生命将畅通无阻地在你身上自由流动。《清醒地活》分五个部分，循序渐进地带你觉察清醒的自我。首先你要做的就是倾听头脑中的声音，与内心的室友对话，从而唤醒自己的意识，找到清晰的自我。然后，你才会感受到自己所拥有的能量，学会现在就放手，拔掉内心的刺，超越封闭的自我。最后，你要做的就仅仅是拥抱和享受当下的生活。如果你愿意全然体验、悦纳和臣服于生活，而不是与之抗争，你就会被深深地感动。当你达到这个境界，你就会开始看到心灵的秘密。能量需要流经心灵，才能支撑你。这种能量激发着你，滋养着你。,8,891,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/455/40381455/s_40381455.jpg
向上生长,2020-05-01 00:00:00,个人成长-情绪心灵,百万读者称赞口碑作者，九边首部力作。本书从多个角度，阐述我们在生活中遇到的各种困惑、难题，然后逐个进行深层分析，从而告诉你如何精准选择，抓住每一次出现的机会，拥有一条一路向前的人生路径。,7,750,0,28.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/523/31265523/s_31265523.jpg
其实你很好,2019-03-01 00:00:00,个人成长-情绪心灵,写给焦虑、不安、自卑和在内心深处担心自己不够好的你，愿你与自己和解、爱并接纳自己因英语书《考拉小巫的英语学习日记》被读者熟知的考拉小巫，回归自身专业领域，用通俗易懂的语言，帮你学会如何应对内心的焦虑。这本心理自助书写给每一个感到焦虑、不安、自卑和在内心深处担心自己不够好的人，旨在帮助大家找到与自己和解、爱自己并接纳自己的途径，学会自我认可、自我肯定，告别焦虑。作者毕业于美国排名超强的专业，后在美执业，通过临床心理咨询工作接触到无数真实案例。到访的众多中国来访者虽年龄层跨度很大，但都或多或少受着焦虑和自卑情绪的困扰。在当今社会，我们承受着来自四面八方的压力：工作、住房、生活、育儿、学业、人际等等，很多人都活得很焦虑、很有压力。我们害怕被社会淘汰，害怕自己不够努力，担心自己做得不够好，导致每个人内心都有一种不安全的、自卑的感觉。那么，在面对这些焦虑、压力、自卑等情绪时，到底该如何去开解？如何觉察和感知自己的情绪？如何调控情绪，并提高所谓的“情商”？如何克服拖延症和完美主义？想改变却没有行动力时怎么办？有行动力但却坚持不下来怎么办？这些问题，你都将在本书中找到答案。,13,893,0,17.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/41/38363041/s_38363041.jpg
有趣：让高“趣商”成为你的竞争力,2022-05-01 00:00:00,个人成长-情绪心灵,当与一位严肃的客户洽谈业务时，你会怎样打开沉闷的沟通局面？当你面对层层面试或晋升选拔时，如何让自己脱颖而出？当你身处一个不熟悉的社交场合时，如何自如地展现真实的自己？当面对自身的缺点时，你会刻意隐藏，还是敢于放大？当向领导做工作复盘时，你会怎样调整焦虑的情绪和枯燥的表达？……这本书将帮助你一一化解以上场景中的问题。“有趣”不等于滑稽，也不仅仅是幽默，而是一种深刻、多维又个性化的特质，它可以帮助我们在职场和生活中丰富表达，注入积极的能量，拉近与他人的关系，提升个人魅力，获得认可，同时深入认识并打开真实的自己。作者在书中对“趣商”这一概念进行了定义，从内在系统、认知、表达、行事4个层面出发，探究一个人如何变得有趣，手把手帮助读者打造“有趣”的个人名片。42位古今中外“有趣的人”和作者的亲身经历贯穿全书，聚焦职场发展、人际关系、情绪管理、自我认知、生活智慧、个人魅力等多个方面。相信不论是初入职场的新人，亟待打破职场瓶颈，提升团队效能的团队管理者、职业经理人，还是生活和事业处于“尴尬期”的普通读者，都将从中受益。,9,750,0,48.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/850/44497850/s_44497850.jpg
