title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
室内装修施工全能一本通,2018-05-01 00:00:00,科学技术-建筑,内容提要本书以全彩图搭配，生动详细的讲解了装修施工中的操作步骤及施工工艺。全书内容包括开工前的准备、拆除工程、水电改造施工、木工工程、泥水工程、油漆工程、工程验收、装修材料质量过硬的品牌及靠得住的网店推荐。让读者真正能通过一本书了解装修的全流程，能看懂书中的工艺及指导装修。本书即可作为家装业主、想要从事和正在从事家装行业的相关人员阅读和参考。,8,759,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/46/25916046/s_25916046.jpg
苏州园林,2014-04-01 00:00:00,科学技术-建筑,本书从江南鱼米之乡苏州入手，结合园林的历史积淀，描写了苏州园林写意山水的布局方式、虽由人作而宛自天开的景象构成以及丰富多彩的文化天地三个层面，展示出造园的高超技术，并联合古典园林流传的美丽故事与传说，通过文字和图片向读者展示出跃然纸上、栩栩如生的苏州古典园林。此外本书还从国内和国际的发展角度，论说了作为文化符号苏州古典园林，其传承和创新的方向。,6,711,0,9,https://wfqqreader-1252317822.image.myqcloud.com/cover/614/812614/s_812614.jpg
在建筑中发现梦想,2014-02-01 00:00:00,科学技术-建筑,《在建筑中发现梦想》是建筑大师安藤忠雄在日本NHK大众讲堂进行建筑讲座的讲义集合，与此前安藤的其他文字不同，《在建筑中发现梦想》是一本回归建筑本真问题的书，集中了“我们为什么建筑？”“建筑真实又为何？”的讨论。建筑家安藤忠雄，沿着他年少时代游学的足迹，逐一写下自己在世界各地的建筑见闻。而书中记录下的每一个建筑故事，都包含一段人类生活的历史，正是这些隐性的基因与密码造就了风格各异的建筑形态。安藤在感慨建筑与社会、生活的紧密纽带同时，也在反思现代建筑带来的人与人、人与环境的隔阂。,5,763,0,20.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/186/839186/s_839186.jpg
建筑工程造价一本就会,2016-04-01 00:00:00,科学技术-建筑,本书根据《建设工程工程量清单计价规范》(GB50500—2013)以及全国统一定额编写而成，主要介绍了工程造价的各种定义、现场施工图的识读、工程量计算规则、定额与清单计价的实际应用和区别以及现场工程造价实际工作所涉及的招投标、各种计价表、工程签证、现场各种预算经验速查等内容。全书内容从理论了解到实际操作，循序渐进地全面讲解现场工程造价各方面的实际工作，力求让读者能够通过本书的学习，快速上手现场工程造价工作。本书内容简明实用，图文并茂，实用性和实际操作性较强，可作为建筑工程预算人员和管理人员的参考用书，也可作为土建类相关专业大中专院校师生的参考教材。,15,820,0,31.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/565/916565/s_916565.jpg
家的模样,2020-04-01 00:00:00,科学技术-建筑,空间，是生活的容器。家的模样，决定你生活的模样。把家视为生活的容器，起居坐卧、工作阅读、煮饭品茶、盥沐休憩……日常所求，无非“安适舒坦”而已。从实际需求、生活习惯与审美标准出发，才是所谓“设计”的原点。美食与旅行达人、生活美学家、叶怡兰细腻书写关于空间观点、设计思维、生活美学以及家的温暖点滴。从居家理念到装修细节，数百张实拍照片+今昔对比解说，完整展现量身打造自家住宅的步骤与见解：【态度篇】审视生活，自己的个性与习惯塑造家的模样。【细节篇】从细微之处看设计巧思与生活的美好细节。【日记篇】长达一年的居家圆梦记录，与实用信息参考。【对话篇】房主对话设计师，如何用设计让生活更美好。叶怡兰首度公开自家私宅，与读者分享自己的生活品味、家居设计理念与装修细节，只要用心体察生活，兼具审美与功能性的家宅都能够实现。,16,633,0,52.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/433/35626433/s_35626433.jpg
设计必修课：室内设计与人体工程学,2019-05-01 00:00:00,科学技术-建筑,本书是一本讲解人体工程学在室内设计时如何应用的书籍，它分为了从“人”的角度认识室内设计、居住活动与住宅空间设计、办公空间设计、商业购物空间设计、休闲娱乐空间设计酒店空间设计、餐饮空间设计七个章节，涵盖了大部分室内空间设计时所需要考虑的家具及人体尺寸关系，帮助读者了解人体工程学对于室内设计的必要性和实用性。,10,796,0,44.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/176/29976176/s_29976176.jpg
视频+全彩图解室内装饰装修现场施工,2018-10-01 00:00:00,科学技术-建筑,本书根据装饰装修施工的全流程，从整体工序到不同工种的实际操作，按照现场实际进行梳理和列举。全书分为装修施工准备与基础改造、水路施工、电路施工、泥瓦工现场施工、木工现场施工、油漆工现场施工、洁具与灯具安装七部分内容。所有内容围绕现场实际操作展开，介绍每个施工阶段所要进行的具体施工操作，每个具体施工环节涵盖施工要求、工具、材料、施工流程、现场施工重点以及现场快速验收和问题处理等内容。为了便于读者直观的理解，全书内容尽量以图示的形式来说明现场施工过程，并将施工要求简单化、口语化，通过一个个简单易懂的工序点，组合成该阶段的所有内容，其中的重点施工步骤和做法还可以通过扫描二维码观看现场操作视频。本书通过直观的图示让读者了解不同的工序环节，学习现场操作细节，从而更好地掌握装修施工技能。本书不仅可以作为装修工人的现场操作指南，也可以供装修业主对比监督现场施工质量。,13,792,0,44.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/600/27125600/s_27125600.jpg
室内绿植完整手册,2019-11-01 00:00:00,科学技术-建筑,从植物杀手到园艺达人的室内绿植圣经系统梳理品种·科学养护绿植·塑造空间美学，深入探索植物世界用大叶植物布置客厅角落，或是在工作台上摆几盆别致的多肉，繁茂的绿色能使整个家都生机勃勃——室内绿植为我们在都市水泥丛林中开拓了重获新生的避难所。每种室内绿植都有独特的生长习性，即便是适应性强的品种也需要精心关照。开始养绿植之前，我们要考虑很多因素——例如光照，试想一下，如果你想养一株仙人掌，却没有自然光线照进房间，结果只能是收获一株愁眉苦脸的刺球。《室内绿植完整手册》不仅全面梳理了绿植的基本栽培常识，还系统介绍了60个热门品种的生长习性与养护技巧。从传统的棕榈类和喜林芋属，到不常见的海芋属和空气植物等，带您深入探索植物世界。挑选心仪的室内绿植，耐心控制水、光照、温度、湿度、土壤和肥料，搭配美丽的花盆，把不同风格的绿植混搭布置，种出自己的“室内丛林”……愿你心怀喜悦，开始与植物相伴的新生活。,9,526,0,58.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/637/27269637/s_27269637.jpg
室内装饰装修施工完全图解教程,2015-09-01 00:00:00,科学技术-建筑,上一本与国内知名装饰业之峰装饰合作的《室内装饰材料与装修施工实务》一书推出后，市场反响良好，在各大网络购书平台的装饰装修类书籍中占据销量榜首。考虑到室内装饰专业细分的要求与普遍反映的装修施工晦涩难懂的问题，应出版社邀请，与业之峰装饰与东家西舍装饰等企业合作，编写了《室内装饰装修施工全过程图解》一书。装饰施工为什么难懂，因为其过于复杂。单纯依靠书本的理论阐述对于初学者和业主而言，无异于是读天书。但是装修施工又非常重要，直接决定了装修的品质。鉴于此，我们推出《室内装饰装修施工全过程图解》一书，采用全过程图解的方式，选用装修施工的典型实例，全过程跟踪拍摄，最终汇集大量资料，将装修施工的流程、步骤、要点和验收全部图解，这样初学者可以通过我们的图片和文字说明，轻松的搞懂装修施工。本书有两大特点，一是强调实用，一是强调易懂。本书不仅可以作为各个本科、高职、中职院校的教材，对于已经步入行业岗位的室内设计师、施工监理，以及对于那些要马上面临装修的业主，也可以作为掌握装修施工知识的用书。,6,756,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/325/24982325/s_24982325.jpg
美国大城市的死与生（60周年致敬版）,2020-07-01 00:00:00,科学技术-建筑,《美国大城市的死与生》自1961年出版以来，即成为城市研究和城市规划领域的经典名作，对整个世界范围内有关都市复兴和城市未来的争论产生了持久而深刻的影响。 雅各布斯以纽约、芝加哥等美国大城市为例，以充满激情的文字，深入考察了都市结构的基本元素，以及它们在城市生活中发挥功能的方式。是什么使得街道安全或不安全？是什么构成了街区，它在更大的城市机体中发挥什么样的作用？为什么有些街区仍然贫困，有些街区却获得新生？通过对这些问题的回答，雅各布斯具体阐释了城市的复杂性及其发展取向，也为评估城市的活力提供了一个基本框架。 “尽我们所能去理解城市的生态，这是摆在人类面前的一项紧迫任务。”雅各布斯的杰作是一部以人为本治理城市的蓝图。时至今日，它仍具有强烈的现实意义。,9,697,0,52.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/875/32908875/s_32908875.jpg
