title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
史蒂夫·乔布斯传,2011-10-01 00:00:00,人物传记-财经人物,史蒂夫·乔布斯是一位极具创造力的企业家，史蒂夫·乔布斯有如过山车般精彩的人生和犀利激越的性格，充满追求完美和誓不罢休的激情，史蒂夫·乔布斯创造出个人电脑、动画电影、音乐、手机、平板电脑以及数字出版等6大产业的颠覆性变革。史蒂夫·乔布斯的个性经常让周围的人愤怒和绝望，但其所创造出的产品也与这种个性息息相关，全然不可分割的，正如苹果的硬件和软件一样。两年多的时间，与史蒂夫·乔布斯40多次的面对面倾谈……,19,892,0,40.7,https://wfqqreader-1252317822.image.myqcloud.com/cover/327/217327/s_217327.jpg
史蒂夫·乔布斯传（2014修订版）,2014-03-01 00:00:00,人物传记-财经人物,"    史蒂夫·乔布斯有如过山车般精彩的人生和炽热激越的性格成就了一个传奇，一个极具创造力的企业领袖，他追求完美和誓不罢休的激情使个人电脑、动画电影、音乐、手机、平板电脑以及数字出版等六大产业发生了颠覆性变革。2011年，《史蒂夫·乔布斯传》出版；在两年后的今天，我们又推出了修订版。在原有《乔布斯传》的基础上，修订了全部译文，采纳了读者对翻译的众多建议，使得整体译文更加完善，更加精良。此外，修订版一大亮点是新增补作者亲自撰写的后记，描述了乔布斯去世后的相关过程，包括葬礼等，对读者有新的吸引点，也更完美了此部经典著作。
",20,892,0,40.7,https://wfqqreader-1252317822.image.myqcloud.com/cover/722/635722/s_635722.jpg
褚时健传,2016-01-01 00:00:00,人物传记-财经人物,《褚时健传》，褚时健数万字自述首次披露，褚橙运营细节深度全公开。 褚时健最认可的权威授权传记，自序中称本书“写出了他真实的一生”，《褚时健传》是他最重要的传记作品。 88岁老人的传奇人生，起落、颠覆、从谷底反弹的力量，风靡全国的“励志橙”创业史，以及他不息的强大生命力。 王石、吴晓波作序推荐《褚时健传》，王石称自己看完书稿夜不能寐。 调查深入、资料翔实，真实，客观，书稿含褚时健数万字自述，并配以大量珍藏图片，很多都是第一次公之于众。 大量细节披露褚橙经营方法和理念，包括褚橙的内部管理、渠道拓展、营销、品质监控等，这是之前的书都没有详细讲到的部分。,18,896,0,34.1,https://wfqqreader-1252317822.image.myqcloud.com/cover/568/814568/s_814568.jpg
滚雪球：巴菲特和他的财富人生（套装共2册）,2017-06-01 00:00:00,人物传记-财经人物,《滚雪球》一书为我们描述了一个和普通人一样遭遇过挫折和失败的巴菲特，如何在投资和商业中获得了巨大成功和财富。同时，《滚雪球》中对于巴菲特投资理念和商业思想的全面解读，让这位我们这个时代硕果仅存的商业领袖的精神财富，得以传承后世。,18,848,0,58.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/585/907585/s_907585.jpg
一生的旅程：迪士尼CEO自述,2020-05-01 00:00:00,人物传记-财经人物,比尔·盖茨罕见2000字推荐的神级领导力教科书。比尔盖茨：这是我多年来读过最好的商业书之一。樊登博士倾力推荐！迪士尼CEO自述如何请比我优秀的人为我工作！现象级畅销书，席卷《出版人周刊》《纽约时报》《华盛顿邮报》各大榜单，《时代》《财富》《华尔街日报》竞相报道，畅销美、英、德、法等20国！艾格是《时代》杂志2019年度商业人物，连续四年蝉联好莱坞年度影响力人物，也是《福布斯》杂志评选的“全球杰出CEO”。15年前定下的战略彻底改变好莱坞格局，迪士尼成为好莱坞代名词！好莱坞巨头六家变为五家，2019年迪士尼出品的电影占全美电影票房近四成。 上海迪士尼是他的代表作，亲述从选址到开园的艰辛与乐趣！揭秘打造复仇者联盟、星球大战、狮子王、冰雪奇缘、黑豹、花木兰等97个超级IP的秘诀，会聚斯皮尔伯格、卡梅隆、卢卡斯、大卫·林奇等142个超级创意人才。口碑爆棚，Goodreads万人评分4.45分（满分5分），98%的读者好评率，豆瓣读者评分高达8.9分！奥普拉、斯皮尔伯格、巴菲特、科比、克里斯·保罗、樊登、罗振宇、陈思诚倾力推荐！翻开本书，洞悉全球最佳CEO的神级领导力秘密。,6,865,0,59.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/548/30966548/s_30966548.jpg
成为乔布斯,2016-09-01 00:00:00,人物传记-财经人物,这不是关于成功的故事，而是关于成长的故事。这本书将彻底改变我们看待乔布斯的方式。史蒂夫·乔布斯是史上最著名的CEO之一，关于他的书籍非常多，但这本书与众不同。本书推翻了关于史蒂夫·乔布斯的传说和陈词滥调，比如他是天才和混蛋的结合体，暴躁易怒、自私自利，怠慢朋友与家人。本书揭示了这位苹果联合创始人和CEO的家庭生活与职业生涯，并回答了一个关键问题：为什么如此轻狂傲慢、以至于被赶出苹果的年轻人能成为史上最高效、最具有远见的商业领袖，从而改变几十亿人的生活？布伦特·施兰德和里克·特策利通过可靠的信息来源，甚至是独家渠道，还原真实的史蒂夫，描绘他如何将自身优点发挥到极致并与缺点作斗争。,11,902,0,40.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/326/839326/s_839326.jpg
任正非传,2017-04-01 00:00:00,人物传记-财经人物,"任正非，一个中国商业史上无法绕开的名字，他被誉为教父级企业家，他重新定义了中国企业家精神。他的创业故事激励着无数企业家搏杀奋斗。他和他缔造的企业一样沉稳低调，历经沉浮坎坷，却最终披荆斩棘，登上了个人意志和时代的巅峰。他早年投身军营，却未上前线杀敌，做的是基建工程兵；改革开放后，军队改制，他转业于国企，却给所在企业造成巨额亏损，最终被除名。时年43岁的他，失业、离婚、负债200万元，没有资本、没有人脉、没有技术、没有市场经验，带着仅有的2万余元钱，在破旧的仓库里成立了华为。然而30年后，当人们提起华为时，它已经是跻身世界五百强之列，年营业额逾800亿美元的超级企业……
",22,680,0,14.94,https://wfqqreader-1252317822.image.myqcloud.com/cover/23/861023/s_861023.jpg
巴菲特传,2017-09-01 00:00:00,人物传记-财经人物,"    本书全面讲述巴菲特八十多年的人生历程，深度分析其投资生涯和商业传奇。从《华盛顿邮报》的一个青涩报童到求学沃顿商学院，从初涉证券经纪公司到结识投资大师格雷厄姆，从联手查理·芒格到控股伯克希尔·哈撒韦，长期投资可口可乐、吉列、Geico等，将伯克希尔·哈撒韦打造成市值近2000亿美元的超级企业……巴菲特的投资史、成长史也是美国资本市场数十年来的发展史。不断阅读这本书，你将洞悉巴菲特的投资精髓和人生哲学。
",16,765,0,11.94,https://wfqqreader-1252317822.image.myqcloud.com/cover/163/915163/s_915163.jpg
无惧与坚持：销售巨人梅第传,2021-08-01 00:00:00,人物传记-财经人物,《无惧与坚持：销售巨人梅第传》是保险传奇人物梅第的访谈录，从梅第的成长经历、入行保险业的原因、与客户交流的方法、取得成功的秘诀等角度，全面介绍了他传奇的一生。通过阅读本书，相关销售从业者不仅能学到实用的专业知识，还能在认知上增强职业的荣誉感和意义感。,15,909,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/825/41137825/s_41137825.jpg
巴菲特幕后智囊：查理·芒格传,2017-01-01 00:00:00,人物传记-财经人物,国内唯一芒格本人及巴菲特授权传记  虽然和巴菲特携手创立了伯克希尔哈撒韦公司，并取得了令人瞩目的成绩，查理•芒格却几乎是投资界最神秘、最低调的人物。 本书作者曾8次参加伯克希尔公司股东大会，5次参加威斯科金融公司股东大会。本书包括了对33位相关人士进行的44次采访、记录以及芒格的演讲稿，其中75%的资料是首次批露。通过描写芒格与巴菲特的偶然相遇，芒格作为一个投资天才的独特成长以及他作为公民的特立独行，畅销书作家珍妮特•洛尔展现了我们这个时代最重要的思想者如何成为他自己。,8,832,0,41.4,https://weread-1258476243.file.myqcloud.com/weread/cover/52/3300021452/s_3300021452.jpg
段永平传,2020-11-01 00:00:00,人物传记-财经人物,"小霸王、步步高是耳熟能详的国民品牌，而其背后的缔造者段永平则神秘、低调，鲜为人知。
他是隐秘角落里的商业传奇，他白手起家、用10年光景连续打造出影响亿万家庭的爆款产品;正值事业巅峰之时，他却为爱隐退，从企业家化身投资人，再次缔造业界奇迹。本书试图探寻段永平成功背后的故事，详细描述他跌宕起伏、引人入胜的创业经历，那些胸怀梦想的创业者可以从他的故事中看到自己的样子",8,656,0,29.5,https://weread-1258476243.file.myqcloud.com/weread/cover/32/3300022032/s_3300022032.jpg
向死而生：我修的死亡学分,2015-07-01 00:00:00,人物传记-财经人物,李开复曾任职苹果公司，创建微软中国研究院，之后转战Google， 2009年离职创办创新工场，这些不同的角色让他的人生富有传奇色彩，但命运总在不经意间转折。一场疾病让他对生命有了新的理解和体悟。 《向死而生》是李开复对过去一年的动情回顾，情真意切，字字珠玑。真实地再现了作者在病中的所思所想，让读者看到了他重生之后日渐成熟的人格魅力与价值观。不忘初心，心怀感恩，随缘随喜，这是当身边人问及他抗癌心路历程时，他给出的唯一答案。 这本书写出了作者患病期间的人生感受，可谓劝世贤言。读之，能从中获益匪浅。,6,784,0,6.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/631/747631/s_747631.jpg
创始人手记：一个企业家的思想、工作和生活,2018-08-01 00:00:00,人物传记-财经人物,《创始人手记》为携程、如家、华住这三家百亿美元级企业的创办人/联合创办人季琦的随笔集，全书分为“天”“地”“人”三个部分。“天”包含宇宙、时空、人生、意义等形而上的内容，反映了季琦的生命哲学，而这套哲学对他创办企业有很大的影响，从中我们看到创始人的情怀如何影响企业的长足发展。“地”这一部分记录了季琦脚踏实地创始、发展、经营这三家企业的重要思考和经历，包含他经历的“至暗时刻”，做出的最重要的商业决定，对中国服务、中国梦、酒店的未来等话题的设想和理解。“人”部分偏向个人化的书写，在这一部分他谈家乡的人和食物，对酒的研究，旅行的经历，对朋友、诗歌和当代艺术的看法……,25,771,0,28.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/466/22982466/s_22982466.jpg
滚雪球：巴菲特和他的财富人生（上）,2013-07-01 00:00:00,人物传记-财经人物,《滚雪球》是巴菲特授权的官方传记。1939年的冬天，9岁的巴菲特在院子里玩雪。他把少量的积雪铲到一块，揉成一个雪球，然后把它放在地上慢慢滚动，雪球越滚越大。从此，巴菲特再也没有停下脚步，目光投向白雪皑皑的整个世界……沃伦·巴菲特，我们这个时代伟大的商业领袖和投资大师，向我们敞开了他的心扉。这本他本人亲自授权的官方传记，以前所未有的视角，揭开了巴菲特的传奇人生。许多年来聚光灯下高大的“股神”终于走下神坛，以他最平实的语言、最真诚的心，娓娓道来，讲述了他近80年人生中触动人心的故事，分享了他60多年商业和投资生涯中宝贵的经验。,14,797,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/151/908151/s_908151.jpg
我的改变：个人的现代化40年,2019-09-01 00:00:00,人物传记-财经人物,《我的改变：个人的现代化40年》是万科创始人、现任远大科技集团联席董事长王石的最新自传。不同于市面常见的成功人士传记，王石在这本书中剖析自己、回应时代，从“肉身”“空间”“学习”“角色”“生死”五个概念入手，结构全书，高度凝练了他的最新观念与思想。在经历了“万宝之争”、经历了“人生的至暗时刻”后，他进行了十年“刻骨铭心的反思”，并用数年时间，完成此书。既是对世人加诸其身的众多谜团的大起底，也是向读者倾诉、交流，甚至彼此鼓励的“走心”之作。,10,811,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/347/32608347/s_32608347.jpg
岩田先生：任天堂传奇社长如是说,2021-07-01 00:00:00,人物传记-财经人物,本书取材于HOBO日刊ITOI新闻所刊载的岩田聪先生的大量访谈，以及任天堂官网上登出的《向社长询问》栏目，将“岩田先生的话”按照时间、主题的顺序，重新编排，汇集成册。从来自札幌的高中生“天才程序员”，到扭转巨额负债状况的小型企业社长，再到世界顶尖游戏公司任天堂主理人。岩田聪传奇的一生，他的经历与经验，价值观与哲学，经营理念，以及对于创意的思考，尽在这本书中。书中还特别收录了宫本茂和糸井重里谈岩田先生的追忆文章。,13,859,0,40.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/83/39247083/s_39247083.jpg
贝佐斯传,2021-10-01 00:00:00,人物传记-财经人物,1995年，杰夫·贝佐斯创立了亚马逊。今天，亚马逊早已不再拘泥于一家电商平台，在物流、云计算、物联网、数字内容、新零售等多个领域成就斐然，成为全球科技界无边界成长的企业典范。从一家网上书店到市值超1.6万亿美元的商业巨擘，贝佐斯做对了什么？智能家居入口、市场占有率达70%的声控音箱Echo是如何被开发出来的？先发制人的云计算平台AWS，在和谷歌、微软的竞争中是怎样保持竞争优势的？无人商店“AmazonGo”为何一推出就博得全球瞩目，颠覆了传统便利店的运营模式？资深商业记者布拉德·斯通历时8年，采访超过200名亚马逊中高层管理者，深度挖掘亚马逊的精彩成长历程，揭开了贝佐斯在战略制定、组织管理、人才培养等企业经营层面未曾披露的独特理念和经营法则。,7,644,0,55.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/586/40638586/s_40638586.jpg
做最擅长的事：沈南鹏传,2016-01-01 00:00:00,人物传记-财经人物,"    知名投资人沈南鹏传记。本书详细讲述了红杉中国创始人及合伙人沈南鹏的成长、创业和投资经历。从他少年求学到后来创办携程网、如家酒店并在短时间内带领两家企业上市，再到后来继续从事投资行业，投资了包括新浪网、阿里巴巴集团、京东商城、唯品会、豆瓣网、诺亚财富、高德软件、乐蜂网、奇虎360、乾照光电、焦点科技、大众点评网、中国利农集团、乡村基餐饮、斯凯网络、博纳影视、开封药业、秦川机床、快乐购，蒙草抗旱、匹克运动等知名企业并成功促使他们上市的历程。希望通过讲述沈南鹏创业、投资的过程给当下年轻创业者以及职场中人以有益的帮助。
",7,553,0,19.92,https://wfqqreader-1252317822.image.myqcloud.com/cover/916/836916/s_836916.jpg
稻盛和夫全传,2013-07-01 00:00:00,人物传记-财经人物,"    《稻盛和夫全传》是从稻盛和夫的童年时光开始追忆，讲述了这位被称为“经营之神”的日本企业家领袖从一个名不见经传的大学生走向全球著名企业家的全过程。
",4,783,0,8.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/776/791776/s_791776.jpg
摩根写给儿子的32封信,2012-07-01 00:00:00,人物传记-财经人物,本书是世界财富巨擘摩根家族的奠定者——约翰·皮尔庞特·摩根给儿子小约翰·皮尔庞特·摩根的信集。它本来是不愿公开的私人信札，是以遗嘱形式密藏的贵重珍品，并且“透露了太多的摩根家族创造财富的秘密和商业的智慧，是培养伟大企业家无可比拟的教材……”。,7,830,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/918/312918/s_312918.jpg
任正非全传,2019-12-01 00:00:00,人物传记-财经人物,任正非，注定是一个中国商业史无法绕开的名字。他被誉为中国企业家最杰出的代表和“珠峰”人物之一，他一直以来以睿智、低调、朴实的作风为大众所称道，大家也习惯用“既伟大又平凡”来形容他。从2万到数千亿，从深圳小厂到世界巨头。出身平凡的任正非是怎样做到的？本书是作者历经20余年，深度跟踪研究华为和任正非后，基于各个阶段的关键事件和人物创作而成。本书用全新的素材资料，真实、全面地记录了任正非坎坷的人生历程和传奇创业奋斗史，也展示了中国近代商业从蹒跚学步到健步如飞的艰难崛起、发展的历程。这既是一本任正非的个人传记，也是一幅中国通信产业的发展图景。,4,846,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/524/35566524/s_35566524.jpg
吴敬琏传,2010-02-01 00:00:00,人物传记-财经人物,在当代中国经济改革史上，吴敬琏之重要性在于，他几乎参与了建国之后所有的经济理论争议，由他的思想演进出发，可以勾勒出中国经济变革理念的大致曲线。书中，吴敬琏娓娓道来，历史如跛足的行者，不动声色地姗姗走近，又姗姗走远，一段波澜壮阔的人生在回忆者与记录者之间穿梭，如画卷般展开。,8,843,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/94/176094/s_176094.jpg
