title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
小家，越住越大,2016-11-03 00:00:00,生活百科-居家,《小家，越住越大》房价高、面积小、东西多、收纳少；节奏快、压力大、时间紧、想法杂……这些是都市人生活普遍面临的问题。但是，即使只有有限的空间，也希望住得舒适、快乐，纵然蜗居在不大的房子，也有一颗追求高品质生活的心。万科住宅专家逯薇认为，居住并非与生俱来的本能，而是需要学习和掌握的技能。针对居住者们最常遇到的问题以及居住的最大痛点，她首次将自己在住宅方面的丰富经验汇集成书。在这本精美的绘本中，她将自己的居住哲学一笔笔画出，加上幽默风趣的文字，让读者一目了然，可以轻松愉快的方式快速掌握家居设计、整理收纳、购置家私等问题的诀窍和要领。三百多页的绘本，处处透着作者对打造更美好的居住环境的坚定态度。她毫无保留地将居住理念的精华部分放在这本书中，更有无数的居住“干货”，带给你超值的居住技巧，让你的“住商”在短时间内快速得到提升。是一本提升生活品质不可错过的好书。房子不必大，住好才是家。翻开这本书，从打造一个整洁温暖的家开始新的旅程！,5,686,0,34.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/739/26433739/s_26433739.jpg
爱上收纳：井井有条又热气腾腾的家,2020-01-01 00:00:00,生活百科-居家,房子不能换、东西越来越多、家庭添丁老人同住、工作繁忙没空收拾……直击现代人居住痛点，提供每天只花10分钟也能让整洁轻松维持的家居收纳提案。作者蚂小蚁，中国规划整理塾上门导师及讲师，曾为众多中国家庭提供上门整理服务，多年的一线丰富经验全面公开。不同于市场日本家居、收纳书，从中国读者需求出发，收纳方法贴合国人生活习惯，收纳工具方便购买。无需在装修期间解决所有问题，即使居住多年，依然可以让小户型也能变成大空间。8大空间问题逐个击破，详解格局、玄关、客厅、阳台、洗手间、餐厨、卧室、儿童房的收纳法则。20条让生活井井有条的收纳心法，从根源解决快速复乱的问题，一经整理，永不复乱。30天美好的家之养成计划，跟随书中的30天收纳日历，每天只做一点点，也能拥有理想的家。40余幅手绘图、200余幅实拍照片，无死角解说家居每一寸空间的收纳创意。“收纳是为了更好地懒”“收纳没有标准答案”，毫无压力、超级人性化的收纳全书.在杂货铺式的家居收纳案例中，让你的家不仅拥有井井有条的整洁，更成为热气腾腾的人间归宿,15,826,0,27.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/533/34354533/s_34354533.jpg
装修，做好三件事就够了,2021-05-01 00:00:00,生活百科-居家,好不容易新房到手，一想到装修却一个头两个大？面对光溜溜的毛坯房，脑子一片空白根本不知从何下手？市面上的装修书、网络上的科普帖争先恐后地给你支招，你却越看越不知道究竟该怎么做？这本书，就是为对装修望而却步的你准备的。作者一针见血地指出，装修之所以让人叫苦不迭，是因为大部分人没有弄清楚一个最基本的问题——装修装的是什么。装修不是没完没了地打柜子，也不是照着Ins风美图复刻一个“看上去很美”的风格。在本书中，身兼建筑师和室内设计师双重身份的作者先从建筑设计的专业视角出发，带你透视住宅装修的底层逻辑，帮你厘清装修中的关键所在。再基于这种对“装修本质”的清晰认知和多年室内设计经验，设计出任何人都能轻松上手的装修三步法。读过这本书，你会发现：装修其实可以很简单，只需聚焦于空间布局、房屋系统、装修风格这三件事，就能将装修中看似数也数不尽的大小事项悉数囊括、逐一攻克。装修也可以有逻辑、有章法，只需跟随作者的步伐逐个专题、逐个房间地学习，装修小白也能快速形成目的明确、条理清晰的装修思路，每一步都运筹帷幄、事半功倍。愿你和你的温暖小家之间不再存在一道难以逾越的鸿沟。,9,891,0,51,https://wfqqreader-1252317822.image.myqcloud.com/cover/242/39254242/s_39254242.jpg
这样装修不超支、不被宰、不返工,2014-07-01 00:00:00,生活百科-居家,"装修，非亲历者难知其水深。设计师开个小差、包工头换个小料、工人们偷个小懒，看起来都是小问题，但日后你就会发现麻烦都出在这些小事上。不过，如果你装修过一次，看到了施工的具体过程，那就不同了。本书带着读者亲历装修的每个细节，让读者事先知道其中的真相。本书按施工顺序，介绍了装修中的十大工程：1.拆除工程：如果事先没设计好，拆完了墙，可能要原地重建。2.水电工程：又称“隐蔽工程”，即使用了劣质的水电管线，你也看不到。3.泥瓦工程：任何一道工序出问题都会造成墙面裂缝，而且大多无药可治。4.卫生间工程：防水做不好，楼下总来找；防臭做不好，经常返臭味。5.厨房工程：设计厨房、橱柜时，不做饭的人最好不参与决策。6.空调工程：位置不对，开着空调会不冷；防腐层太差，烧着暖气会不暖。7.木工工程：少用木板是关键，因为其中的甲醛要3-15年才能释放干净。8.油漆工程：都说是“一底两面”,但不刷底漆，你也不一定知道。9.收尾工程：打扫卫生的工具有讲究，搞不好会擦坏地板、瓷砖……10.砍价工程：砍价很专业，不学勿上岗；网购很廉价，但便宜常常没好货。",11,755,0,17,https://wfqqreader-1252317822.image.myqcloud.com/cover/897/906897/s_906897.jpg
怦然心动的人生整理魔法,2018-07-01 00:00:00,生活百科-居家,这是一本帮助人们重新找到幸福感的人生整理书。近藤麻理惠，这个5岁开始爱上收纳整理，15岁已读遍所有相关书籍，18岁开始担任整理顾问的女孩，用她全部的热情与无人能及的专业，独创以心动感为标准的整理法，告诉你如何通过整理你的环境，来整理你的过去、找到你的梦想、改变你的人生！真正彻底的整理会让人的精神焕然一新。这是一本给万千读者带来人生改变的整理奇书，值得推荐给所有想让人生变得更轻盈和自信的人。,9,705,0,26.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/170/23402170/s_23402170.jpg
脱胎换骨的人生整理术：爱自己从整理开始,2020-05-01 00:00:00,生活百科-居家,人生的改变，从整理开始。整理是一束微光，照亮整个世界。整理有形物品，实现轻盈生活；整理无形之物，唤醒自在人生。整理不是一种简单的行为、一组重复的动作，它有着实实在在的力量，这种力量足以开启心智、改变人生。整理物品与环境，并用整理的思维梳理与物、与自我、与他人的关系，就可以找到最适合自己的生活方式，摆脱混乱，收获美好。,12,772,0,52,https://wfqqreader-1252317822.image.myqcloud.com/cover/586/31515586/s_31515586.jpg
美好人生运营指南：哈佛MBA写给你的人生管理课,2018-07-01 00:00:00,生活百科-居家,从上海交大到哈佛，从银行到硅谷，她表面风光，内心焦虑迷茫。历时5年，耗资100万元，她遍访名师、游学各地，了悟生命是一个整体，要用有限的资源，平衡地经营那些重要命题。本书从七个维度，分享了人生管理的思维工具与行动步骤：目标：你对现在的生活满意吗情绪：你的内心能量是如何被遏制的情感：高质量“脱单”和爱情经营秘诀工作：三招帮你掌控职场选择权使命：唤醒潜力的三个步骤财务：普通人的财务自由之路健康：扭转亚健康的四大要素,17,610,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/808/22671808/s_22671808.jpg
怦然心动的人生整理魔法（全2册：整理术+实践解惑）,2019-02-01 00:00:00,生活百科-居家,本套书共两册。近藤麻理惠，这个5岁开始爱上收纳整理，15岁已读遍所有相关书籍，18岁开始担任整理顾问的女孩，用她全部的热情与无人能及的专业，独创以心动感为标准的整理法，告诉你如何通过整理你的环境，来整理你的过去、找到你的梦想、改变你的人生！ 《怦然心动的人生整理魔法》是一本帮助人们重新找到幸福感的人生整理书，是一本给万千读者带来人生改变的整理奇书，值得推荐给所有想让人生变得更轻盈和自信的人。《怦然心动的人生整理魔法·实践解惑篇》是一本帮助人们终结永远也整理不完魔咒的生活美学书。什么是“怦然心动的感觉”？“不心动又必需的东西”的真正用处是什么？“看似无用的心动物品”呢？ 衣服应该怎么叠，厨房应该怎么整理？有图就好了。整理中为家人的东西感到焦虑时，该怎么办？ 整理中感觉“看不到终点，受到挫败”怎么办？如果你有这些疑问，近藤麻理惠会在本书中为你逐一解答。,17,706,0,42.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/268/33284268/s_33284268.jpg
家的整理：拯救人生的整理法则,2020-09-01 00:00:00,生活百科-居家,整理，是带领我们通向舒适而充实生活的入口，也是引导我们开启崭新人生的一把钥匙。品尝美食、安然入睡、放松身心等平淡的小幸福，在一个杂乱的房间里很难完成。你要相信，整理不是一项“负担”，而是“美好未来”的铺垫。日本超级主妇、整理达人向大家传授只有家庭主妇才知道的具有实践意义的整理、收纳技巧以及生活中的小巧思。作者从物品收纳、资料整理、衣物取舍、计划制定、生活物品购买、家务、年末大扫除、家居好物等各个方面，分享了51 个切实可行、能够改善繁杂生活的小巧思。这些生活思考，不仅适用于整理与收纳，也适用于对于所有家务、时间以及金钱管理等各个方面，甚至整个人生。整理，就是找到人生必需品的过程。希望每一个你能在这本书的帮助下，收获令心情舒畅的生活之道。,18,688,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/841/33625841/s_33625841.jpg
收纳，给你变个大房子,2020-02-01 00:00:00,生活百科-居家,你的家是这样吗？房间小，东西多，没时间收拾？房子越住越小，物品越理越乱？专门做的衣帽间，却放不下多少衣服？每次换季都是一场硬仗？孩子房间的整洁只能保持5分钟？零碎小物品太多无从下手？屋里收完就乱，整理收纳反反复复？家的空间有多大，你真的知道吗？《收纳，给你变个大房子》帮你彻底解决家的整理难题！本书是中国空间管理行业卞栎淳老师的重磅新作，集合了卞老师自己最核心的超实用收纳经验和整理心得。也是卞老师结合本土中国家庭的家居情况，为中国家庭量身打造的家庭空间全面收纳指南。这本书中从大的空间整理划分到小的物品收纳方法，一一给出了详尽的解决之道，大空间+小方法的结合，能让家的空间成功扩容30%-50%。你在收纳道路上遇到的全部难题，这本书彻底为你解答。,24,590,0,22,https://wfqqreader-1252317822.image.myqcloud.com/cover/368/28199368/s_28199368.jpg
