title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
中国石窟简史（艺林藻鉴）,2022-04-27 00:00:00,艺术-雕塑,本书从石窟传入中国之始切入，对整个中国石窟寺发展历程进行总体描述，详细梳理了中国石窟寺自西向东、自北向南逐渐推进的历程，细数各朝石窟开凿的由来和过程，石窟与当时政治、经济、人民日常生活的交织关系，以时间为经、以代表性石窟为纬，展现历代石窟总体风貌，并细化至各代各地具有代表性的石窟其由来、开凿时间、主持者、地质特征等各方面的信息。,10,0,0,69,https://weread-1258476243.file.myqcloud.com/weread/cover/64/3300017464/s_3300017464.jpg
雕刻大地,2020-09-01 00:00:00,艺术-雕塑,本书是备受赞誉的美国华裔建筑师与艺术家林璎的作品集，以丰富的图片展示了林璎的50多件作品，包括数量可观的珍贵草稿和手绘图。从越战阵亡将士纪念碑，大地艺术作品，到“汇流”系列景观项目，林璎一直在探索人们体验景观并与之发生联系的方式，致力于重建人与历史、地域、集体记忆和自然的本应相互交融的关系。她的建筑作品往往与景观和环境有强烈呼应，也格外重视设计的可持续性；而在她的小型工作室作品里，则常常融入了以科学方法收集的数据和对这些科学数据的直觉式的呈现。自20岁左右进入公众视野开始，林璎一直在提出各种思考与构建图景的方式，这些方式抗拒任何类别、流派与界限。她将自己的观点和立场植入作品之中，以颇具东方特色的柔和与不争的方式表达。林璎关注地球环境多年，目前正在创作一座基于网络的纪念碑作品——什么正在消失？。作品聚焦环境破坏、生物多样性锐减的现状，呼吁我们抵御这场人类共同的危机。,9,699,0,100.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/566/35458566/s_35458566.jpg
硬木头雕出软萌感：木雕小物手作自学教程,2020-10-01 00:00:00,艺术-雕塑,本书是木雕小物手作的自学教程。作者是木雕手作的达人，其总结了多年制作木雕手作的经验，向读者详细地介绍了在家进行木工雕刻需要准备的工具、不同物件适用的木材、木工雕刻的一般流程，并完整展示了3种实用餐具、5种古风饰品、6种呆萌动物的雕刻方法。本书展示的木雕手作案例造型可爱、精致小巧又不失传统韵味，而且它们的制作过程并不复杂，书中同时还分享了原创木雕设计的方法和心得。本书适合木工雕刻新手、手作爱好者学习使用，也适合木雕手工艺人借鉴和参考。,7,903,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/582/34069582/s_34069582.jpg
中国彩塑艺术,2020-10-01 00:00:00,艺术-雕塑,本书从历史角度系统地论述了中国彩塑艺术的起源、形成和发展，结合大量历史文献资料和图片全方位阐述了不同朝代彩塑作品的风格和特点，总结了传统彩塑在千百年间形成的造型观念、表现方法，对中国古代雕塑艺术中的诸多问题做出了客观精辟的分析，从理论和实践两方面对当代彩塑教学、创作实践和理论研究做出了重要的探索和经验总结，对弘扬民族艺术、促进当代雕塑艺术多元化发展具有现实指导意义和长远影响。,26,0,0,89.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/701/41787701/s_41787701.jpg
塑话百年,2019-01-01 00:00:00,艺术-雕塑,本书由泥人张世家第六代传承人张宇先生亲自撰写，以世家第六代传人的角度和大量珍贵的史实资料向读者呈现了泥人张的发展历史和工艺技术的传承。本书从创始人张明山先生说起，讲述了泥人张如何开创并巩固其艺术地位，选材用料上有何讲究，六代父子之间如何传道授业以及张宇先生如何看待泥人张日后的发展。在书中，读者可以通过文字对泥人张的起步、发展到成熟有一个全方面的了解和认识。本书的独特之处在于这是一本详实的世家史实书，而不再是传统的作品集，类似泥人张史实记录书在市面上从未发表过。书中，张宇首次将六代传承人对作品创作的不同理解和各自的工艺技巧公之于众，经历了百年的风云变幻后的泥人张世家如何继续壮大和传承，阅读此书后都能从书中找到答案。对于工艺爱好者来说，这是一本学习书，对普通百姓来说，这是一本很好的了解泥人张历史的书，该书的问世，对当下文化大发展大繁荣的图书市场来说定是一个有着深远影响的书籍。,14,0,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/343/31192343/s_31192343.jpg
西方当代雕塑,2014-09-01 00:00:00,艺术-雕塑,《西方当代雕塑》以1945年为起始点，全面介绍了“二战”之后西方当代雕塑的主要流派与代表作品，深度解析雕塑在表现形式与使用材料上的突破。战后新世界的开启促使雕塑家们迅速告别传统，转而追求更加自由和辛辣的艺术表达，作品甚至前卫到“不像雕塑”。贾科梅蒂将一直以来位于雕塑底部的基座融入创作，让空间感更加开放；安迪·沃霍尔把随处可见的日常消费品作为使用材料，推动了名噪一时的“波普艺术”；约瑟夫·博伊斯用真正的脂肪堆砌出著名的作品《油脂椅》，以此探索分裂世界中人的本质……本书生动呈现了不同雕塑作品在艺术上的前瞻性表达，忠实记录了西方当代雕塑与20世纪社会发展的积极互动。,19,875,0,55,https://wfqqreader-1252317822.image.myqcloud.com/cover/601/26572601/s_26572601.jpg
中国雕塑发展概况（中国艺术漫谈）,2015-07-01 00:00:00,艺术-雕塑,《中国艺术漫谈》，主要包括文学、戏曲、音乐、舞蹈、绘画、书法、建筑、雕塑、陶器、织染、装饰、戏剧、话剧、电影、电视等内容。在这里，既有审美的欣赏，更有历史的认知与启示，并以精炼、浅显的语言与精美图片阐述中国各类艺术源远流长的发展历程，全方位展示我国各种艺术的精华，多角度介绍我国艺术的发展脉络。本套书具有很强的艺术性、可读性和启迪性，是我们广大读者了解中国艺术、增长艺术素质的良好读物，也是各级图书馆珍藏的最佳版本。,4,0,0,2.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/523/34055523/s_34055523.jpg
首饰雕蜡技法（第二版）,2018-08-01 00:00:00,艺术-雕塑,本书在第一版基础上，进一步丰富理论与技能知识点及充实教学案例，增加了新的雕蜡技术，深化了各项技术细节。力求图文并茂（配图1696幅），通过图像、视频（配视频文件15个）等资料多角度展示各技法细节与要领。全书共十章，分别为首饰制作概述、雕蜡工具与蜡材、雕蜡基础技法、戒指篇、吊坠篇、手镯篇、胸针篇、耳环与饰品篇、失蜡铸造。,12,0,0,21,https://wfqqreader-1252317822.image.myqcloud.com/cover/106/40912106/s_40912106.jpg
寿山石全书（修订版）,2016-11-28 00:00:00,艺术-雕塑,本书原著《寿山石志》于八十年代首次出版，旋即引发热潮；作者以此为基础，增订大量内容及加插图片，编写了这本更深入、更全面的寿山石专书，网罗全面，涉古通今，涵盖了寿山石的专门知识，学术性与实用性兼备，是一部具艺术收藏价值的学术性工具书。,15,0,0,202.74,https://wfqqreader-1252317822.image.myqcloud.com/cover/478/30035478/s_30035478.jpg
雕塑文化底蕴（辉煌书画艺术）,2016-01-01 00:00:00,艺术-雕塑,主要包括万里锦绣河山、悠久文明历史、独特地域风采、深厚建筑古蕴、名胜古迹奇观、珍贵物宝天华、博大精深汉语、千秋辉煌美术、绝美歌舞戏剧、淳朴民风习俗等，充分显示了美丽中国的中华民族厚重文化底蕴和强大民族凝聚力，具有极强系统性、广博性和规模性。,2,0,0,6.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/804/35038804/s_35038804.jpg
