title,author,publishTime,category,intro,free,price,cover
和秋叶一起学Excel（第2版）,秋叶 黄群金 章慧敏,2020-02-01 00:00:00,计算机-软件学习,为什么建议职场中的你选择这本书？为什么建议你最好在大学毕业前选择这本书? 因为学会Excel，你可以： 1. 让简历更受HR 青睐 现在是处处都讲数据化管理的时代，如果你的简历赫然写着“精通Excel”，没有HR 会理你！ 但你在简历上这样写：能熟练运用VLOOKUP、IF、COUNTIF 等解决数据计算问题；会用数据透视表进行数据统计和分析；会用条件格式让数据一目了然，提升表格的易用性；能熟练制作折线图、散点图、漏斗分析图、一页纸报告。效果可能就会不一样，它会成为你求职的核心竞争力。 2. 创造更多的个人时间 几百份Word 版的问卷，登记结果、再统计分析，没有大半天做不完。天天熬夜加班的“表哥表妹”，哪儿还有时间逛街、看剧、谈对象？ 学好Excel，一键转录，加上数据透视表，三下五除二，十分钟搞定。 3. 掌握一门现代办公的通用语言 企业通讯录、客户信息管理、生产计划排期、经营分析，小到App，大到ERP，无时无刻不在产生各种数据。Excel兼容几乎所有的数据文件，是各种系统之间的桥梁，更是整理数据、输出可视化报表的重要工具。Excel 是现代办公室的通用语言，你必须得会。,0,61.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/654/30915654/s_30915654.jpg
别怕，Excel VBA其实很简单,Excel Home编著,2012-10-01 00:00:00,计算机-软件学习,"　　《别怕，Excel VBA其实很简单》考虑到大多数读者没有编程基础的实际情况，用浅显易懂的语言和生动形象的比喻，并配合大量插画，介绍Excel中看似复杂的概念和代码、从简单的宏录制、VBA编程环境和基础语法的介绍，到常用对象的操作与控制、Excel事件的调用与控制、用户界面设计、代码调试与优化、都进行了形象的介绍。
　　《别怕，Excel VBA其实很简单》适合想提高工作效率的办公人员，特别是经常需要处理、分析大量数据的相关人员，以及财经专业的高校师生阅读。",0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/624/731624/s_731624.jpg
工作型PPT该这样做,秦阳,2020-05-01 00:00:00,计算机-软件学习,工作型PPT，唯“快”不破！作为日常工作中的PPT，不能为了追求完美设计而无限度地投入时间和精力，聪明的人懂得利用有效的时间去创造更高的业务价值，再通过PPT来展现自己的成果。本书围绕着“高效”讲授一键转换、一键排版、批量制作等相关的PPT制作技巧。工作型PPT的第一目的是沟通！工作汇报、年终总结、产品介绍、校园宣讲……这些工作场景虽然特别多，但本质上都是同一个事情，那就是沟通——能够将信息有效地传达给受众。本书介绍了很多演示思路上的经验技巧，还有很多速查速用的逻辑模板。工作型PPT 要严谨、专业。一份工作型PPT，代表着一家企业的形象，绝不能出现低级错误。本书附赠《工作型PPT 品控手册》，100多项细节品控，确保PPT零失误！希望本书能够帮助职场人在短时间内制作出提升职场竞争力的PPT，让PPT成为有效沟通的利器。,0,44.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/909/37730909/s_37730909.jpg
超简单：用Python让Excel飞起来,王秀文 郭明鑫 王宇韬,2020-07-01 00:00:00,计算机-软件学习,本书是一本讲解如何用Python和Excel“强强联手”打造办公利器的案例型教程。全书共9章。第1～3章主要讲解Python编程环境的搭建、Python的基础语法知识、模块的安装和导入、常用模块的基本用法等内容，为后面的案例应用打下坚实的基础。第4～8章通过大量典型案例讲解如何用Python编程操控Excel，实现数据整理、数据分析、数据可视化等工作的自动化和批量化处理。第9章主要讲解如何在Excel中调用Python代码，进一步拓宽办公自动化的应用范围。本书理论知识精练，案例典型实用，学习资源齐备，适合有一定Excel基础又想进一步提高工作效率的办公人员，如从事文秘、行政、人事、营销、财务等职业的人士阅读，也可供Python编程爱好者参考。,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/493/32886493/s_32886493.jpg
PPT设计的艺术：人人都用得上的PPT设计书,林屹,2018-09-01 00:00:00,计算机-软件学习,自己的PPT为什么不好看？也许不是模板不够，而是你缺乏设计感！设计不是一种专业，而是每个人应该具备的能力。这本书会教你思考如何在注意力稀缺的时代，设计出更具视觉化的PPT传播信息，设计菜鸟也能变身设计达人。自己制作的PPT为什么不好看？也许不是因为模板不够，而是因为你缺乏设计感！设计不是一种专业，而是每个人应该具备的能力。这本书会教你思考如何在注意力稀缺的时代设计出更具视觉化的PPT来传播信息，让设计菜鸟也能变身设计达人。,0,69.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/686/25462686/s_25462686.jpg
用数据讲故事,科尔·努斯鲍默·纳福利克,2017-08-01 00:00:00,计算机-软件学习,本书通过大量案例研究介绍数据可视化的基础知识，以及如何利用数据创造出吸引人的、信息量大的、有说服力的故事，进而达到有效沟通的目的。具体内容包括：如何充分理解上下文，如何选择合适的图表，如何消除杂乱，如何聚焦受众的视线，如何像设计师一样思考，以及如何用数据讲故事。适合所有需要用图表展示信息和数据的人士阅读。,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/908/22806908/s_22806908.jpg
Photoshop 2020中文版从入门到精通,敬伟,2020-08-01 00:00:00,计算机-软件学习,本书为零基础读者学习Photoshop软件的教学书籍。通过本书，读者将从零认识Photoshop，了解主界面及术语、概念；学会使用基本工具，包括图层、选区、填充、蒙版、图层样式、智能对象、混合模式、多种调色命令、抠图、滤镜等，并提供一系列精彩案例，使理论与实践相结合。本书在内容上有着非常详尽的讲述，严谨而不失生动，丰富而条理清晰。通过基本理论了解原理，通过基本操作学会软件技能，通过案例实战灵活掌握软件用法。将知识系统化并进行综合应用，实现创意的发挥。通过对本书的学习，读者将最大化完成软件学习效果。,0,62.86,https://wfqqreader-1252317822.image.myqcloud.com/cover/431/34752431/s_34752431.jpg
数据分析：企业的贤内助,陈哲,2015-01-01 00:00:00,计算机-软件学习,,0,16,https://wfqqreader-1252317822.image.myqcloud.com/cover/714/621714/s_621714.jpg
Excel函数与公式速查手册（第2版）,赛贝尔资讯,2019-10-01 00:00:00,计算机-软件学习,《Excel函数与公式速查手册（第2版）》通过574个行业真实案例，全面、详尽地介绍了Excel在各应用方向上的函数与公式速查技巧，适用于Excel2019/2016/2013/2010/2007/2003等各个版本。全书共分为15章，前14章介绍了逻辑函数、数学和三角函数、文本函数、信息函数、日期和时间函数、统计函数、财务函数、查找和引用函数、数据库函数、工程函数、加载项和自动化函数、多维数据集函数、兼容性函数以及Web函数，第15章介绍了名称的定义与使用。,0,48.86,https://wfqqreader-1252317822.image.myqcloud.com/cover/396/27563396/s_27563396.jpg
和秋叶一起学PPT（第4版）,秋叶 陈陟熹,2020-02-01 00:00:00,计算机-软件学习,如果： 你是零基础PPT“菜鸟”，又想用最短时间成为PPT 高手，这本书适合你； 你是Office 2003 版的资深用户，现在想学习Office 2013/2016/2019 版的功能，这本书适合你； 你是常年被老板“虐”稿，加班熬夜重做PPT 的职场人，想又快又好做出工作型PPT，这本书适 合你； 你是想选一本知识点齐全的图书作为案头的PPT 操作教程，不用挑了，这本书适合你。 本书帮你解决了３个问题： 快速掌握PowerPoint 最新版本的功能操作； 快速领悟PowerPoint 页面美化的思维方法； 快速查找PowerPoint 构思需要的各种素材。 我们不但告诉你怎么做，还告诉你怎样操作最快最规范！ 我们不但告诉你如何做，还告诉你怎样构思最妙最有创意！,0,61.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/647/30915647/s_30915647.jpg
