title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
精益数据分析,2015-01-01 00:00:00,计算机-数据库,本书围绕精益创业展开讨论，融合了精益创业法、客户开发、商业模式画布和敏捷持续集成的精华。本书汇聚了100多位创始人、投资人、内部创业者和创新者的成功创业经验，呈现了30多个极具价值的案例分析，可以为各阶段的创业者提供行为准则。,16,767,0,44.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/763/907763/s_907763.jpg
SQL必知必会（第5版）,2020-07-30 00:00:00,计算机-数据库,SQL是使用最为广泛的数据库语言，几乎所有重要的DBMS都支持SQL。本书是麻省理工学院、伊利诺伊大学等众多大学的参考教材，由浅入深地讲解了SQL的基本概念和语法，涉及数据的排序、过滤和分组，以及表、视图、联结、子查询、游标、存储过程和触发器等内容，实例丰富，便于查阅。与其他同类图书不同，本书没有过多阐述数据库基础理论，而是专门针对一线软件开发人员，直接从SQLSELECT开始，讲述实际工作环境中最常用和最必需的SQL知识，实用性极强。新版对书中的案例进行了全面的更新，并增加了章后挑战题，便于读者巩固所学知识。,42,820,0,28.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/685/34336685/s_34336685.jpg
利用Python进行数据分析（原书第2版）,2018-06-01 00:00:00,计算机-数据库,阅读本书可以获得关于在Python下操作、处理、清洗、规整数据集的完整说明。本书第2版针对Python 3.6进行了更新，并增加了实际案例向你展示如何高效地解决一系列数据分析问题。你将在阅读过程中学习到最新版本的pandas、NumPy、IPython和Jupyter。,33,843,0,60,https://wfqqreader-1252317822.image.myqcloud.com/cover/904/22739904/s_22739904.jpg
MySQL必知必会,2008-12-01 00:00:00,计算机-数据库,MySQL是世界上最受欢迎的数据库管理系统之一。书中从介绍简单的数据检索开始，逐步深入一些复杂的内容，包括联结的使用、子查询、正则表达式和基于全文本的搜索、存储过程、游标、触发器、表约束，等等。通过重点突出的章节，条理清晰、系统而扼要地讲述了读者应该掌握的知识，使他们不经意间立刻功力大增。本书注重实用性，操作性很强，适用于广大软件开发和数据库管理人员学习参考。,8,740,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/965/22806965/s_22806965.jpg
架构整洁之道,2018-09-01 00:00:00,计算机-数据库,《架构整洁之道》是创造“Clean神话”的Bob大叔在架构领域的登峰之作，围绕“架构整洁”这一重要导向，系统地剖析其缘起、内涵及应用场景，涵盖软件研发完整过程及所有核心架构模式。本书分为6 部分，第1部分纲领性地提出软件架构设计的终极目标，描述软件架构设计的重点与模式；第2~4部分从软件开发中三个基础编程范式的定义和特征出发，进一步描述函数、组件、服务设计与实现的定律，以及它们是如何有效构建软件系统的整体架构的；第5部分从整洁架构的定义开始，详细阐述软件架构设计过程中涉及的方方面面，包括划分内部组件边界、应用常见设计模式、避开错误、减少成本、处理特殊情况等，并以实战案例将内容有机整合起来；第6部分讲述具体实现细节；附录则透过作者数十年的软件从业经历再次印证本书的观点。,14,882,0,49.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/210/33692210/s_33692210.jpg
实现领域驱动设计,2014-03-01 00:00:00,计算机-数据库,本书分别从战略和战术层面详尽地讨论了如何实现DDD，其中包含了大量的最佳实践、设计准则和对一些问题的折中性讨论。全书共分为14章，在DDD战略部分，本书向我们讲解了领域、限界上下文、上下文映射图和架构等内容，战术部分包括实体、值对象、领域服务、领域事件、聚合和资源库等内容。一个虚构的案例研究贯穿全书，这对于实例讲解DDD实现来说非常有用。,37,786,0,19.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/964/33380964/s_33380964.jpg
SQL必知必会（第4版）,2013-05-01 00:00:00,计算机-数据库,SQL是使用最广泛的数据库语言，几乎所有重要的DBMS都支持SQL。本书由浅入深地讲解了SQL的基本概念和语法，涉及数据的排序、过滤和分组，以及表、视图、联结、子查询、游标、存储过程和触发器等内容，实例丰富，便于查阅。新版增加了针对ApacheOpenOfficeBase、MariaDB、SQlite等DBMS的描述，并根据最新版本的Oracle、SQLServer、MySQL和PostgreSQL更新了相关示例。本书适合SQL初学者，也可供广大开发及管理人员参考。,8,812,0,12,https://wfqqreader-1252317822.image.myqcloud.com/cover/963/22806963/s_22806963.jpg
从0到1：JavaScript 快速上手,2019-11-01 00:00:00,计算机-数据库,本书分为2大部分：第1部分是Javascript基本语法，主要介绍流程控制、函数、字符串、数组等基本语法；第2部分是Javascript核心技术，主要介绍DOM操作、事件操作、window对象、document对象等核心技术。为了让读者更好地掌握，本书还结合实际工作以及前端面试，精心挑选了大量高质量的练习题。此外，本书还专门配套了课件PPT以及各种工具手册，以便各大高校老师教学使用。,14,844,0,30.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/660/30070660/s_30070660.jpg
深入浅出数据分析,2012-10-01 00:00:00,计算机-数据库,《深入浅出数据分析》以类似“章回小说”的活泼形式，生动地向读者展现优秀的数据分析人员应知应会的技术：数据分析基本步骤、实验方法、最优化方法、假设检验方法、贝叶斯统计方法、主观概率法、启发法、直方图法、回归法、误差处理、相关数据库、数据整理技巧；正文之后，意犹未尽地以三篇附录介绍数据分析十大要务、R工具及ToolPak工具，在充分展现目标知识以外，为读者搭建了走向深入研究的桥梁。,26,754,0,17.6,https://weread-1258476243.file.myqcloud.com/weread/cover/17/3300016817/s_3300016817.jpg
PyTorch深度学习实战,2022-02-01 00:00:00,计算机-数据库,虽然很多深度学习工具都使用Python，但PyTorch库是真正具备Python风格的。对于任何了解NumPy和scikit-learn等工具的人来说，上手PyTorch轻而易举。PyTorch在不牺牲高级特性的情况下简化了深度学习，它非常适合构建快速模型，并且可以平稳地从个人应用扩展到企业级应用。由于像苹果、Facebook和摩根大通这样的公司都使用PyTorch，所以当你掌握了PyTorth，就会拥有更多的职业选择。本书是教你使用PyTorch创建神经网络和深度学习系统的实用指南。它帮助读者快速从零开始构建一个真实示例：肿瘤图像分类器。在此过程中，它涵盖了整个深度学习管道的关键实践，包括PyTorch张量API、用Python加载数据、监控训练以及将结果进行可视化展示。本书主要内容：（1）训练深层神经网络；（2）实现模块和损失函数；（3）使用PyTorchHub预先训练的模型；（4）探索在JupyterNotebooks中编写示例代码。,26,762,0,76.74,https://wfqqreader-1252317822.image.myqcloud.com/cover/589/43134589/s_43134589.jpg
数据结构与算法图解,2019-04-04 00:00:00,计算机-数据库,本书是数据结构与算法的入门指南，不局限于某种特定语言，略过复杂的数学公式，用通俗易懂的方式针对编程初学者介绍数据结构与算法的基本概念，培养读者编程逻辑。主要内容包括：为什么要了解数据结构与算法，大O表示法及其代码优化利用，栈、队列等的合理使用，等等。,11,832,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/939/26211939/s_26211939.jpg
程序员修炼之道：从小工到专家,2011-01-01 00:00:00,计算机-数据库,《程序员修炼之道》由一系列独立的部分组成，涵盖的主题从个人责任、职业发展，知道用于使代码保持灵活、并且易于改编和复用的各种架构技术，利用许多富有娱乐性的奇闻轶事、有思想性的例子及有趣的类比，全面阐释了软件开发的许多不同方面的最佳实践和重大陷阱。无论你是初学者，是有经验的程序员，还是软件项目经理，本书都适合你阅读。,23,739,0,11,https://wfqqreader-1252317822.image.myqcloud.com/cover/237/33831237/s_33831237.jpg
