title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
微习惯·瘦身篇,2020-08-01 00:00:00,生活百科-时尚,本书是《微习惯》的姊妹篇。盖斯在大量研究的基础上分析了各种瘦身方法的弊端，提出我们可以用“微习惯”策略获得更美好的形体，并给出了详细、实用的方案。他表示，为了实现真正的改变，我们需要让改变得以持续。找对方法后，这些改变不会越来越难坚持，而是会随着大脑的适应而变得越来越简单。等到了那个时候，我们就不需要按照任何计划行事，而会自然地以健康的新方式生活。盖斯从改变饮食与生活习惯的角度为读者提供了不会带来痛苦的瘦身法则。掌握微习惯策略后，不止在瘦身塑形方面，在人生中很多其他方面，我们都能更轻松地实现长久的积极改变。,10,765,0,25.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/540/32886540/s_32886540.jpg
放弃减肥，我瘦了60斤,2021-10-01 00:00:00,生活百科-时尚,本书以作者自己健康减肥60斤后的心得及方法为基础，结合五年来的相关写作积累，探究屡次减肥失败的真正原因——并非是意志力太差，而是减肥确实难，且无法长期持续。全书就围绕这个难点，寻求合理的解决方案——不用做需要坚持的事情（如忍受饥饿、疯狂锻炼）、把减肥目标缩小、让减肥成为习惯。本书分14章，从“你被骗了”开始讲为什么你的减肥总是屡战屡败，究竟是误入了哪些误区，然后提出“吃你想吃的，不想做的就不做”的持续减肥理念，并给出数十万人亲征有效的记录减肥法全阶段操作细则。无论你曾采取过什么样的饮食、锻炼计划失败后感到多沮丧，在本书都会找到有用的建议。,26,775,0,35.88,https://wfqqreader-1252317822.image.myqcloud.com/cover/952/41202952/s_41202952.jpg
我减掉了五十斤！心理咨询师亲身实践的心理减肥法,2017-09-01 00:00:00,生活百科-时尚,38岁时的徐徐，身高1米58，体重150斤，是什么让事业有成、家庭美满的她决意改变“富态”的身形？是什么样的减肥秘诀，让她从40岁起，越减越健康、越减越年轻，越减越幸福，50岁胜过20岁——体重99斤，美白轻盈、活力四射？本书中徐徐的减肥故事，以及六位在徐徐的帮助下成功瘦身的主人公的成长故事，能让你在他们的伤痛、挣扎、顿悟、重生中获得深切的感动和温暖的力量。心理减肥法，教你学会观照内心，接纳自我、修善自我，获得真正的内在能量。徐徐用细腻的文笔，在一段段鲜活的故事中融入了心灵疗愈的法门，以及亲身实践过的具体方法。,3,800,0,10,https://wfqqreader-1252317822.image.myqcloud.com/cover/421/23474421/s_23474421.jpg
湿胖,2020-01-01 00:00:00,生活百科-时尚,你不是胖，是湿气重。每天祛湿，外表一定瘦！“湿胖”是中国式肥胖，其特点和根源不是多了肉，而是多了水。靠挨饿减肥成功的，就算是暂时瘦了，也仍旧可能是“湿胖” 的“预备役”。起床就能看出来的“胖”，其实是脾虚湿困的结果。为了减肥而不吃主食的人，或者久坐不动、缺乏运动的人，他们大多是一边喊着累，一边胖着。懒惰者、过度用脑者和贪吃者，这三种人最容易生湿。湿重的人身体总是困重的，因而懒得运动。而思虑过多、大脑的能耗过度的人也容易脾虚湿重。非但眼袋，全身都会有脂肪因代谢能力下降而堆积的问题。一个健康的美人和有眼袋的你之间，隔着一个强健的脾。腰围接近胸围，是衰老的表现。脂肪容易存留在腹部，这是腰围变粗的关键原因之一。能给身体塑形、显露 “三围”的，不是脂肪，而是肌肉。减肥先祛湿，才是正确减肥的关键所在。从湿胖的臃肿中解放出来，“享瘦”健康每一天。,25,732,0,48.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/565/30151565/s_30151565.jpg
听肌肤的话2：问题肌肤护理全书,2019-07-01 00:00:00,生活百科-时尚,作者拥有私人非营利性皮肤学实验室，从事皮肤问题研究近十年，收集了大量皮肤问题实例。他结合典型案例，详细介绍了常见皮肤问题的起因、类型和全套护理方案，包括大油田、痘痘、色斑、黑头、毛孔粗大、敏感、脂溢性皮炎、玫瑰痤疮、激素依赖性皮炎、皱纹、头皮屑、鸡皮肤等，根据书中的方法在家中就可以对自己的皮肤问题做初步的判断。书中介绍的护肤方法均有实验或研究数据做支撑，科学严谨。此书是护肤爱好者、美容师及美容行业从业者的必备枕边书。,26,768,0,47.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/953/26640953/s_26640953.jpg
素颜女神：听肌肤的话,2016-11-01 00:00:00,生活百科-时尚,本书旨在打造一本普通人能看懂、可以影响一生护肤理念的书，作者以事实和数据说话，以大量的实验和皮肤科学研究文献对观点进行佐证，又提供了简单、实用的护肤技巧。本书首先教你认识肤质，树立正确的护肤理念，再结合国内外研究结果和实验研究，给出理性的护肤建议，包括：正确的护肤方法、化妆品的选购、化妆品的正确用法、內调养颜、破解美容谣言等。,17,684,0,23.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/896/914896/s_914896.jpg
慢养自有高颜值,2016-08-01 00:00:00,生活百科-时尚,《慢养自有高颜值》是著名中医师、百万畅销书作者武国忠的全新大作，是第一本为女性写的美容养生书！武医师结合自己多年的养生经验，跟爱美人士分享了自己独家的养生祛病法、美容养颜心得，包括食材养颜方、中医养生保健法、运动养生法、心灵调理法等内容，更是首次分享了女性气质修养的妙招，旨在帮助女性答疑解惑，解决身体内与外的烦恼，打造完美好身体，全方位调理体质。,17,712,0,11.94,https://wfqqreader-1252317822.image.myqcloud.com/cover/439/839439/s_839439.jpg
美女的习惯,2021-08-01 00:00:00,生活百科-时尚,你知道吗？年龄相同、体形相同，习惯不同会让外貌看起来相差10岁！想要保持年轻美丽，并不需要投入大量的时间和金钱。只要将平常一些无意识的“显老习惯”变成“减龄习惯”，就能让人焕然一新，重获年轻与美貌。日本超模名校校长在书中传授大家42招变美小心机，招招都能让你变得更年轻、更美丽：滑手机的姿势、在办公室的坐姿、衣着打扮、用餐礼仪……不论是在他人面前（动作、穿着、谈吐方面），还是独处时光（休闲、睡眠、心态方面），每天一点点简单又有趣的小改变，就能让你变身优雅的冻龄美女。,27,713,0,16.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/278/43823278/s_43823278.jpg
优雅，从姿势开始,2019-04-01 00:00:00,生活百科-时尚,有的人身姿曼妙，吸引眼球；有的人气质出众，十分上相；有的人举止优雅，谈吐迷人。生活中总有这种人，这不仅是因为她们脸蛋漂亮，打扮时尚，真正的秘密在于她们的姿势和动作。一个姿势的不同，就能区分出气质美人和普通人。日本模特指导老师教你从走路方式、手的摆放等日常的一举一动中改变自己，用优雅的姿势提升气质！从今天开始，改变姿势，朝着优雅美人奋进吧！这就是美的本质。一本书帮你提升气质，让你在人前更加大方自信，让你工作时更加有魅力，让你举手投足之间都在释放着美的气质。,32,687,0,10.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/478/26351478/s_26351478.jpg
极简护肤：你的皮肤需要断舍离,2019-09-01 00:00:00,生活百科-时尚,本书结合作者&quot;医学美容”专业出身的理论基础和从业17年的临床皮肤调理经验，为真正想要健康护理皮肤的爱美人士提供了全新的美容护肤角度。作者提出&quot;不要过度依赖护肤品”的极简护肤理念，并呼吁爱美人士应该花更多时间在了解皮肤而不是护肤品上，因为&quot;让皮肤变好的不是护肤品，而是皮肤本身。”书内不仅详细分析了与护肤相关的皮肤学专业知识，更给出了极为详细的极简护肤操作步骤，以方便读者们进行实操实践。除此以外，作者认为每个人都应该成为&quot;有知识的消费者”，并对现在市场上风靡的各种美容手段进行了详细的分析，告诉你哪些是真的对皮肤好，哪些只是营销手法。通过这本书的学习，可以帮助读者真正建立起正确的护肤观，也真正明白自己的皮肤护理应该怎么做，而不再被铺天盖地的护肤品营销忽悠。,11,650,0,35.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/455/26924455/s_26924455.jpg
