title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
猫咪家庭医学大百科,2016-05-01 00:00:00,科学技术-农林牧业,这是一本猫咪从出生到终老都能用得上的书。200位临床兽医师联名推荐，由猫博士林政毅与台湾101猫医院院长陈千雯共同撰写，专门医治猫的专科医师为台湾猫咪量身规划的指南，从幼幼猫、小猫、成猫到老猫都适用，无论是日常照顾、意外与伤病症状判断处置，或是慢性病居家照护，全部使用真实图片图解，生老病死，疑难杂症全收录。,21,845,0,16.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/43/845043/s_845043.jpg
猫咪家庭医学大百科（全新修订版）,2021-04-01 00:00:00,科学技术-农林牧业,这是一本猫咪从出生到终老都能用得上的书。200位临床兽医师联名力荐，由猫博士林政毅与101猫医院院长陈千雯共同撰写，专门医治猫的专科医师为猫咪量身规划的指南。10种猫咪肢体语言解读，日常护理9大方面，详细讲解62种常见疾病分类。从幼猫、小猫、成猫到老猫都适用，无论是日常照顾、意外与伤病症状判断处置，或是慢性病居家照护，全部使用真实图片图解，生老病死，疑难杂症全收录。养猫是件快乐的事，也是一门学问。了解你的猫咪，科学养护，预防疾病，才能与它更长久地相守相伴。,26,754,0,70.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/563/37423563/s_37423563.jpg
花卉博物馆,2018-02-01 00:00:00,科学技术-农林牧业,《花卉博物馆》是一本全彩的植物图鉴、科普读物，是一本具有收藏价值的作品，中国版《世界园林植物与花卉百科》。多种植物选择：本书共收录新品种1000多种，植物2500多种，近4000幅彩图，汇集各类园艺植物，由中国十大名花、草本花卉、水生花卉、木本花卉、藤本花卉、多肉植物、观叶观果植物和花卉百科等8部分组成。不仅有栽培品种，也有野生品种，不仅有常见品种，更有新品种和珍稀品种。,31,652,0,50.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/371/27481371/s_27481371.jpg
阳台菜园,2019-07-01 00:00:00,科学技术-农林牧业,日本资深园艺作家分享多年的种菜经验，教你如何在家就能种出可口的蔬菜。全书配有400多张阳台种植、布置的实拍图和作者亲手绘制的图片插图，大开本、全彩印制，让你如临其境，体验“迷你农田”的种植乐趣，感受温馨浪漫的植生墙。充分利用微生物的互利共生，专为有限的阳台空间制定“混种”方案，让你一年四季都能吃到无农药、少肥料的应季蔬菜。,11,791,0,10.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/490/26351490/s_26351490.jpg
牛羊常见病诊治彩色图谱,2014-08-01 00:00:00,科学技术-农林牧业,本书介绍了牛、羊常见传染病、寄生虫病、内科病、外科病、产科病及代谢病和中毒病，共阐述了107种常见的牛羊疾病，每种疾病都介绍了病原、流行特点、病理变化、诊断与防控等内容。全书内容丰富，技术实用，可操作性强，适合基层一线兽医、养殖场兽医和农业院校师生阅读参考。,33,0,0,40.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/295/923295/s_923295.jpg
中国农业系统发展史,2015-09-01 00:00:00,科学技术-农林牧业,农业生态系统是人类对自然生态系统农业化的结果，因而它受自然和人文两方面因素的制约。中国农业系统发展历史主要为草地农业系统和耕地农业系统交互影响及其兴衰演替，其历程大致可概括为周代以前草地农业为主，耕地农业萌芽期；经过春秋战国时期的草地农业为主，耕地农业的成长期；再到汉代的耕地农业成熟，而草地农业衰退期；直至近代的草地农业的极度衰微，耕地农业进入盛极而衰期。自汉代以下，两大农业系统虽有四次大规模融合的机遇，但都失之交臂。耕地农业依靠了系统的自组织机制，顺利运转达数千年而不败。而在新时代下，这种自组织机制被逐渐减弱，终至几乎完全丧失，农业系统失衡，种种弊端迅速显现。适应新时代的现代草地农业系统必将以新的姿态，再次走上历史前台。,38,0,0,98,https://wfqqreader-1252317822.image.myqcloud.com/cover/676/41850676/s_41850676.jpg
新手养猫：从行为解读到温暖相伴,2021-01-01 00:00:00,科学技术-农林牧业,养猫入门必读，零基础养猫一本就够。公益组织它基金、领养平台宠物帮联合推荐，不仅是猫咪百科全书，更是治愈孤独星人的暖心读物。,17,622,0,20.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/503/36800503/s_36800503.jpg
娄向鹏看世界农业：一本书带你看透全球标杆农业,2022-01-01 00:00:00,科学技术-农林牧业,乡村振兴是“三农”工作的总抓手，产业兴旺是乡村振兴的总抓手，品牌强盛是产业兴旺的总抓手。在我们全面推进乡村振兴加快农业农村现代化的新征程中，政府和企业如何高效借鉴全球优秀成果？中国农业发展如何不走错路、弯路？中国品牌农业资深专家娄向鹏，历时6年，往返15万公里，走遍9个国家，从产业、市场、品牌、产品、营销等角度系统总结全球农业标杆的理念、实践和经验，为中国农业现代化和品牌化探寻真经，找准发展路径，让大家不用东奔西走也能把世界农业看透，并有所启发和帮助。在此基础上，本书还探索和提出了中国特色农业品牌建设的道路与方法，助你把握正道，修成农业正果。,29,727,0,45,https://wfqqreader-1252317822.image.myqcloud.com/cover/719/41913719/s_41913719.jpg
宠物家庭医生：猫,2009-07-01 00:00:00,科学技术-农林牧业,本书包括有关宠物 猫的科学喂养及卫生等。,7,524,0,2.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/51/686051/s_686051.jpg
乌龟养殖实用新技术,2008-04-01 00:00:00,科学技术-农林牧业,《乌龟养殖实用技术》是系列中的一本，中国水产学会、湖北省水产学会为促进我国渔业产业化，组织了具多年龟鳖养殖经验的罗继伦、黄畛和黄永涛等同志，编写了《乌龟养殖实用新技术》一书。内容包括乌龟的生物学、乌龟的主长与发育、乌龟养殖场的建设、乌龟的人工繁殖和饲养、乌龟的疾病防治等有关乌龟养殖过程中的整套技术。该书既有基础理论的介绍，又有养殖实验的总结，图文并茂，可操作性强。相信《乌龟养殖实用新技术》的出版，将推动我国养龟业的发展。,12,722,0,2.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/9/23314009/s_23314009.jpg
