title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
品牌设计法则,2019-01-01 00:00:00,艺术-工艺,《品牌设计法则》是一本全方位解析品牌设计的书。第一篇，品牌设计的核心理念，从品牌理念到品牌符号，再到品牌标志，一步一步地引导读者了解品牌设计。第二篇，品牌标志的三大基石，分别讲解了品牌符号中图形、文字、色彩的基础知识和设计方法。第三篇，品牌设计流程，包含品牌设计从项目前期到完成应该做的沟通、调研、设计和品牌资产管理等工作。《品牌设计法则》适合标志设计师、VI设计师、品牌设计相关专业学生和平面设计爱好者阅读。,9,835,0,66.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/505/25916505/s_25916505.jpg
平面设计基础与实战：小白的进阶学习之路,2020-04-01 00:00:00,艺术-工艺,本书以工作流程为导向，将理论分析和项目实践相结合，讲解平面设计师必须掌握的设计实操技能。全书共6章：第1章讲解设计前与客户的沟通；第2章讲解设计前应了解的知识；第3章讲解设计过程中的思考；第4章讲解设计完成后的注意事项；第5章讲解如何不断地进行自我提升；第6章用案例讲解不同设计项目的设计方法和要点。内容编排条理清晰，讲解深入浅出、通俗易懂。 本书适合平面设计师、平面设计专业的学生和自学爱好者参考和学习。,10,839,0,35.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/710/31359710/s_31359710.jpg
古瓷之光,2021-07-01 00:00:00,艺术-工艺,《古瓷之光》是知名瓷人、陶瓷文化研究者涂睿明的全新力作。以朝代为序，遴选了中国陶瓷艺术史上77件至美珍宝，记录下陶艺与中华文明碰撞的每个精彩瞬间，深入讲述中国陶瓷艺术的美学变迁。从古瓷的造型、色彩、材质、工艺、历史背景等角度切入，全方位展现中国陶瓷征服世界的美学魅力，重点解读其美在何处、普通人如何欣赏以及这些陶瓷器在中国古代社会文化中的功能与角色，让我们得以从一件件陶瓷作品中，探寻到历代的审美雅趣、民俗风情与匠心工艺。读完本书，当我们在博物馆中面对一件瓷器时，便懂得如何去欣赏它造型的优雅、颜色的美妙、画面的意趣、细节的深意、背后的故事……对中国陶瓷的美，产生更加具体、深刻的认知和感受，而不再只是用简单的一个“美”字笼统概括。,25,964,0,68.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/946/39483946/s_39483946.jpg
中国古代染织纹样史,2016-09-01 00:00:00,艺术-工艺,本书为2010年教育部规划基金项目的结项成果，本书将论述上起新石器时期，下至清代数千年中国染织纹样发生发展及其演变的历史，并就各历史时期的政治经济、生产方式、工艺技术、织物品种等进行综合论述，着重对各时代纹样从造型、色彩方面进行剖析，联系个时期的政治、经济、文化背景，深入阐述染织纹样的形成风格和美学特色。,5,821,0,120,https://wfqqreader-1252317822.image.myqcloud.com/cover/76/25665076/s_25665076.jpg
瓶花谱 瓶史,2016-05-01 00:00:00,艺术-工艺,"    江南园林中，追求清雅生活的文人雅士，常于厅堂、书斋插一瓶花，以求野趣诗意。《瓶花谱》与《瓶史》既是对明代之前插花艺术的总结，更是中国式文人插花的正宗。《瓶花谱》为明代张谦德所作，是明代实枝插花的经典著作。全书分品瓶、品花、折枝、插贮、滋养、事宜、花忌、护瓶八个方面，详尽阐述自由式插花自然性灵、崇尚天然的韵味，以及追求原生天成之趣。《瓶史》为明代袁宏道所作，是我国瓶花史上的奇葩之书。全书共十二篇，从鉴赏角度论述了花器选择、花材选用以及花艺插法等，是我国古代最具文人气质的一部插花专著。插花为案头之物，无扦剔浇顿花木的繁杂劳苦，仅享赏咏之乐，取者不贪、遇者不争，可谓生活之美。
",11,818,0,12.84,https://wfqqreader-1252317822.image.myqcloud.com/cover/587/821587/s_821587.jpg
黑白装饰画：创意手绘插画教程,2019-05-01 00:00:00,艺术-工艺,黑白画是一种传统且经典的绘画方式，而黑白图案具有强烈的装饰性。将黑白图案制作成装裱的画作或是应用于纺织物或工艺设计中，都具有增强观赏性和提升作品艺术价值的作用。本书通过讲解黑白画的基础知识；分析图案的构成方式和结构特点，将创意绘画应用到实例中，以这种方式开拓读者的思维，帮助他们深入了解黑白装饰画的特点。本书共分为六章，第一章和第二章讲解了黑白装饰画用到的工具和绘制基础；第三章和第四章讲解了创意绘画的构思和方法；第五章则是简单的创意绘画案例；第六章则是黑白装饰画的设计应用。本书适用于绘画初学者、热爱黑白装饰画的读者，也可作为黑白图案设计工作者的参考教材。,17,788,0,22.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/715/25916715/s_25916715.jpg
版式设计从入门到精通（第2版）,2019-01-01 00:00:00,艺术-工艺,设计师总是不断遇到这样的问题：如何赋予不同内容以合适的外观，如何调动视觉元素、外在形式传达思维信息，与受众沟通。解决这些问题是设计的关键所在，也是设计师的基本功。本书主要针对设计专业学生和设计人员，从设计原则、造型要素、变化规律、构图形式、视觉流程及应用等方面，系统阐述了版式设计的基本概念与实践方法。引导读者了解和体验设计中视觉要素、构成要素的表现特点，提高对版面的把握能力，加深读者对版式设计的理解。书中提供了许多不同类型的版式设计实例分析，一是为更好地帮助读者理解记忆，二是借“他山之石”开阔读者的视野与思维。衷心希望本书能够为读者提供积极有效的帮助，激发创作的灵感，帮助读者踏上版式设计的成功之路！,20,692,0,35.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/278/25916278/s_25916278.jpg
西方设计史,2016-11-01 00:00:00,艺术-工艺,《西方设计史》是艺术设计专业的基础课程教材，在反响颇好的《西方设计：一部为生活制作艺术的历史》的基础上修订改写。《西方设计史》在社会文化史、艺术史的复杂上下文中梳理西方设计文化的发展过程，较为全面地介绍了西方设计史中的风格流派、文化思潮、重要人物以及代表作品，并对不同时期设计的发展状况及其产生的社会文化背景做了适当的描述。本书视角前卫，写作方法新颖，作者精选了十三个设计专题，在层层深入中将整部设计史生动串联，并对各阶段具体的设计文化进行归纳、梳理。此书论述扎实，知识系统，并注重引导学生在宏观的社会文化大背景中，深入了解与把握设计文化的发展特点，十分适合于当下综合类院校中艺术设计学院的基础教学。,18,725,0,46.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/459/26832459/s_26832459.jpg
平面构成,2020-08-01 00:00:00,艺术-工艺,本书稿打破常规的基础课教学方式，作者以自己创新独特的四步教学法讲述了平面构成的设计思维、设计方法及运用，内容包括平面构成的形态与认识、平面构成的形式与体验、平面构成的形式美与作用、平面构成的延伸与拓展四大板块。全文将平面构成的规律以及构成形式通过实际的运用案例进行讲述，教学中注重理论与实践的结合。全书整体框架清晰明确，图文并茂，以大量的图例说明平面构成在标志设计、包装设计、广告设计、产品设计、数字媒体界面设计、信息可视化设计等视觉传达中的设计运用，具有较实用的教学参考价值。,13,0,0,20.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/446/38381446/s_38381446.jpg
一人饮,2020-11-30 00:00:00,艺术-工艺,《一人饮》全面记录了当代知名陶艺家董全斌做陶、饮茶和思考的日常，高清呈现其百余幅代表作品，由李宗盛、杨葵作序推荐。在景德镇七年，董全斌推出了“九十九只杯”“从一片荷叶开始”“坐忘”“变化”“小小的壶”“一人饮”“与接为构”等重要作品系列或展览。他从饮茶出发，通过深入传统文化的根基、观察自然的规律以及对美的辩证思考，创作出具有多元美感的器物。在这本图文集里，饮茶的日常、造物的哲学和创作的实录相互交织，清晰呈现陶艺家的思考轨迹：从喝茶的过程中体会器物的细节变化带来口感的差异，由植物的形态之美联想器物的造型设计，想象古人的生活来获得创作的灵感等。《一人饮》不仅是一次关于创作与美学的思辨之旅，更是提供一种审视自我与生活的全新角度。,14,957,0,53.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/707/36557707/s_36557707.jpg
