title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
人人都该懂的古典音乐,2020-10-01 00:00:00,艺术-音乐,《人人都该懂的古典音乐》是一本简单有趣的音乐入门读物。从中世纪的为神歌唱、巴洛克时期的为贵族演奏、古典时期的为观众写作、浪漫主义时期的为自己作曲，到20世纪的矛盾与多元；从巴赫到贝多芬、瓦格纳，到莫扎特、肖邦、舒曼，再到立体主义、偶然音乐等风格，本书系统地梳理了从中世纪到20世纪的西方音乐的发展变化，给我们呈现了一部西方音乐发展史。,12,714,0,56.61,https://wfqqreader-1252317822.image.myqcloud.com/cover/633/33907633/s_33907633.jpg
音乐入门基础：识谱学乐理,2017-09-01 00:00:00,艺术-音乐,本书包括九章：音与音高、记谱法、节拍与节奏、连音符与组合法、装饰音及常用记号、音程、调式与调号、民族调式、和弦。本书每章内容都遵循从易到难的原则，对重要的基本理论进行了详细的讲解并配有丰富的实践练习，使初学者在学习乐理的同时同步练习识谱，在识谱练习的同时又能够巩固乐理知识。,15,728,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/280/22623280/s_22623280.jpg
好听：如何练就好声音,2019-03-01 00:00:00,艺术-音乐,好声音能为一个人的形象、工作以及人际关系等带来巨大的优势，并被越来越多的人日益深刻地感受着，因此“如何练”成为大家在声音蜕变之旅中最迫切需要得知的。这是一本关于大众人群如何正确练声的“纯干货”实践指南，最大的特点就是内容系统成套、方法实用落地，同时不乏趣味性和启发性。作者将自己一路从“乌鸦嗓”到“知名声音训练导师”所实操过的声音训练方法、心得、经验倾囊相授，让读者正确地认识好声音、塑造好声音、绽放好声音。通过对声音的硬件（科学的发声训练，美化音色）和软件（情感表达训练，提升感染力）进行精准有效的训练，让读者真正获得声声入耳，声声入心的好声音。四大干货。系统全面的发声教学及练习方法生动形象的声音表现力技巧传授各类生活中场景化下的具体运用声音模仿、歌曲演唱、及经验分享音频。三大核心。系统全面的发声教学及练习方法生动形象的声音表现力技巧传授精准到位的破解各场合用声难题。《如何练就好声音》课程喜马拉雅个人线上课程销售排行前三名，喜马拉雅知识狂欢节全站销量第二，销售额第五；付费节目总榜榜首，播放量达1600万+。,6,815,0,28.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/36/25242036/s_25242036.jpg
看图自学木吉他零基础篇,2016-01-01 00:00:00,艺术-音乐,本书是为零基础读者贴身打造，不管你有无音乐基础，识得乐谱与否，这本书都是你弹奏吉他的开始。本书共分为10个章节，首先从认识吉他，了解吉他开始，慢慢的走进吉他的世界。每一个章节都有通俗易懂的理论详解，几乎每一条重要理论知识都附有图片示例，让你在学习的时候一目了然，轻松掌握吉他。本书没有高深的理论知识和精湛的技巧展示，有的是让你一看就会，一学就懂的图文讲解。为了方便大家学习本书还专门为读者准备了相关练习的视频和音频。,12,865,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/686/22653686/s_22653686.jpg
弹好吉他必备的乐理知识,2018-12-01 00:00:00,艺术-音乐,很多吉他爱好者在掌握了基础的吉他弹奏方法，能够简单弹奏几首乐曲之后，总是希望自己的琴技能够逐渐提高，多学些乐理知识，游刃有余地弹吉他。本书就是为了大家能够从理论上顺畅弹奏吉他而准备的从入门到提高的乐理进阶书籍。很多吉他爱好者在掌握了基础的吉他弹奏方法，能够简单弹奏几首乐曲之后，总是希望自己的琴技能够进一步提高，多学些乐理知识，可以游刃有余地弹奏吉他。本书就是为了帮助大家提高音乐理论知识水平，从而顺畅弹奏吉他而准备的一本从入门到提高的乐理进阶书籍。本书共分为22课，分别讲解了弹奏吉他所需要了解的音符时值、节奏节拍、音程、和弦等音乐知识。随着每一次的深入学习，相信大家对吉他演奏和音乐的把握能力都有一个大跨度的提高。本书适合吉他爱好者阅读，也适合作为音乐培训学校的教材使用。,5,763,0,20.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/425/24982425/s_24982425.jpg
余下只有噪音：聆听20世纪,2020-03-01 00:00:00,艺术-音乐,《余下只有噪音》讲述那些特立独行的人格，他们抵制对古典主义的过去的崇拜，与广大民众的冷漠作斗争，并违抗独裁者的意志。无论是用最纯净的美来吸引听众，还是用最纯粹的噪声来打击听众，作曲家们一直都洋溢着当下的热情，拒绝古典音乐作为一种式微艺术的刻板印象。从第一次世界大战之前的维也纳到20世纪的巴黎，从希特勒的德国、斯大林的俄罗斯到六七十年代的纽约市中心，罗斯将20世纪的历史及音乐编织在一起，在最有影响力的作曲家与更广泛的文化之间建立了启示性的关联。通过他所讲述的音乐，《余下只有噪音》重述了20世纪的历史。,8,888,0,118.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/886/32070886/s_32070886.jpg
古典音乐：海顿、莫扎特与贝多芬的时代,2012-12-01 00:00:00,艺术-音乐,这部规模宏大的断代史著作(中译本约60万字) 不仅对18世纪中叶至19世纪初期包含音乐创作、音乐思想、音乐建制、音乐风尚、音乐出版等在内的“音乐文明生态”做了深入、全面、扎实、充分的记述，同时还在宏观架构和微观叙述两个层面上，对延续自过去和延伸至未来的、涉及历史事件、音乐形式、音乐技法、音乐风格或其他音乐现象的众多历史脉络进行了梳理。,62,1000,0,118.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/401/36980401/s_36980401.jpg
基本乐理（第三版）,2017-06-01 00:00:00,艺术-音乐,本书为普通高等学校音乐学教材，共有十八章，系统讲授了有关音乐理论与实践的最基本知识，帮助学生获得理解音乐表现的基本语言、逻辑和方法。本书内容构建和教学逻辑设计指向明确——地方性本科院校，作者团队来自地方性本科院校一线教师，定位清晰，谱例丰富，内容设计具有针对性和适用性。2009年、2010年出版了第一版、第二版，经过几年教学实践，此次做了大量修订，进一步完善，出版第三版。,7,783,0,19,https://wfqqreader-1252317822.image.myqcloud.com/cover/988/25211988/s_25211988.jpg
哈佛音乐公开课,2016-04-01 00:00:00,艺术-音乐,音乐是对人生的另一种表达，它可以超越种族与国界，直接抵达人类的心灵。它有时质朴，像云卷云舒；有时壮观，像惊涛拍岸；有时纯真，像含泪的少女；有时深邃，像月光下的沉思者……音乐是医治身体与灵魂的良药，它能激发青少年右脑潜能的开发。适当演奏、聆听音乐，能够对掌管节奏、想象力和创造力的右脑产生刺激，从而让我们发挥创作力、拓展思维能力、提高记忆力等，以更加振奋的高效率进入学习状态中。从音乐基础知识和音乐发展历史，到音乐大师和著名音乐作品的赏析，夏冰编著的《哈佛音乐公开课(哈佛智慧典藏版)》为您奉上一场音乐的盛宴，开启一场灵魂与音乐的对话。,16,700,0,15,https://wfqqreader-1252317822.image.myqcloud.com/cover/413/926413/s_926413.jpg
音乐的极境,2019-06-01 00:00:00,艺术-音乐,"    从古尔德、波利尼、布伦德尔，到普莱亚、席夫、鲁普；从切利比达克，到巴伦博伊姆、莱文；从巴赫、莫扎特、贝多芬，到瓦格纳、欣德米特、布列兹……萨义德以专深音乐素养论及众多伟大作曲家、作品，伟大演奏家、指挥家，抽绎音乐的社会、政治、文化脉络，阐释音乐对社会被低估的影响力，对音乐界现状提出尖锐批评：帕瓦罗蒂将歌剧表演的智慧贬低到最少，把要价过高的噪音推到最大；霍洛维兹成了在白宫接受颂扬的国有资产；莱文的指挥简直就像是从坟墓里挖音乐，而不是赋予音乐生动与活力；纽约大都会歌剧院只甘于上演老实平庸的二流剧目；萨尔兹堡音乐节僵化成例行公事和恬不知耻的观光促销计划……
",15,814,0,60,https://wfqqreader-1252317822.image.myqcloud.com/cover/575/27115575/s_27115575.jpg
超易上手：钢琴即兴弹奏流行歌曲100首（简谱版）,2019-04-01 00:00:00,艺术-音乐,《超易上手——钢琴即兴弹奏流行歌曲100首（简谱版）》根据成人学习钢琴的特点，抛弃了让人不易辨识的五线谱，用辨识度高的简谱进行编写，使得钢琴弹奏变得更加容易，更加直观具体。让成年人在有限的时间内能够自学钢琴，并得到有效的提高。本书以循序渐进、由浅入深的原则，在编写过程中力求通俗易懂。曲目的选择也尽量多使用了较为熟悉的旋律和目前的流行歌曲作为配合，会增加成人的学习兴趣。,34,714,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/162/29976162/s_29976162.jpg
