title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
思辨与立场：生活中无处不在的批判性思维工具,2016-09-01 00:00:00,哲学宗教-思维科学,风靡全美的思维方法、国际公认的批判性思维权威大师的抗鼎之作，带给你对人类思维最深刻的洞察和最佳思考。变化的世界需要批判式思维，未知的世界需要审辩式思维，复杂的世界需要审慎式思维。强大的理性思维工具，能够助你提升思维的品质，理清自我，洞悉他人，看透世界！心灵的3个基本功能 ·思维的功能是产生意义 ·情感的功能是监控或评估思维所能产生的意义 ·欲求的功能是激活能量以发起行动，并与我们所认定的渴求保持一致批判性思维者的6个成长层级 ·无思维反思意识者 ·有思维反思意识者 ·起点上的思维提升者 ·行进中的思维提升者 ·有所成的思考者 ·集大成的思考者成功思考者的6个特质 ·优秀的思考者总是在思考他们的思维过程 ·优秀的思考者都有明确的目标 ·优秀的思考者使用一些思维“工具”来提升他们思维的质量 ·优秀的思考者能够将他们的思维与感受、需求相分离 ·优秀的思考者常常分解、剖析事情 ·优秀的思考者经常评估自己的思维方式,41,817,0,45,https://wfqqreader-1252317822.image.myqcloud.com/cover/571/29636571/s_29636571.jpg
如何高效学习：1年完成麻省理工4年33门课程的整体性学习法,2014-01-01 00:00:00,哲学宗教-思维科学,一位因为快速学习而成名的神奇小子，他应用自己发明的学习方法，完成了10天搞定线性代数，1年学习4年MIT课程的“不可能任务”。本书就是对他学习方法的全面介绍，其中包括整体性学习策略的核心思想和具体技术，详细介绍了快速阅读法、流笔记法、比喻法、内在化等七大方法，并为高效学习提供了从生活到时间管理的整体解决方案。跟随作者，你也将成为高效学习的超级学霸。,8,682,0,16,https://wfqqreader-1252317822.image.myqcloud.com/cover/926/573926/s_573926.jpg
有限与无限的游戏：一个哲学家眼中的竞技世界,2019-05-01 00:00:00,哲学宗教-思维科学,在这本书中，卡斯向我们展示了生活中两种类型的「游戏」：「有限的游戏」和「无限的游戏」。有限的游戏，其目的在于赢得胜利；无限的游戏，却旨在让游戏永远进行下去。有限的游戏在边界内玩，无限的游戏玩的就是边界。有限的游戏具有一个确定的开始和结束，拥有特定的赢家，规则的存在就是为了保证游戏会结束。无限的游戏主张「为了游戏而游戏」，在这里，规则要保证游戏的无限性，所以规则是可变的。最恰当的例子也许就是「人生」。,5,862,0,34,https://weread-1258476243.file.myqcloud.com/weread/cover/94/3300014694/s_3300014694.jpg
批判性思维（原书第10版）,2015-01-01 00:00:00,哲学宗教-思维科学,"本书是美国最为畅销的大学教材，连续10次再版，语言通俗、生动，直观地阐述了批判性思维、正确推理和合理论证的基本问题、观点、方法和技巧。《批判性思维》（原书第10版）从批判性思维的重要性和必要性说起，就如何进行正确地思维和清晰地写作，到有效论证的规则、合理的演绎和归纳推理，再到道德、法律和美学的论证进行了详细阐述，同时还列举了各种以修辞手法来掩盖虚假论证的例子，对批判性思维进行了全面的论述，帮助读者全面了解和掌握合理而正确的思维基本原则、规则、要求、技巧和训练方法。

诉诸人身/生成谬误 ：通过批评其来源而反驳某立场或论证。脱口秀主持人乐于此道。
稻草人谬误：为了反驳对方立场以夸大、错误表达等方式曲解其立场，使对手陷于不利。
源自愤怒的“论证”：顾名思义，以愤怒替代理由和判断。如，政治论辩沦于对骂。
威吓手段：试图通过威吓对方来证明某观点。你不难想到例证。
仓促概括：过于相信由小样本得出的结论。
群体思维：任凭对某群体的忠诚来干扰对问题的判断。例如，裁判员吹哨警示我们队犯规太多。
转移注意力：所答非所问，避开问题的焦点。
一厢情愿的思维：任凭自己的喜好来判断，拒绝探讨真相。也可称之为逃避现实的谬误。
诉诸公众的“论证”：认为“大家”都相信的就一定是真的。
在此之后，因是之故：误认为先后相继发生的事情之间就有因果联系。",33,761,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/58/674058/s_674058.jpg
思维模型,2022-03-01 00:00:00,哲学宗教-思维科学,思维模型有很多种，每个学科也有其独特的思维模型。本书中温伯格和麦肯从多种学科中选择了200多个实用的思维模型，并通过饶有趣味的相关例子对其进行了分析。不过，要提升日常决策、解决问题和寻求真理的能力，你只需要掌握其中的少量模型。本书内容通俗易懂，是提升思维能力的实用指南，适合每一个渴望提升思维能力的人。,8,756,0,47.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/869/43521869/s_43521869.jpg
哲学·科学·常识,2018-02-01 00:00:00,哲学宗教-思维科学,《哲学·科学·常识》是陈嘉映的代表作之一，这本书既是对历史上人类求知历程的回顾，也是对人之本、知识之本的追问。人类解释世界的努力，前有神话、巫术，后有哲学、科学。排除了千难万险，才抵达日心说、牛顿力学、进化论、量子物理，才使得科学成为“真理”的者。一方面人们常常反思，科学为什么会取得这样的成功？人们经验着同样的世界，为什么只有欧洲产生了科学？另一方面，我们也为科学之成功付出了代价：用科学来逼近“真理”，却将人的心灵排除出真理的领域之外。用数学和实验思维树立的科学大厦里，没有人之善恶、悲喜的位置——科学果真是这个世界的全部答案吗？人们在科学道路上探索，有时竟恍然不知我们对世界的理解是在深入，还是在背离。难道果真如老子所说，“为学日益，为道日损”？科学之外，还另有有求道之途？ 《哲学·科学·常识》是陈嘉映站在人类认知发展前端的一次回望：回到我们探求真理的本意：我们究竟是要探索未知的领域，拓展人类认识的边界？还是要理解我们存在于其中的世界，在纷繁的人世间消解困惑，更好地生活？,6,773,0,42.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/62/933062/s_933062.jpg
统计学关我什么事：生活中的极简统计学,2018-07-01 00:00:00,哲学宗教-思维科学,本书抛开让人难以理解的“贝叶斯公式”，用“面积图”做直观形象的解读。只要会做四则运算，就能快速入门，进而在一个个生活场景中，领会贝叶斯统计学的精髓。贝叶斯统计学的优势在于“在数据少的情况下也可以进行推测”，贝叶斯统计学的统计过程和人脑的决策过程是很相似的，在人工智能时代有着广泛的商业应用。微软操作系统、谷歌的自动翻译系统等都引入了贝叶斯统计技术。如果能够熟练掌握贝叶斯统计，个人也能够更好地做决策，可以说与好的生活息息相关。,37,756,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/417/22394417/s_22394417.jpg
50堂经典哲学思维课,2021-10-01 00:00:00,哲学宗教-思维科学,在飞速运转的当代生活中，我们常常陷入无意义的漩涡。在信息爆炸的流量王国里，我们总被眼花缭乱的动态迷惑。但是，会思考的人往往能辨清身处的环境，掌握应对挑战的能力，从容做自己。而学习哲学，不是为了获得一个唯一的答案，而是学会思维的方式，让你勇于做出决定，明白自己想要什么，应该如何直面人生。本书选取50个切中当代生活的大问题，带你重温50部哲学经典：你为何会成为“打工人”？“小确幸”有什么问题吗？人工智能为何无法取代人？你愿意生活在监控中吗？……在问题的背后，是50种历久弥坚的思维方式。通过每篇10分钟的短阅读，快速吸收智慧精华，对话哲学家的沉思人生，指引你向人类思维的边界不断探索。,17,671,0,69.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/409/41857409/s_41857409.jpg
零秒思考,2015-01-01 00:00:00,哲学宗教-思维科学,临近deadline，还在迷迷糊糊兜圈子？工作不得要领，一番折腾后又回到原点？话在嘴边却怎么都说不出口？满脑子朦胧的想法却迟迟无法动笔写企划案？很多人都会面临这种工作困境，但至于怎么改变却总是找不到好办法。这本书教你的就是把心中想法落实到语言和实践中的具体做法-----零秒思考。,12,642,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/467/833467/s_833467.jpg
现象学的观念,2016-06-01 00:00:00,哲学宗教-思维科学,《现象学的观念》是胡塞尔1907年在哥廷根大学任教时的讲稿。1926年，胡塞尔当时的助手兰德格雷贝把胡塞尔的这份用速记方式写下的讲稿译成一般文字，而后胡塞尔又在上面作了修改和注释，准备出版。胡塞尔文库在1947年首先把该书作为《胡塞尔全集》的第二卷出版。《现象学的观念》的产生标志着胡塞尔一生思想发展的第二个重要转折点。在这部著作中，胡塞尔在现象学还原的道路上已基本完成了向超越论现象学的突破，从而成为一名超越论观念主义者。,5,961,0,11,https://wfqqreader-1252317822.image.myqcloud.com/cover/958/24905958/s_24905958.jpg
