title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
杀死一只知更鸟（同名电影原著）,2017-02-01 00:00:00,文学-世界名著,《杀死一只知更鸟》的故事发生在大萧条时期美国南方一个静谧的小镇，几桩离奇的疑案彻底打破了几个孩子平静的生活：事件的真凶，怪人的谜底，传言背后的真相……在父亲的指引下，他们在迷雾中寻找真知，在磨难中历练风度，在不公平中积累正气，经历了暴风骤雨般的成长，也感受了人间的温暖与真情。,6,909,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/116/853116/s_853116.jpg
百年孤独,2017-08-01 00:00:00,文学-外国文学,"中国读者等待了近半个世纪的殿堂级经典《百年孤独》中文版惟一正式授权，根据马尔克斯指定版本翻译，未做任何增删！
缔造文坛传奇与文学奇迹；影响世界小说走向的文学巨匠加西亚·马尔克斯巅峰杰作！代表“魔幻现实主义”文学主峰；征服全球读者、作家、出版社、版权经纪人、书店、媒体的鸿篇巨制；被誉为“《堂吉诃德》之后伟大的西班牙语作品”；
诺贝尔文学奖",3,880,0,35.99,https://weread-1258476243.file.myqcloud.com/weread/cover/36/935536/s_935536.jpg
人性的枷锁,2016-05-01 00:00:00,文学-世界名著,    《人性的枷锁》是毛姆具有自传性质的经典作品，也被认为是首屈一指、流传甚广的重要代表作。和《月亮和六便士》《面纱》《刀锋》一道，奠定毛姆“故事圣手”基础和文学史独特地位。故事以毛姆亲身经历为蓝本，描述了身有残疾的主人公菲利普从孤儿到长大的完整过程，亲情、爱情、友情，校园、艺术、理想，在重重枷锁中，苦寻自由而难得，最终发现这都是人性的本来面目。是否能摆脱这人性的枷锁？什么是长大，什么是成熟？答案在风中飘，带着笑和泪。,38,897,0,25,https://wfqqreader-1252317822.image.myqcloud.com/cover/681/825681/s_825681.jpg
基督山伯爵,2013-08-01 00:00:00,文学-世界名著,世界通俗小说中的扛鼎之作，一百多年来始终畅销不衰，发行数以亿册，多次被搬上银幕。本书主要描写的是法国波旁王朝时期发生的一个报恩复仇的故事。法老号船的年轻大副唐戴斯受船长临终之托为拿破仑党人送一封信，遭两个卑鄙小人和阴险检察官维尔福的陷害，被关入死牢。剥夺了本该属于他的美好阳光、爱情和前程。十八年后，他带着狱友法里亚教士临死前告诉他的秘密，越狱逃生，找到法里亚藏匿的宝藏后成为巨富，从此他化名基督山伯爵。经过精心策划，他报答了恩人，惩罚了三个想置他于死地的仇人，并向恩人报了恩。,18,922,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/107/853107/s_853107.jpg
霍乱时期的爱情,2020-03-01 00:00:00,文学-外国文学,爱情，首先是一种本能，要么生下来就会，要么永远都不会。有两部书写完后让我整个儿被掏空了：一是《百年孤独》，一是《霍乱时期的爱情》。——加西亚·马尔克斯。有些人说死亡是人类历史上最重要的主题，我不这样认为。我认为爱才是，因为万物都与爱有关。——加西亚·马尔克斯。 加西亚·马尔克斯所创造的的世界是一个微观的世界。它以纷乱喧嚣、使人迷惑的现实描绘，反映了这个大陆令人信服的财产与贫困的现实。也许不仅如此，这是一个宇宙，人类心灵与历史的动力结合在一起，不时冲击着混乱的界限——屠杀与繁衍。,3,785,0,41.4,https://weread-1258476243.file.myqcloud.com/weread/cover/14/26441414/s_26441414.jpg
围城,2018-04-18 00:00:00,文学-世界名著,《围城》，一部借婚恋故事做表皮，展现特定时期知识界病疮的社会讽刺小说。内容有趣，语言机智，笔锋犀利，意味深长，被誉为新《儒林外史》，其实，比之《儒林外史》，《围城》含纳的认识更明确，也更深刻，因此也更辛辣，更有现实意义。,12,956,0,19,https://wfqqreader-1252317822.image.myqcloud.com/cover/7/40401007/s_40401007.jpg
苏菲的世界,2007-10-01 00:00:00,文学-世界名著,本书以小说的形式，通过一名哲学导师向一个叫苏菲的女孩传授哲学知识的经过，揭示了西方哲学发展的历程。由前苏格拉底时代到萨特，以及亚里士多德、笛卡儿、黑格尔等人的思想都通过作者生动的笔触跃然纸上，并配以当时的历史背景加以解释，引人入胜。评论家认为，对于那些从未读过哲学课程的人而言，此书是最为合适的入门书，而对于那些以往读过一些哲学而已忘得一干二净的人士，也可起到温故知新的作用。14岁的少女苏菲不断接到一些极不寻常的来信，世界像谜团一般在她眼前展开。在一位神秘导师的指引下，苏菲开始思索，她运用少女天生的悟性与后天知识，企图解开这些谜团。然而，事实真相远比她所想的更怪异、更离奇……,22,855,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/157/703157/s_703157.jpg
罪与罚,2016-10-12 00:00:00,文学-世界名著,小说描写穷大学生拉斯柯尔尼科夫受无政府主义思想毒害，认为自己是个超人，可以为所欲为。为生计所迫，他杀死放高利贷的老太婆阿廖娜和她的无辜妹妹丽扎韦塔，制造了一起震惊全俄的凶杀案。经历了一场内心痛苦的忏悔后，他最终在基督徒索尼雅姑娘的规劝下，投案自首，被判流放西伯利亚。作品着重刻画主人公犯罪后的心理变化，揭示俄国下层人民的苦难生活。,9,925,0,21,https://wfqqreader-1252317822.image.myqcloud.com/cover/789/23303789/s_23303789.jpg
傲慢与偏见,2010-06-01 00:00:00,文学-世界名著,"《傲慢与偏见》主要讲了奥斯丁的讽刺艺术，不仅表现在某些人物的喜剧性格上，也不仅表现在众多情节的喜剧性处理上，而且还融汇在整个故事的反讽构思中，让现实对人们的主观臆想进行嘲讽。男主角达西最初断定，贝内特家有那么多不利因素，几个女儿很难找到有地位的男人，可后来恰恰是他娶了伊丽莎白。而伊丽莎白呢，她曾发誓决不嫁给达西，可最后还是由她做了达西夫人。再看看那个不可一世的凯瑟琳·德布尔夫人，为了阻止伊丽莎白与她外甥达西攀亲，她不辞辛劳，亲自出马，先是跑来威吓伊丽莎白，继而跑去训诫达西，殊不知正是她这次奔走为两位默默相恋的青年通了信息，促成了他们的美满结合。
",20,892,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/166/813166/s_813166.jpg
卡拉马佐夫兄弟（套装上下册）（陀思妥耶夫斯基文集2015）,2014-12-01 00:00:00,文学-世界名著,本书系俄国大作家陀思妥耶夫斯基代表作之一。小说通过一桩真实的弑父案，描写老卡拉马佐夫同三个儿子即两代人之间的尖锐冲突。老卡拉马佐夫贪婪好色，独占妻子留给儿子们的遗产，并与长子德米特里为一个风流女子争风吃醋。一天黑夜，德米特里疑心自己的情人去跟老头儿幽会，便闯入家园，一怒之下，差点儿把老头儿砸死。他仓皇逃离后，躲在暗中装病的老卡拉马佐夫的私生子斯乜尔加科夫，悄然杀死老爷，造成了一桩震惊全俄的扑朔迷离的血案，从而引发了一连串惊心动魄的事件。作品展示一个错综复杂的社会家庭、道德和人性的悲剧主题，体现了作家一生的最高艺术成就。,19,968,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/219/31808219/s_31808219.jpg
