title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
华杉讲透《孙子兵法》,2015-04-01 00:00:00,政治军事-军事,"    《孙子兵法》6111字，似乎每个字都艰深玄奥，让很多人望而却步；其实，只要抓住兵法的根本思想，就会发现处处豁然开朗、字字明明白白。本书作者华杉，研究孙子兵法二十余年；在本书中，抓住兵法根本思想，通过155个经典战例，将《孙子兵法》的原意剖析得详尽透彻。同时援引2000多年来，解读《孙子兵法》的传世注家曹操、杜牧等11人的注解，从不同角度还原兵法原意。全书通俗流畅，精彩纷呈；背水一战、围魏救赵等经典战例，更是讲解得令人身临其境，犹如置身战场上空，看交战双方兵马调动，浴血奋战，在震天的厮杀声中演绎着兵法的深邃思想。
",3,884,0,19.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/759/569759/s_569759.jpg
太平洋战争系列（全六册）,2017-01-01 00:00:00,政治军事-军事,“太平洋战争”系列自2015年7月在天涯社区连载后，作者连续两年获得天涯社区“煮酒论史”栏目十大作者称号，获得2016年“快客杯天涯社区18周年人物盛典文学分区网络红人”称号。作品当年即获得连续两年获得年度十大佳作称号，2016年获得天涯社区1999-2016经典原创作品奖。在军迷中引起巨大反响。2017年作品在搜狐公众平台连载，立即吸粉无数。“太平洋战争”系列揭露日本由明治维新兴起到二战战败投降的全过程，展示太平洋战争的前世今生。,41,838,0,217.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/581/33092581/s_33092581.jpg
孙子兵法,2017-08-01 00:00:00,政治军事-军事,《孙子兵法》充满了谋略的智慧，自其问世以来便被军事家们视为指导战争的金科玉律。孙武更是被海内外人士誉为“东方兵圣”“东方兵学的鼻祖”“超越中华文化圈对世界产生影响的少数中国伟人之一”。《孙子兵法》不仅为军事行动提供了理论依据，还对政治、经济起有很大的指导作用。它提出了以“道”为首的战争制胜条件。其开宗明义：用兵打仗关系着国家的生死存亡，是不可不认真研究考察的，所以要“经之以五事，校之以计而索其情”。,5,876,0,9.84,https://wfqqreader-1252317822.image.myqcloud.com/cover/565/23315565/s_23315565.jpg
决战朝鲜,2017-08-01 00:00:00,政治军事-军事,"    畅销近30万册！戴旭、萨苏、方军倾情作序！乔良、王湘穗联袂推荐！全景式再现朝鲜战争历史命运的经典作品，全面揭开朝鲜战争台前幕后隐秘历史的必读书，入选人大附中推荐书目！附百余幅朝鲜战争珍贵历史照片！
    乔良将军、王湘穗教授联袂推荐！戴旭、萨苏、方军倾情作序！被广大军迷追捧，全面揭开朝鲜战争台前幕后隐秘历史的必读书。本书是一部全景式再现朝鲜战争历史命运的经典作品，以恢宏的气势、凝练的语言、多维度的视角记述和分析了朝鲜战争成因、决策过程、五次战役及板门店停战谈判等重大事件，包括战前国际国内形势、重要战役战况、双方将帅决策过程及这场战争中涌现的堪称“军神”级人物，塑造了一大批性格鲜明的人物形象。同时，本书通过翔实的史料全面揭开朝鲜战争台前幕后的诸多历史真相，如中美苏朝最高领导层的博弈较量，朝鲜人民军南征的真相，中国出兵朝鲜真相，中美军战力真实对比，苏联对华军援、空军参战的内幕，志愿军战俘的真实境遇，板门店谈判过程等等，破除了有关朝鲜战争的种种迷思与误解，非常真实出彩。本书曾被广大军迷誉为朝鲜战争题材国内品质扛鼎的作品，畅销近30万册，本版在原有精彩内容基础上，新增了百余幅朝鲜战争历史照片，给读者以极强的代入感。",62,813,0,35.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/924/26869924/s_26869924.jpg
华杉讲透《孙子兵法》（精装版）,2016-04-01 00:00:00,政治军事-军事,《孙子兵法》6111字，似乎每个字都艰深玄奥，让很多人望而却步；其实，只要抓住兵法的根本思想，就会发现处处豁然开朗、字字明明白白。本书作者华杉，研究孙子兵法二十余年；在本书中，抓住兵法根本思想，通过155个经典战例，将《孙子兵法》的原意剖析得详尽透彻。同时援引2000多年来，解读《孙子兵法》的传世注家曹操、杜牧等11人的注解，从不同角度还原兵法原意。翻开本书，直窥《孙子兵法》堂奥，既简单、又深邃、既朴实、又玄妙；开启一场通往智慧的非凡阅读体验。,9,876,0,9.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/814/820814/s_820814.jpg
一本书看懂地缘世界,2017-10-01 00:00:00,政治军事-军事,美国，从立国、崛起到称霸，走过的套路好像武侠小说中的“大侠”；欧洲，曾经是“武林盟主”，不过已经“退居二线”；俄罗斯，在地缘战略上的诉求就和其国徽上的双头鹰一样——左顾右盼；印度，要做“有声有色”的大国，实际情况却因其独特的地理环境变得复杂；中国，具备成为“王者”的所有条件，但要想真正“上位”，还必须依靠智慧和勇气，踏踏实实打拼出来！,12,775,0,20.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/50/29600050/s_29600050.jpg
国防大学少将金一南讲军事（套装3册）,2017-09-01 00:00:00,政治军事-军事,"    《金一南讲：世界大格局，中国有态度》金一南通过全球热点军事事件，从全球战略思维的高度出发，分析世界军事大格局，点评世界各大国、地区势力的博弈与冲突，并推测未来世界格局的走向，借此重点提出面对世界大格局的态势下中国地位与态度的思考。《魂兮归来：金一南讲抗日战争》中国，从没种到有种！《苦难辉煌》《浴血荣光》姊妹篇重磅上市，高层智囊金一南，深度剖析抗日战争。《浴血荣光》从世界政党史上很难找到，有哪一个政党像中国共产党这样，领导层像割韭菜一样，一批一批被对方屠杀。这就是中国革命和其他革命都无法类比的空前残酷性……
",23,883,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/458/26413458/s_26413458.jpg
二战东线全史：斯拉夫民族的冰与火之歌（套装全13卷）,2020-07-01 00:00:00,政治军事-军事,《东线》系列丛书，由著名军事作家朱世巍先生撰写。它全面而详细地讲述了二战中苏德战争的整个过程。全书以丰富的地图、表格和图片资料，以及洗练、洁净的文字表现，展示了苏德战场上震撼人心的浴血大搏击与攻防力量的大转换。本套书为《东线》系列丛书包括：《巴巴罗萨与十八天国境交战》《辽阔的南方大地》《莫斯科的秋与冬》《1941年的冬天》《命运——斯大林格勒》《从哈尔科夫到库尔斯克》《决战第聂伯河》《从乌克兰到罗马尼亚》《中央集团军群的覆灭》《大崩溃》《1945年的春天》《攻占柏林》《终结卷》共13卷。,34,797,0,572.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/884/32070884/s_32070884.jpg
决战：毛泽东、蒋介石是如何应对三大战役的,2020-05-15 00:00:00,政治军事-军事,《决战：毛泽东、蒋介石是如何看待三战役的》内容简介：辽沈、淮海、平津三大会战，国军伤亡154余万人，共军伤亡24.2余万人，伤亡人数几乎为6:1多，为何短短142天中，经历了抗日战争洗礼的国方士兵在与经验相对欠缺的共军战争中，如此不堪一击乃至兵败如山倒？理清这一问题，不能不回到两军最高统帅毛泽东和蒋介石身上来，也即他们如何应对三大战略决战。,12,836,0,32.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/265/34779265/s_34779265.jpg
中国人眼中的朝鲜战争,2018-07-01 00:00:00,政治军事-军事,本书是一本纪实文学书，以众多苏联解秘档案为依据，客观形象地披露出大量中、苏、朝三国领导层对朝鲜战争一系列决策的来龙去脉。还通过对众多战争亲历者的采访，揭示出战争的惨烈，带来的伤害，歌颂了广大志愿军官兵为了祖国的利益不怕艰苦，浴血战斗的崇高精神。本书适合对朝鲜战争感兴趣的读者。从普通中国人的角度解读朝鲜战争，材料丰富，内容充实。主要从三个层面介绍朝鲜战争：既从宏观层面揭秘了苏联、中国、朝鲜、韩国领导人之间因为国家利益而进行的政治博弈，让读者了解朝鲜问题的由来以及中、苏等国领导人采取的相应的符合国家利益的措施；从中观层面，描写了彭德怀、邓岳、汪洋、王近山等志愿军将帅在朝鲜作战的一些传奇经历；从微观层面，刻画了以谭秉云、陈卓文、宋慧国等为代表的一大批志愿军战士英勇杀敌的精彩形象。本书主题健康积极，弘扬正能量，观点客观公正，摈弃历史虚无主义思潮。既写了在朝鲜战争中领导人之间的智慧较量，更着重生动地记叙许许多多的志愿军官兵在无比恶劣的条件下进行的艰苦浴血的战斗，歌颂他们为保家卫国而表现出的超常人的顽强、大无畏的牺牲精神。他们的这些事迹既深深感染人，又有引人入胜的可读性。,6,795,0,29.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/660/27093660/s_27093660.jpg
