title,author,publishTime,category,intro,free,price,cover
Python编程：从入门到实践,埃里克·马瑟斯,2016-07-01 00:00:00,计算机-编程设计,本书是一本针对所有层次的Python读者而作的Python入门书。全书分两部分：第一部分介绍用Python编程所必须了解的基本概念，包括matplotlib、NumPy和Pygal等强大的Python库和工具介绍，以及列表、字典、if语句、类、文件与异常、代码测试等内容；第二部分将理论付诸实践，讲解如何开发三个项目，包括简单的Python2D游戏开发，如何利用数据生成交互式的信息图，以及创建和定制简单的Web应用，并帮读者解决常见编程问题和困惑。本书适合对Python感兴趣的任何层次的读者阅读。,0,44.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/930/22806930/s_22806930.jpg
网络是怎样连接的,户根勤,2017-01-01 00:00:00,计算机-计算机综合,本书以探索之旅的形式，从在浏览器中输入网址开始，一路追踪了到显示出网页内容为止的整个过程，以图配文，讲解了网络的全貌，并重点介绍了实际的网络设备和软件是如何工作的。目的是帮助读者理解网络的本质意义，理解实际的设备和软件，进而熟练运用网络技术。同时，专设了“网络术语其实很简单”专栏，以对话的形式介绍了一些网络术语的词源，颇为生动有趣。本书图文并茂，通俗易懂，非常适合计算机、网络爱好者及相关从业人员阅读。,0,32.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/755/907755/s_907755.jpg
Java编程的逻辑,马俊昌,2018-01-01 00:00:00,计算机-编程设计,写一本关于编程的书，是我大概15年前就有的一个想法，当时，我体会到了编程中数据结构的美妙和神奇，有一种收获的喜悦和分享的冲动。这种收获是我反复阅读教程十几遍，花大量时间上机练习调试得到的，这是一个比较痛苦的过程。我想，如果把我学到的知识更为清晰易懂地表达出来，其他人不就可以掌握编程容易一些，并体会到那种喜悦了吗？不过，当时感觉自己学识太浅，要学习的东西太多，想一想也就算了。,0,49,https://wfqqreader-1252317822.image.myqcloud.com/cover/38/923038/s_923038.jpg
JavaScript高级程序设计（第4版）,马特·弗里斯比,2020-09-11 00:00:00,计算机-编程设计,本书是JavaScript经典图书的新版。第4版涵盖ECMAScript2019，全面、深入地介绍了JavaScript开发者必须掌握的前端开发技术，涉及JavaScript的基础特性和高级特性。书中详尽讨论了JavaScript的各个方面，从JavaScript的起源开始，逐步讲解到新出现的技术，其中重点介绍ECMAScript和DOM标准。在此基础上，接下来的各章揭示了JavaScript的基本概念，包括类、期约、迭代器、代理，等等。另外，书中深入探讨了客户端检测、事件、动画、表单、错误处理及JSON。本书同时也介绍了近几年来涌现的重要新规范，包括FetchAPI、模块、工作者线程、服务线程以及大量新API。,0,69,https://wfqqreader-1252317822.image.myqcloud.com/cover/683/34336683/s_34336683.jpg
Python编程：从入门到实践（第2版）,埃里克·马瑟斯,2020-09-18 00:00:00,计算机-编程设计,本书是针对所有层次Python读者而作的Python入门书。全书分两部分：第一部分介绍用Python编程所必须了解的基本概念，包括强大的Python库和工具，以及列表、字典、if语句、类、文件与异常、代码测试等内容；第二部分将理论付诸实践，讲解如何开发三个项目，包括简单的2D游戏、利用数据生成交互式的信息图以及创建和定制简单的Web应用，并帮助读者解决常见编程问题和困惑。第2版进行了全面修订，简化了Python安装流程，新增了f字符串、get()方法等内容，并且在项目中使用了Plotly库以及新版本的Django和Bootstrap，等等。,0,41,https://wfqqreader-1252317822.image.myqcloud.com/cover/681/34336681/s_34336681.jpg
C++ Primer（中文版）（第5版）,Stanley B·Lippman Josée Lajoie Barbara E·Moo,2013-09-01 00:00:00,计算机-编程设计,这本久负盛名的C++经典教程，时隔八年之久，终于迎来史无前例的重大升级。除令全球无数程序员从中受益，甚至为之迷醉的——C++大师Stanley B. Lippman的丰富实践经验，C++标准委员会原负责人Josée Lajoie对C++标准的深入理解，以及C++先驱Barbara E. Moo在C++教学方面的真知灼见外，更是基于全新的C++11标准进行了全面而彻底的内容更新。非常难能可贵的是，书中所有示例均全部采用C++11标准改写，这在经典升级版中极其罕见——充分体现了C++语言的重大进展及其全面实践。书中丰富的教学辅助内容、醒目的知识点提示，以及精心组织的编程示范，让这本书在C++领域的权威地位更加不可动摇。无论是初学者入门，或是中高级程序员提升使用，本书均为不容置疑的首选。,0,25.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/196/33692196/s_33692196.jpg
C Primer Plus（第6版）中文版【最新修订版】,史蒂芬·普拉达,2019-11-01 00:00:00,计算机-编程设计,《C Primer Plus（第6版）中文版》详细讲解了C语言的基本概念和编程技巧。《C Primer Plus（第6版）中文版》共17章。第1章、第2章介绍了C语言编程的预备知识。第3章～第15章详细讲解了C语言的相关知识，包括数据类型、格式化输入/输出、运算符、表达式、语句、循环、字符输入和输出、函数、数组和指针、字符和字符串函数、内存管理、文件输入和输出、结构、位操作等。第16章、第17章介绍C预处理器、C库和高级数据表示。本书以丰富多样的程序为例，讲解C语言的知识要点和注意事项。每章末尾设计了大量复习题和编程练习，帮助读者巩固所学知识和提高实际编程能力。附录给出了各章复习题的参考答案和丰富的参考资料。《C Primer Plus（第6版）中文版》可作为C语言的教材，适用于需要系统学习C语言的初学者，也适用于想要巩固C语言知识或希望进一步提高编程技术的程序员。,0,69.12,https://wfqqreader-1252317822.image.myqcloud.com/cover/205/30440205/s_30440205.jpg
编码：隐匿在计算机软硬件背后的语言,查尔斯·佩措尔德,2012-10-01 00:00:00,计算机-编程设计,这是一本讲述计算机工作原理的书。不过，你千万不要因为“工作原理”之类的字眼就武断地认为，它是晦涩而难懂的。作者用丰富的想象和清晰的笔墨将看似繁杂的理论阐述得通俗易懂，你丝毫不会感到枯燥和生硬。更重要的是，你会因此而获得对计算机工作原理较深刻的理解。这种理解不是抽象层面上的，而是具有一定深度的，这种深度甚至不逊于“电气工程师”和“程序员”的理解。,0,11.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/9/33381009/s_33381009.jpg
操作系统导论,雷姆兹·H.阿帕希杜塞尔 安德莉亚·C.阿帕希杜塞尔,2019-06-01 00:00:00,计算机-计算机综合,这是一本关于现代操作系统的书。全书围绕虚拟化、并发和持久性这3个主要概念展开，介绍了所有现代系统的主要组件（包括调度、虚拟内存管理、磁盘和I/O子系统、文件系统 ）。 本书共50章，分为3个部分，分别讲述虚拟化、并发和持久性的相关内容。本书大部分章节均先提出特定的问题，然后通过书中介绍的技术、算法和思想来解决这些问题。笔者以对话形式引入所介绍的主题概念，行文诙谐幽默却又鞭辟入里，力求帮助读者理解操作系统中虚拟化、并发和持久性的原理。 本书内容全面，并给出了真实可运行的代码（而非伪代码），还提供了相应的练习，适合高等院校相关专业教师教学和高校学生自学。,0,63.36,https://wfqqreader-1252317822.image.myqcloud.com/cover/184/30179184/s_30179184.jpg
精益数据分析,阿利斯泰尔·克罗尔 本杰明·尤科维奇,2015-01-01 00:00:00,计算机-数据库,本书围绕精益创业展开讨论，融合了精益创业法、客户开发、商业模式画布和敏捷持续集成的精华。本书汇聚了100多位创始人、投资人、内部创业者和创新者的成功创业经验，呈现了30多个极具价值的案例分析，可以为各阶段的创业者提供行为准则。,0,44.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/763/907763/s_907763.jpg
Go语言精进之路：从新手到高手的编程思想、方法和技巧1,白明,2022-01-01 00:00:00,计算机-编程设计,Go入门容易，精进难，如何才能像Go开发团队那样写出符合Go思维和语言惯例的高质量代码呢？本书将从编程思维和实践技巧2个维度给出答案，帮助你在Go进阶的路上事半功倍。编程思维层面：只有真正领悟了一门语言的设计哲学和编程思维，并能将之用于实践，才算精通了这门语言。本书从Go语言设计者的视角对Go背后的设计哲学和编程思想进行了梳理和分析，指引读者体会那些看似随意实则经过深思熟虑的设计背后的秘密。实践技巧层面：实践技巧源于对Go开发团队和Go社区开发的高质量代码的阅读、挖掘和归纳，从项目结构、代码风格、语法及其实现、接口、并发、同步、错误与异常处理、测试与调试、性能优化、标准库、第三方库、工具链、最佳实践、工程实践等多个方面给出了改善Go代码质量、写出符合Go思维和惯例的代码的有效实践。学完这本书，你将拥有和Go专家一样的编程思维，写出符合Go惯例和风格的高质量代码，从众多Go初学者中脱颖而出，快速实现从Go新手到专家的转变！,0,59.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/145/42557145/s_42557145.jpg
