title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
侯大利刑侦笔记（1-9独家连载中）,2020-03-01 00:00:00,精品小说-悬疑推理,【微信读书全网独家首发，独家定制版】百万畅销书《侯卫东官场笔记》作者小桥老树，2020年全新悬疑巨作。一部集侦查学、痕迹学、社会学、尸体解剖学、犯罪心理学之大成的教科书式破案小说。小桥老树：警察世家出身，曾在政法系统工作近十年，见证了无数个真实犯罪案例。39桩大案要案、68个犯罪现场、107种侦查手段、614位涉案人员，还原每一起犯罪从调查、取证、抓捕到侦破的全过程。不夸张，展现真实犯罪；不血腥，却看得人汗毛直竖。精读刑侦文献上万册，解析中外案例370多个，走访一线警察83人，又翻烂了父兄的十几本工作笔记，终于写成这部超还原、超写实的破案小说。16年为爱追凶，几次直面生死，侯大利把大脑磨炼成电脑，把眼睛淬炼成显微镜，逐一锁定案发现场和尸检中的关键信息。凭借变态级的观察力，他往往透过庞杂的社会关系，率先圈定凶手的行为特征和成长环境，将其缉拿归案。怀着命案必破的信念，侯大利从一个菜鸟迅速成长为行走的刑侦教科书。翻开本书，带您见识教科书式的破案手法和刑侦智慧！,8,776,0,-1,https://wfqqreader-1252317822.image.myqcloud.com/cover/598/29125598/s_29125598.jpg
麻衣相师,2019-11-01 00:00:00,精品小说-悬疑推理,刚搬来的女租户总听见卧室内有异响，向我求助，我一看监控就让她立刻搬家……--情节虚构，请勿模仿,28,789,0,-1,https://wfqqreader-1252317822.image.myqcloud.com/cover/403/27019403/s_27019403.jpg
生吞,2017-10-01 00:00:00,精品小说-悬疑推理,"2003年冬，十七岁少女黄姝惨遭奸杀，全身赤裸被弃尸于一幢烂尾楼前的雪坑。大雪覆盖了胴体也掩盖了重要线索，作案手法和动机成迷。十年后，又一具少女尸体被剥光衣服丢进雪坑，作案手段完全复刻，可昔日重大嫌疑人却早已去世，追查此案的老刑警冯国金再次坠入迷雾。随着尘封旧案重见天日，一段深埋在五个少男少女间的残酷青春往事浮出水面……
",8,767,0,19,https://wfqqreader-1252317822.image.myqcloud.com/cover/8/927008/s_927008.jpg
民调局异闻录之勉传,2018-08-01 00:00:00,精品小说-悬疑推理,这是关于一个长生不老的男人跨越两千年的故事，在每一段历史的角落里都曾经留下过他的名字。他曾经是一些人心中的噩梦，也曾经把一些被噩梦困扰着的人们唤醒。故事的开始他的名字叫做吴勉，故事的结局他的名字叫做无敌。,82,844,0,299,https://wfqqreader-1252317822.image.myqcloud.com/cover/918/819918/s_819918.jpg
恶意,2022-01-07 00:00:00,精品小说-悬疑推理,"
★ 东野圭吾名作，2022版新译本！

★ 与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作，从《恶意》开始真正认识东野圭吾

★ 深刻揭示人性，处处是悬念，加贺恭一郎系列扛鼎之作

★《纽约时报》《华尔街日报》《柯克斯书评》推荐

★ ZUI大的恶意不是SHA了你，而是毁了你

★ 赌上全部人生也要贯彻到底的恶意，究竟从何而来？

★ 中文版发行量350万册 ，豆瓣评分8.7，跻身豆瓣推理小说百强榜！


",5,935,0,35.4,https://weread-1258476243.file.myqcloud.com/weread/cover/29/3300020529/s_3300020529.jpg
法医秦明烧脑大合集（套装14册）,2022-06-01 00:00:00,精品小说-悬疑推理,本书由《法医秦明：天谴者》、《法医秦明：遗忘者》、《法医秦明：玩偶》、《尸语者》、《法医秦明：无声的证词》、《法医秦明：第十一根手指》、《法医秦明：清道夫》、《法医秦明：幸存者》、《守夜者》系列、《逝者之书》、《逝者证言》构成。《法医秦明：天谴者》：疯狂啃食的野犬、目露凶光的鼠群、贪婪撕咬的恶虎…生前毫无交集的男女，却都葬身兽腹。是偶然？天谴？还是有人刻意为之？《法医秦明：遗忘者》：聚焦当代女性困境，从犯罪档案中揭开她们的噩梦。腐臭凶宅、被秽土堵口的女人、小龙虾缠绕的笼中白骨。《法医秦明：玩偶》：一本写满预言的日记，两个下落不明的女人，皮囊之下，尽是枯骨!《尸语者》：资深法医老秦化身“尸语者”，20个挑战极限的案发现场，20份神秘的法医禁忌档案！《法医秦明：无声的证词》：少女遇害，只留下一份验不出人类DNA的物证，法医能否在下一个遇害者之前找到真相？《法医秦明：第十一根手指》：五名毫无关联的人被杀害，碎尸块中惊现十一根手指，嫌疑人居然是法医秦明？《法医秦明：清道夫》：3个血字，5条人命，藏身都市垃圾场的连环杀手，谁能终止他的杀戮？《法医秦明：幸存者》：血色婚礼只是游戏的开端，凶手隐藏于人海之中，谁能成为幸存者？《守夜者》系列1-4：无论黑暗中有什么，我都是你的守夜者。《逝者之书》：只有法医才敢分享的死亡教育课！《逝者证言》：科学、真实、全面、生动！不能不看的法医全纪录！,28,865,0,347.5,https://wfqqreader-1252317822.image.myqcloud.com/cover/66/44143066/s_44143066.jpg
绝叫（同名日剧原著）,2020-07-01 00:00:00,精品小说-悬疑推理,罗翔推荐。长达四十年的恶女编年史，被网友称为“被嫌弃的阳子的黑化”、“更现实版的《都挺好》”。铃木阳子死了，死在独居的公寓里。正确说来，是铃木阳子几个月前死了。因为发现她时，遗体不但遭到屋内的十一只猫啃食殆尽，连猫也全数饿死了。铃木阳子显然是“孤独死”的最佳范例，但这名女子为何落到这步田地？她的亲人、朋友、同事在哪里？她的人生轨迹又是怎样的？本书以两起相对独立的死亡事件为线索，牵出了三起相互交织的案件，讲述了女主人公阳子在时代裹挟中的个人挣扎，从平庸一步步滑落到不可救药的深渊。故事发生在2014年的日本都市。本书分为三条线：第一条线是“中年女子孤独死”案，从发现女尸开始，叙述女警绫乃的调查过程，逐渐揭露女主人公阳子的人生。第二条线从“非营利组织头目死亡”案开始。看似无关的两个案件逐渐交会，交织出真象。第三条线以第二人称叙述阳子的人生经历，从阳子童年时期开始，到女尸被发现为止，细腻地描写了阳子的成长变化和被社会吞噬的过程。,10,931,0,28.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/909/33483909/s_33483909.jpg
苗疆蛊事,2013-12-01 00:00:00,精品小说-悬疑推理,巫蛊之祸，自西汉起延续几千年，屡禁不止，直至如今，国学凋零，民智渐开，在大中国，唯乡野之民谈及，许多“缘来身在此山中”的人都不知不晓不闻。而巫蛊降头茅山之术，偏偏在东南亚各地盛行，连香港、台湾之地，也繁荣昌盛，流派纷起。  ,41,826,0,202.67,https://wfqqreader-1252317822.image.myqcloud.com/cover/852/216852/s_216852.jpg
白夜行,2017-07-21 00:00:00,精品小说-悬疑推理,1999年，东野圭吾41岁正值盛年，写作出道已14年，在笔力、技巧、体力和雄心上都炉火纯青，于是洋洋洒洒写出了这部鸿篇巨制《白夜行》。这种规模宏大的长篇作品在职业作家一生的创作中极为罕见，完成后基本都被视为生涯代表作。《白夜行》一经推出即成为东野圭吾的长篇小说代表作，被万千书迷视为东野圭吾作品中的无冕之·王，畅销至今。《白夜行》中文版发行量超600万册，和《嫌疑人X的献身》《恶意》《解忧杂货店》并称为东野圭吾四大杰作。,3,898,0,35.76,https://weread-1258476243.file.myqcloud.com/weread/cover/7/230107/s_230107.jpg
福尔摩斯探案全集,2019-07-01 00:00:00,精品小说-悬疑推理,《福尔摩斯探案全集》完整收录《血字的研究·四签名》《福尔摩斯冒险史》《福尔摩斯回忆录》《福尔摩斯归来记》《巴斯克维尔的猎犬·恐怖谷》《最后的致意》《福尔摩斯案件簿》，囊括阿瑟·柯南·道尔爵士创作的4部长篇小说及56部短篇小说。4部长篇包括从奠定夏洛克·福尔摩斯“基本演绎法”推理地位的《血字的研究》到充满冒险意味，让福尔摩斯跟华生医生九死一生的《巴斯克维尔的猎犬》；从充满人性丑恶的《四签名》到令人唏嘘的《恐怖谷》。56部短篇则展现了更多福尔摩斯丰富的探案经历：有他的宿敌莫里亚蒂的首次登场及最终对决；有他唯一欣赏过的女性艾琳·艾德勒的机智应对；有他决心退隐却因为内心强烈的使命感驱使不得不重新出山的故事；也有他跟政治家们和罪犯间斗智斗勇的种种。,24,958,0,88,https://wfqqreader-1252317822.image.myqcloud.com/cover/0/26408000/s_26408000.jpg
