title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
网络是怎样连接的,2017-01-01 00:00:00,计算机-计算机综合,本书以探索之旅的形式，从在浏览器中输入网址开始，一路追踪了到显示出网页内容为止的整个过程，以图配文，讲解了网络的全貌，并重点介绍了实际的网络设备和软件是如何工作的。目的是帮助读者理解网络的本质意义，理解实际的设备和软件，进而熟练运用网络技术。同时，专设了“网络术语其实很简单”专栏，以对话的形式介绍了一些网络术语的词源，颇为生动有趣。本书图文并茂，通俗易懂，非常适合计算机、网络爱好者及相关从业人员阅读。,14,836,0,32.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/755/907755/s_907755.jpg
操作系统导论,2019-06-01 00:00:00,计算机-计算机综合,这是一本关于现代操作系统的书。全书围绕虚拟化、并发和持久性这3个主要概念展开，介绍了所有现代系统的主要组件（包括调度、虚拟内存管理、磁盘和I/O子系统、文件系统 ）。 本书共50章，分为3个部分，分别讲述虚拟化、并发和持久性的相关内容。本书大部分章节均先提出特定的问题，然后通过书中介绍的技术、算法和思想来解决这些问题。笔者以对话形式引入所介绍的主题概念，行文诙谐幽默却又鞭辟入里，力求帮助读者理解操作系统中虚拟化、并发和持久性的原理。 本书内容全面，并给出了真实可运行的代码（而非伪代码），还提供了相应的练习，适合高等院校相关专业教师教学和高校学生自学。,13,916,0,63.36,https://wfqqreader-1252317822.image.myqcloud.com/cover/184/30179184/s_30179184.jpg
Java核心技术·卷Ⅰ：基础知识（原书第10版）,2016-09-01 00:00:00,计算机-计算机综合,本书是《Java核心技术》第10版的卷Ⅰ。自《Java核心技术》出版以来，每个新版本都尽可能快地跟上Java开发工具箱发展的步伐，而且每一版都重新改写了部分内容，以便适应Java的最新特性。在这一版中，已经反映了Java标准版（Java SE 8）的特性。与前几版一样，本版仍然将读者群定位在那些打算将Java应用到实际工程项目中的程序设计人员。本书假设读者是一名具有程序设计语言（除Java之外）坚实背景知识的程序设计人员，并且不希望书中充斥着玩具式的示例（诸如，烤面包机、动物园的动物或神经质的跳动文本）。这些内容绝对不会在本书中出现。本书的目标是让读者充分理解书中介绍的Java语言及Java类库的相关特性，而不会产生任何误解。在本书中，我们选用大量的示例代码演示所讨论的每一个语言特性和类库特性。我们有意使用简单的示例程序以突出重点，然而，其中的大部分既不是赝品也没有偷工减料。它们将成为读者自己编写代码的良好开端。,11,674,0,40,https://wfqqreader-1252317822.image.myqcloud.com/cover/978/840978/s_840978.jpg
计算机网络,2013-06-01 00:00:00,计算机-计算机综合,本书自1989年首次出版以来，于1994年、1999年、2003年、2008年分别出了修订版，2006年8月被纳入普通高等教育“十一五”国家级规划教材，现在正在申报普通高等教育“十二五”国家级规划教材。本次修订版在内容和结构方面都有很大的修改。全书分为10章，比较全面系统地介绍了计算机网络的发展和原理体系结构、物理层、数据链路层、网络层、运输层、应用层、网络安全、因特网上的音频/视频服务、无线网络和下一代因特网等内容。,33,859,0,15.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/484/655484/s_655484.jpg
图解HTTP,2014-05-01 00:00:00,计算机-计算机综合,本书对互联网基盘——HTTP协议进行了全面系统的介绍。作者由HTTP协议的发展史娓娓道来，严谨细致地剖析了HTTP协议的结构，列举诸多常见通信场景及实战案例，最后延伸到Web安全、最新技术动向等方面。本书的特色为在讲解的同时，辅以大量生动形象的通信图例，更好地帮助读者深刻理解HTTP通信过程中客户端与服务器之间的交互情况。读者可通过本书快速了解并掌握HTTP协议的基础，前端工程师分析抓包数据，后端工程师实现REST API、实现自己的HTTP服务器等过程中所需的HTTP相关知识点本书均有介绍。本书适合Web开发工程师，以及对HTTP协议感兴趣的各层次读者。,14,697,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/764/907764/s_907764.jpg
深入浅出Pandas：利用Python进行数据处理与分析,2021-07-01 00:00:00,计算机-计算机综合,如果你想充分发挥Python的强大作用，如果你想成为一名好的Python工程师，你应该先学好Pandas。这是一本全面覆盖了Pandas使用者的普遍需求和痛点的著作，基于实用、易学的原则，从功能、使用、原理等多个维度对Pandas做了全方位的详细讲解，既是初学者系统学习Pandas难得的入门书，又是有经验的Python工程师案头必不可少的查询手册。本书共17章，分为七部分。1部分（1～2章） Pandas入门：首先介绍了Pandas的功能、使用场景和学习方法，然后详细讲解了Python开发环境的搭建，Z后介绍了Pandas的大量基础功能，旨在引领读者快速入门。二部分（3～5章） Pandas数据分析基础：详细讲解了Pandas读取与输出数据、索引作、数据类型转换、查询筛选、统计计算、排序、位移、数据修改、数据迭代、函数应用等内容。三部分（6～9章） 数据形式变化：讲解了Pandas的分组聚合作、合并作、对比作、数据透视、转置、归一化、标准化等，以及如何利用多层索引对数据进行升降维。部分（10～12章） 数据清洗：讲解了缺失值和重复值的识别、删除、填充，数据的替换、格式转换，文本的提取、连接、匹配、切分、替换、格式化、虚拟变量化等，以及分类数据的应用场景和作方法。五部分（13～14章）时序数据分析：讲解了Pandas中对于各种时间类型数据的处理和分析，以及在时序数据处理中经常使用的窗口计算。六部分（15～16章） 可视化：讲解了Pandas的样式功能如何让数据表格更有表现力，以及Pandas的绘图功能如何让数据自己说话。七部分（17章） 实战案例：介绍了从需求到代码的思考过程，如何利用链式编程思想提高代码编写和数据分析效率，以及数据分析的基本方法与需要掌握的数据分析工具和技术栈，此外还从数据处理和数据分析两个角度给出了大量的应用案例及代码详解。,35,872,0,59.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/446/39427446/s_39427446.jpg
第一行代码：Android（第2版）,2016-12-01 00:00:00,计算机-计算机综合,本书被Android开发者誉为“Android学习第一书”。全书系统全面、循序渐进地介绍了Android软件开发的必备知识、经验和技巧。《第一行代码》（第2版）基于Android 7.0对第1版进行了全面更新，将所有知识点都在最新的Android系统上进行了重新适配，使用全新的Android Studio开发工具代替之前的Eclipse，并添加了对Material Design、运行时权限、多窗口模式、Gradle、RecyclerView、百分比布局、OkHttp、Lambda表达式等全新知识点的详细讲解。本书内容通俗易懂，由浅入深，既是Android初学者的入门必备，也是Android开发者的进阶首选。,21,903,0,39.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/889/26211889/s_26211889.jpg
深入浅出Docker,2019-04-01 00:00:00,计算机-计算机综合,本书是一本Docker入门图书，全书分为17章，从Docker概览和Docker技术两部分进行全面解析，深入浅出地介绍了Docker的相关知识，清晰详细的操作步骤结合大量的实际代码帮助读者学以致用，将Docker知识应用到真实的项目开发当中。本书适合对Docker感兴趣的入门新手、Docker技术开发人员以及运维人员阅读，本书也可作为Docker认证工程师考试的参考图书。,10,716,0,44.16,https://wfqqreader-1252317822.image.myqcloud.com/cover/914/25916914/s_25916914.jpg
Java从入门到精通（第2版）,2015-03-01 00:00:00,计算机-计算机综合,"《Java从入门到精通（第2版）》以零基础讲解为宗旨，用实例引导读者学习，深入浅出地介绍了Java的相关知识和实战技能。
《Java从入门到精通（第2版）》第1篇【基础知识】主要讲解Java的基础知识、开发工具、程序要素、常量与变量、数据类型、运算符、表达式与语句、程序控制结构、数组、类和对象、方法以及枚举等；第2篇【核心技术】主要讲解类的封装、继承与多态、抽象类与接口、类的专题研究、Java常用类库、String类、对象的引用与传递、包及访问权限、异常的捕获与处理、Java类集框架以及Annotation等；第3篇【高级应用】主要讲解多线程、文件I/O操作、Java Applet网页小程序、Java网络程序设计、Java数据库编程以及DAO设计模式等；第4篇【项目实战】通过OA办公系统和电子商务网站平台两个实战案例，介绍了完整的Java开发流程。
《Java从入门到精通（第2版）》所附DVD光盘中包含了与图书内容全程同步的教学录像。此外，还赠送了大量相关学习资料，以便读者扩展学习。
《Java从入门到精通（第2版）》适合任何想学习Java的读者，无论您是否从事计算机相关行业，是否接触过Java，均可通过学习快速掌握Java的开发方法和技巧。",12,838,0,41.88,https://wfqqreader-1252317822.image.myqcloud.com/cover/942/728942/s_728942.jpg
大话软件工程：需求分析与软件设计,2020-03-01 00:00:00,计算机-计算机综合,《大话软件工程——需求分析与软件设计》面向从事软件分析与设计相关工作的读者。《大话软件工程——需求分析与软件设计》的重点是在软件工程中增加了业务设计和应用设计的部分，提出了软件设计工程化的模式，支持进行定性、定量的软件项目管理，是一本实操型的软件工程工具书。全书共分为6篇22章，分别介绍了业务分析与设计的理论、需求工程的调研与分析方法、业务的分析与设计方法、应用设计方法、业务用例和应用用例的编写方法、需求和设计的配套模板、规格书标准等。《大话软件工程——需求分析与软件设计》可作为软件工程师（包括需求、设计、开发、实施）、产品/项目经理、管理咨询师的实用工具书、培训机构的设计资格培训教材，以及普通高等院校管理信息专业、计算机专业学生学习软件设计方法的参考书。,57,917,0,139.3,https://wfqqreader-1252317822.image.myqcloud.com/cover/906/40726906/s_40726906.jpg
