title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
非暴力沟通（修订版）,2021-05-01 00:00:00,个人成长-沟通表达,马歇尔·卢森堡博士发现了一种沟通方式，依照它来谈话和聆听，能使人们情意相通，和谐相处，这就是“非暴力沟通”。做为一个遵纪守法的好人，也许我们从来没有把谈话和“暴力”扯上关系。不过如果稍微留意一下现实生活中的谈话方式，并且用心体会各种谈话方式给我们的不同感受，我们一定会发现，有些话确实伤人！言语上的指责、嘲讽、否定、说教以及任意打断、拒不回应、随意出口的评价和结论给我们带来的情感和精神上的创伤甚至比肉体的伤害更加令人痛苦。这些无心或有意的语言暴力让人与人变得冷漠、隔膜、敌视。非暴力沟通能够：疗愈内心深处的隐秘伤痛；超越个人心智和情感的局限性；突破那些引发愤怒、沮丧、焦虑等负面情绪的思维方式；用不带伤害的方式化解人际间的冲突；学会建立和谐的生命体验。,7,873,0,21,https://wfqqreader-1252317822.image.myqcloud.com/cover/989/40747989/s_40747989.jpg
亲密关系,2015-04-01 00:00:00,个人成长-沟通表达,在爱与被爱的过程中，我们都曾经历过痛苦、恐惧，也体验过狂喜与极乐，我们渴望建立永恒真挚的亲密关係，却又害怕再度受伤。他告诉我们如何穿透自我障碍，用爱酿造幸福秘方——没有人能年复一年地活在火辣、热情、浪漫的亲密关系之中，但我们能在亲密关系的旅途中，学习面对自己最好以及最糟的特质……,16,767,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/288/915288/s_915288.jpg
有钱人和你想的不一样,2020-09-01 00:00:00,个人成长-沟通表达,你渴望成功吗？你渴望在现实生活中得到实际的成功吗？如果你渴望，那么很好，你总算要在这里得到答案了。书中17个财富档案，教会你有钱人和穷人不一样的十七种思考和行为方式。地产大亨唐纳德-（DonaldTrump）就是不错的例子。本来身家数十亿美元，后来一度失去一切，然而几年后他就把失去的钱全部赚了回来，而且比先前更富有。为什么会这样？这是因为，白手起家的富翁也许会输掉万贯家财，但是他们不会失去那个让他们获得成就的很重要因素，也就是他们那颗“有钱人的脑袋”。在钱这件事上，有外在的法则，当然也有内在的法则。外在的法则包括商业知识、理财和投资策略等等，这些是很重要的因素，不过内在技巧也一样重要。这本书教你观察你在金钱方面的思考模式，并且挑战你那些有所局限而消极的想法、习惯和行动。为什么要从金钱开始谈？因为在大部分人的生命中，钱是优选的痛苦来源之一，然而别忘了一个更大的背景。因为，一旦你能辨认出你在财务问题上的消极方式，这个觉察就可以进入你生命中的其他层面。这本书的本意是要帮助你提高自觉。自觉，是指你观察自己的想法和行动，让你自己从此时此刻的真正选择出发，而不是从你过去受到制约的基础行动。这股力量，是关于你如何从自己的更高自我产生反应，而非根据你基于恐惧的“较低”自我。如此一来，你就可以成为你所能成为的很棒的人，并且完成你的使命。这本书的每一页，都在为你解开迷惑，让你明白为什么有些人注定成功，有些人却注定一辈子要为钱辛苦奔忙。你会了解是什么根源造就了人的成功、一辈子平庸，以及理财的成功或失败，并且开始朝更好的财务状况前进。,8,818,0,24.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/842/34245842/s_34245842.jpg
每天演好一个情绪稳定的成年人,2019-06-01 00:00:00,个人成长-沟通表达,27个有趣有料的故事，让你看到“丧”和“燃”的人生有何不同，让你领略到“无聊”和“有趣”的生活有多大的差别，让你明白“无可奈何”到“放手一搏”的选择会带来多大的差距。提醒你“万事开头难，中间难，结尾也难”；嘱咐你“绝大多数的人生困境，都源自那该死的随波逐流”；拆穿你“如果要做圣母，请先以身作则”；警示你“大脑是你的自留地，不是别人的跑马场”。看清了生活的真相，那些糟糕的情绪才能够被合理安放。每天演好一个情绪稳定的成年人，清醒、识趣、克制。偶尔讨厌，永远可爱。,9,751,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/775/25803775/s_25803775.jpg
人际的奥秘：曾仕强告诉你如何搞好人际关系,2015-01-01 00:00:00,个人成长-沟通表达,"    《人际的奥秘：曾仕强告诉你如何搞好人际关系》一书以人际关系为出发点，主要介绍了处理和经营人际关系的十个要领，并与伦理道德完美融合，帮助人们营造健康、优质的人际关系。
",5,803,0,14.7,https://wfqqreader-1252317822.image.myqcloud.com/cover/33/735033/s_735033.jpg
别人不说，你一定要懂的人情世故,2012-08-01 00:00:00,个人成长-沟通表达,"    《别人不说，你一定要懂的人情世故（精华读本）》的特点在于通俗易懂，实用有效，没有空洞地讲大道理，一切都从实际的生活出发。通过对生动有趣的生活事例的讲述，对人性与心理进行了详细深刻的分析，从而阐述了实用有效的人情世故哲学。人情世故并不是洪水猛兽，而是有助于我们建立和谐人际关系和美好生活的一门实学。正如南怀瑾先生所说的：“人情世故不是简单的圆滑处世，不是假意的虚伪逢迎，不是单纯地屈服于现实，而是真正懂得生活的意义，安详地走完自己的人生。”
",8,727,0,1.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/869/726869/s_726869.jpg
金字塔原理大全集,2019-06-01 00:00:00,个人成长-沟通表达,"麦肯锡40年经典培训教材，基础原理+实战训练 精进思考、分析和表达能力 管理者和各行各业职场人的实用工具，世界知名企业和院校用来培训成员的逻辑思考方法
●金字塔原理是一种重点突出、逻辑清晰的思维方式，可以帮助我们高效思考、表达、解决问题。
●深入浅出的原理解读+各种类型的案例分析，快速将金字塔原理用于实际工作，从容面对各种难题。
●运用金字塔原理，可以轻松做出精彩的策划方案、产品文案、PPT，不用再为写作绞尽脑汁。
●借助金字塔原理，项目陈述、演讲、工作汇报，清晰有力，说服上级和客户不再是难题。
●建立系统、高效的思维模式，将帮助每个职场人突破发展瓶颈，不断精进自我。",9,839,0,105.6,https://weread-1258476243.file.myqcloud.com/weread/cover/28/3300020528/s_3300020528.jpg
关键对话：如何高效能沟通（原书第2版）,2012-06-01 00:00:00,个人成长-沟通表达,《关键对话:如何高效能沟通(原书第2版)》详细剖析了人们在沟通上常的盲点，并提供了许多立竿见影的谈话、倾听、行动技巧，辅以丰富的对话情境和轻松幽默的小故事，帮助读者以最迅速的方式掌握这些技巧。说得切中要点，让对方清楚知道你的看法，是一种能力；说得圆满得体，让对方自动反省，是一种智慧。运用本书提供的技巧，不论是多么难以应对的局面，你都能够事半功倍地轻松面对。,24,793,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/981/573981/s_573981.jpg
情商：为什么情商比智商更重要,2010-11-01 00:00:00,个人成长-沟通表达,情商是一种基本生存能力，决定你其它心智能力的表现，也决定你一生的走向与成就。,10,759,0,18,https://wfqqreader-1252317822.image.myqcloud.com/cover/677/621677/s_621677.jpg
李诞脱口秀工作手册,2021-08-01 00:00:00,个人成长-沟通表达,李诞分享创作经验！创意是智力活儿，也是体力活儿，归根结底是苦力活儿！这是李诞写给所有创意工作者的一本工作手册。在本书中，李诞毫无保留地分享了从业以来所有的创作心得，既有具体的创作方法，写逐字稿、天天写稿，也有对待工作的态度，你的全部人生都理应要为你的创作提供养分。除此之外，他还悉心解答了创意工作者在创作、工作过程中遇到的困惑与难题。这些方法、习惯成就了李诞，这本书也会让你收获信念和实实在在的方法。翻开本书，像李诞一样熬出创意，磨出灵感！,7,750,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/120/40405120/s_40405120.jpg
