title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
卡片笔记写作法：如何实现从阅读到写作,2021-06-01 00:00:00,文学-语言文字,卢曼的“盒中笔记”通常很简短，因为这些只是他庞大繁杂研究中的索引，等需要时，他会借由这些线头进行延伸思考，然后不断链接知识要点，从而形成自己的知识树。你也可以试试。,11,772,0,49.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/896/39136896/s_39136896.jpg
大师写作班：这样写出好故事（全三册）（情节结构+人物对话+描写与背景）,2019-04-01 00:00:00,文学-语言文字,本套书是一套本故事写作指导读物，共三册，分别为《这样写出好故事：玩转情节与结构》《这样写出好故事：人物对话》《这样写出好故事：描写与背景》。,8,829,0,61.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/818/25375818/s_25375818.jpg
公文写作金句速查宝典：诗词、佳句、场景用法,2020-09-01 00:00:00,文学-语言文字,为了达到在公文写作中“让没有古语功底的人快速准确地引用古语”的目的，《公文写作金句速查宝典：诗词、佳句、场景用法》的结构、内容等各个方面都颇费思量。一是顺藤摸瓜。《公文写作金句速查宝典：诗词、佳句、场景用法》设置了全面而明确的索引，读者能够在短时间内，根据所写的内容轻而易举地找到与之相匹配的古诗文佳句。二是雅俗共赏。《公文写作金句速查宝典：诗词、佳句、场景用法》所选条目，有的耳熟能详，用之全场了然；有的生僻鲜见，用之惊艳四座。用时可以根据场合、听众等因素，选择难的或易的。三是条分缕析。每一个条目下面都有三个部分：出处、释义和用法提示，为读者提供了基本的“应知应会”，既不会耽误时间，又能满足你的需要。四是裨补缺漏。在出处部分，《公文写作金句速查宝典：诗词、佳句、场景用法》会指出一些常识性的错误，并予以专业性的解答。五是旁征博引。在用法提示部分，《公文写作金句速查宝典：诗词、佳句、场景用法》围绕条目做了一些适当、有趣的延伸，旨在帮助读者提升公文写作能力的同时，扩展知识面，增强可读性。,8,864,0,54.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/501/35148501/s_35148501.jpg
公文写作速成法（套装共4册）,2019-12-30 00:00:00,文学-语言文字,本套装包括：《公文高手的25项写作技巧：80个公文模板，即学即用》《实用公文写作一本通：47种公文体裁全面覆盖，打造全新的公文写作实操指南，一本书掌握公文写作实用技巧》《品味公文：新时代公文写作关键技巧及范文精选》《品味公文：公文写作大手笔练就之道（中共北京市委党校副校长王群多年公文写作真切体味）》,16,961,0,98,https://wfqqreader-1252317822.image.myqcloud.com/cover/98/27587098/s_27587098.jpg
学术写作原来是这样：语言、逻辑和结构的全面提升,2020-12-01 00:00:00,文学-语言文字,北京大学心理与认知科学学院研究员、博士生导师易莉多年英文论文写作课程精华，一套更适合国内英文学术写作者的方法，一部有关心理学及相关学科（如语言学、社会学等学科)的英文学术写作指南。从学术写作的障碍和原则、学术写作的逻辑、学术写作的语言、学术写作的流程四个方面，简洁明了地介绍了学术写作的方法。针对中国人英文学术写作中的常见误区，提出了具体的解决方案。提供了很多有用的学术写作资源（如学术写作指导书单、学术措辞库、语料库等)和写作修改范例，以帮助读者提高学术写作水平，顺利发表论文。,20,930,0,30,https://wfqqreader-1252317822.image.myqcloud.com/cover/612/35346612/s_35346612.jpg
如何写出一篇好文章：不动笔就能学会写文章的训练法,2019-07-01 00:00:00,文学-语言文字,如何写出一篇好文章？一篇文章的好坏，九成取决于动笔之前。相信每个人都有枯坐在桌前，面对空白的Word文档苦苦思索的经验。不管是Email、广告文案还是企划书，“写不出来”“不知该如何开始”“写的东西没办法说服人”……永远都是职场菜鸟、写作小白的噩梦。本书并非专门写给“写手”看的，而是写给普通人的写作书。本书作者在成为日本写作高手之前，文章被批评为无趣、不具说服力、没有观点……差点失去了成为职业写作者的信心。通过不断思考何谓“好看的文章”，终于将“随便写写”上升到“写之前先准备”“思考过后再写”“写时思路清晰”……下笔必成的状态。,10,810,0,23.52,https://wfqqreader-1252317822.image.myqcloud.com/cover/750/33091750/s_33091750.jpg
符号学：原理与推演（修订本）,2016-01-01 00:00:00,文学-语言文字,符号是被认为携带着意义的感知。符号用来传达意义，传达意义必用符号，意义就是一个符号被另一个符号所解释的潜力。因此，符号学就是意义学。赵毅衡编写的《符号学（原理与推演修订本）》分成上下两编：原理编——扩展了一百年来符号学发展的理论基础，融合中西方符号学理论，建立一个可用于分析人类意义活动的符号学体系。推演编——具体讨论了符号在人类文化中扮演的复杂作用，让读者理论与应用兼得。一些易混淆的概念，在本书中得到条分缕析的清晰贬义。在这基础上，本书形成了突破原有理论的新体系，全面推进了符号学运动。,37,882,0,34,https://wfqqreader-1252317822.image.myqcloud.com/cover/375/32511375/s_32511375.jpg
像高手一样发言：七种常见工作场景的说话之道,2020-11-26 00:00:00,文学-语言文字,公务员的表达与沟通，不仅仅只是个人意愿的简单表达，更多的是职务行为的一种外化和体现，有着特殊的限制和要求。本书结合公务员常见的工作场景，通过拆解、论证、分析诸多真实的职场案例，挖掘其中讲话的特点和规律，提供公务员“好好说话”的公式和方法。俗话说：手中有粮，心中不慌。一旦熟悉了各种场合讲话的规律，掌握了讲话的思路，那面对众人讲话就不再是一件难事了。,11,798,0,29.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/196/35147196/s_35147196.jpg
秋叶特训营 写作7堂课,2019-10-01 00:00:00,文学-语言文字,《秋叶特训营 写作7堂课》以7堂课的形式，系统总结了写作常用的方法——框架式写作、复利式写作、碎片化写作、联机式写作、结构化写作、清单式写作和复盘式写作。内容可操作性强，从如何搭建文章框架，到如何搜集与整理素材，都用实例展示了大量的操作细节，能切实引导读者通过提升写作能力打造自身的职场核心竞争力，在人才竞争的环境中脱颖而出。  《秋叶特训营 写作7堂课》适合职场人士、高校学生或创业者等希望提升自身软实力、培养核心竞争力的人士阅读。读者可根据自身情况，选择适合自己的写作模式和方法，创造精彩的内容。,16,766,0,24.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/258/28200258/s_28200258.jpg
汉英对比与英语学习,2016-05-01 00:00:00,文学-语言文字,本书根据我国英语专业大学生所处的汉语语言和文化环境，针对他们英语学习中出现的重要问题，提出一种较新的英语学习理论和方法--利用汉英对比学习英语。本书系统阐述了这种方法的依据、思路、具体步骤及需注意的问题，并对英语学习所涉及的各个层面的汉英对比进行了较详细的论述。本书的宗旨是帮助高校英语专业学生树立汉英对比意识，熟悉汉英对比知识，掌握汉英转换规律，最终达到克服汉式英语、掌握地道英语、提高准确表达英语能力的目的。本书采用师生对话的形式，体现了师生平等讨论的亲切氛围，使理论问题的阐释深入浅出，易于为本科学生所接受。,55,833,0,55.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/120/25665120/s_25665120.jpg
模板写作法：世界上最简单的写作课,2021-04-30 00:00:00,文学-语言文字,本书是一本实用写作指导书。平时，我们除了编写工作方面的业务报告、策划书等文件以外，还会发微博、写电子邮件、使用聊天工具进行沟通，这些都是广泛意义上的“写作”，都需要一定的技巧才能有效输出信息，达成写作目标。本书梳理了“列举型”“故事型”“结论优先型”三种有效且通俗流畅的写作模板，以及在三种基础模板的基础上组合得出的若干种“组合型”模板，帮助读者解决内容输出过程中的困扰，走出低效混乱的写作困境。模板并不意味着束缚和老套，它们提供了可以有效应用的底层逻辑，掌握好模板更有利于在保证逻辑顺畅的前提下高效、灵活地创作。,18,794,0,23.52,https://wfqqreader-1252317822.image.myqcloud.com/cover/221/38778221/s_38778221.jpg
九宫格写作法：如何写出一篇好文章,2020-10-30 00:00:00,文学-语言文字,写文章是你的痛点吗？本书以独特的“九宫格”为框架，启发读者直面自己的观点和感受，收集素材、推敲文笔、巧用模板，逻辑清晰地将已知信息有效输出。作者用积累了20余年的写作经验整合出一套科学有效的写作逻辑，为你消除“写不出来”的烦恼，用极简的方法提升个人极为重要的底层技能。也许你是整日与邮件打交道的白领，也许你是急需优质文案的策划人，也许你只是想好好发个朋友圈的普通人……本书就是为你量身打造的“写作秘籍”，从此轻松应对日常场景下的写作需求。现在，填满“九宫格”，升级你的写作技能！,8,852,0,30.18,https://wfqqreader-1252317822.image.myqcloud.com/cover/429/34892429/s_34892429.jpg
逻辑·语法·修辞（第2版）,2019-08-01 00:00:00,文学-语言文字,语法、修辞、逻辑都是有益于写作的基本知识，这三者的结合是重多语言学家和逻辑学家都想实现的愿望。基于此，本书做了些尝试，把逻辑、语法和修辞结合起来研究。这样，从逻辑方面说，既可以把逻辑应用于语言来研究，也可以从语言概括出逻辑来研究；既可以用传统逻辑方法，也可以用现代逻辑方法来研究；还可以从不同学科中结合语言表达的实际，寻找结合点，进行规律性的探索。,27,736,0,39.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/940/33705940/s_33705940.jpg
语言本能,2015-05-01 00:00:00,文学-语言文字,"? 一扇了解语言器官、破解语法基因、进入人类心智的大门；
? 一个关于语言问题最权威的答案；
? 一些令人信服、生动有趣的例证；
? 一场常识对谬论的彻底胜利。",39,734,0,30.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/314/713314/s_713314.jpg
哈佛非虚构写作课：怎样讲好一个故事,2015-12-01 00:00:00,文学-语言文字,"《哈佛非虚构写作课：怎样讲好一个故事》是由全球久负盛名的哈佛大学尼曼基金会集聚全美杰出新闻记者和非虚构作者，分享他们独到的创作经验。涵盖各个方面，从寻找一个好的主题、搭建故事的叙事结构、塑造作品品质，到撰写和出版你的第一本书，是新闻、电视、广播、纪录片等从业人员,以及自由撰稿人的必读参考。",25,711,0,14.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/708/23507708/s_23507708.jpg
