title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
故事会（2015年全集）,2014-12-22 00:00:00,期刊专栏-文学,无数事实、经验和理性已经证明：好故事可以影响人的一生。而以我们之见，所谓好故事，在内容上讲述的应是做人与处世的道理，在形式上也应听得进、记得住、讲得出、传得开，而且不会因时代的变迁而失去她的本质特征和艺术光彩。在《故事会》杂志上发表的作品有着让人过目不忘的艺术感染力；有恒久的趣味。愿好故事伴随你的一生！,4,878,0,78.52,https://wfqqreader-1252317822.image.myqcloud.com/cover/588/852588/s_852588.jpg
故事会（2022年7月上）,2022-07-08 00:00:00,期刊专栏-文学,《故事会》是中国最通俗的民间文学小本杂志，是中国的老牌刊物之一。先后获得两届中国期刊的最高奖——国家期刊奖。1998年，它在世界综合类期刊中发行量排名第5。从1984年开始，《故事会》由双月刊改为月刊，2003年11月份开始试行半月刊，2004年正式改为半月刊。现分为红、绿两版，其中红版为上半月刊，绿版为下半月刊。,5,0,0,5.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/97/44652097/s_44652097.jpg
《当代》杂志（2021年5期）,2021-09-01 00:00:00,期刊专栏-文学,人民文学出版社《当代》杂志2021年第五期，刊载长篇小说：《太阳转身》（范稳）；刊载中篇小说：《何来胜》（海飞）、《补甑》（陈斌先）、《游乐场》（孙睿）；故宫谈艺录：《挑灯看剑辛弃疾》（祝勇）；纪事：《风云未淡定的怀念——我与张贤亮的交往》（张曼菱）；讲谈：《书家卫夫人——历代书法人物之卫铄》（张国擎）；文学拉力赛传真——2021年第四站冠军揭晓，及2021年第四站读者来信选登。,6,814,0,14,https://wfqqreader-1252317822.image.myqcloud.com/cover/157/41091157/s_41091157.jpg
故事会（2022年7月下）,2022-07-08 00:00:00,期刊专栏-文学,《故事会》是中国最通俗的民间文学小本杂志，是中国的老牌刊物之一。先后获得两届中国期刊的最高奖——国家期刊奖。1998年，它在世界综合类期刊中发行量排名第5。从1984年开始，《故事会》由双月刊改为月刊，2003年11月份开始试行半月刊，2004年正式改为半月刊。现分为红、绿两版，其中红版为上半月刊，绿版为下半月刊。,3,0,0,5.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/100/44652100/s_44652100.jpg
故事会（2022年6月下）,2022-06-15 00:00:00,期刊专栏-文学,《故事会》是中国最通俗的民间文学小本杂志，是中国的老牌刊物之一。先后获得两届中国期刊的最高奖——国家期刊奖。1998年，它在世界综合类期刊中发行量排名第5。从1984年开始，《故事会》由双月刊改为月刊，2003年11月份开始试行半月刊，2004年正式改为半月刊。现分为红、绿两版，其中红版为上半月刊，绿版为下半月刊。,4,857,0,5.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/359/44347359/s_44347359.jpg
故事会（2022年6月上）,2022-06-01 00:00:00,期刊专栏-文学,《故事会》是中国最通俗的民间文学小本杂志，是中国的老牌刊物之一。先后获得两届中国期刊的最高奖——国家期刊奖。1998年，它在世界综合类期刊中发行量排名第5。从1984年开始，《故事会》由双月刊改为月刊，2003年11月份开始试行半月刊，2004年正式改为半月刊。现分为红、绿两版，其中红版为上半月刊，绿版为下半月刊。,5,614,0,5.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/864/44216864/s_44216864.jpg
《科幻世界·译文版》2021年全年合集（套装共12册）,2022-01-01 00:00:00,期刊专栏-文学,《科幻世界·译文版》2021年全年合集（1月-12月）杂志简介：精选海外名家名作经典，带你走进世界幻想殿堂！科幻世界译文版创刊于2005年，最初是以《科幻世界》增刊的形式，推出以后广受好评，于是正式成刊。几经改版之后，现在的《科幻世界译文版》全年发行十二期，单月刊以科幻为主，双月刊以奇幻为主。全刊均为精选引进的欧美科幻、奇幻佳作，荟萃经典与流行，随时跟踪最新热点。每期均包括一部长篇和数个中短篇，全方位地反映出欧美科幻、奇幻文学的现状与发展。目前，《科幻世界译文版》是全国唯一一家大型科幻、奇幻译刊。经过十年发展，它已经成为全国幻迷的核心读物。《科幻世界·译文版》，科幻迷必读之刊。,14,917,0,79.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/897/43288897/s_43288897.jpg
故事会（2016年全集）,2015-12-22 00:00:00,期刊专栏-文学,无数事实、经验和理性已经证明：好故事可以影响人的一生。而以我们之见，所谓好故事，在内容上讲述的应是做人与处世的道理，在形式上也应听得进、记得住、讲得出、传得开，而且不会因时代的变迁而失去她的本质特征和艺术光彩。在《故事会》杂志上发表的作品有着让人过目不忘的艺术感染力；有恒久的趣味。愿好故事伴随你的一生！,4,854,0,67.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/589/852589/s_852589.jpg
当代长篇小说选刊（2021年2期）,2021-04-01 00:00:00,期刊专栏-文学,人民文学出版社《当代长篇小说选刊》杂志2021年第二期，刊载长篇小说《北地》（老藤）、《金枝》（邵丽），当代长篇观察六篇，包含：孟繁华-《洛城花落》（周大新），汪政、项静-《烟火》（王松），谢有顺、何同彬-《有生》（胡学文），潘凯雄-《五湖四海》（石钟山），杨庆祥-《文城》（余华），程德培-《民谣》（王尧）。《当代》杂志于2004年起创办的长篇小说选刊，每逢双月1日出版。每期选刊从近期出版或原创的上千部作品中进行选择，精选出最少两部长篇小说贡献给读者。《当代长篇小说选刊》和《当代》一样，坚持现实主义的办刊标准，实践“文学记录中国”的杂志精神，为读者提供更多更好的长篇精品。,8,833,0,14,https://wfqqreader-1252317822.image.myqcloud.com/cover/536/37653536/s_37653536.jpg
故事会（文摘版·2022年7月刊）,2022-07-08 00:00:00,期刊专栏-文学,《故事会》文摘版追求感人、平实、逗趣、知性，从报刊、书籍、网络上选取展现都市人生活、奋斗、亲情和事业的作品，兼具值得一读的海外、历史、名人及科普故事，作品风格力求阳光、新颖、易读、信息量丰富，不仅是一本现代都市的故事读本，也是青年学生了解社会、拓展见识、提高文字素养的好选择。,3,0,0,5.4,https://wfqqreader-1252317822.image.myqcloud.com/cover/103/44652103/s_44652103.jpg
当代长篇小说选刊（2021年1期）,2021-02-01 00:00:00,期刊专栏-文学,人民文学出版社《当代长篇小说选刊》杂志2021年第一期，刊载长篇小说《有生》（胡学文）、《群山呼啸》（季宇），当代长篇观察九篇，包含：白烨-《荒漠里有一条鱼》（赵本夫）、阎晶明-《生死守护》（张平）、贺绍俊-《暂坐》（贾平凹）、赵松-《南货店》（张忌）、陈培浩-《烟火漫卷》（迟子建）、项静-《四象》（梁鸿）、张屏瑾-《一把刀，千个字》（王安忆）、沈杏培-《笑的风》（王蒙）、晓林子悦-《雾行者》（路内）。《当代》杂志于2004年起创办的长篇小说选刊，每逢双月1日出版。每期选刊从近期出版或原创的上千部作品中进行选择，精选出最少两部长篇小说贡献给读者。《当代长篇小说选刊》和《当代》一样，坚持现实主义的办刊标准，实践“文学记录中国”的杂志精神，为读者提供更多更好的长篇精品。,6,767,0,14,https://wfqqreader-1252317822.image.myqcloud.com/cover/43/36607043/s_36607043.jpg
《当代》杂志（2021年1期）,2021-01-01 00:00:00,期刊专栏-文学,人民文学出版社《当代》杂志2021年第一期，刊载长篇小说《我和我的命》（梁晓声），中短篇小说《瓦猫》（葛亮）、《舅舅在母亲心中》（阿宁）、《蓝烟囱》（肖铁）、《正月初六》（阿郎），人民文学出版社七十周年板块《我与人文社，素交三十年》（李鸣生），讲谈《一只鸟飞多高才能真正自由——关于陈衡哲》（张莉），故宫谈艺录《此心安处是吾乡》（祝勇），文学拉力赛传真——2020年第六站冠军揭晓及读者来信选登。,5,836,0,14,https://wfqqreader-1252317822.image.myqcloud.com/cover/963/36092963/s_36092963.jpg
