title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
锻炼,2022-06-01 00:00:00,生活百科-体育,"我们是为休息而生，还是为跑而生？
跑步会毁了你的膝盖吗?
哪种运动项目蕞适合我？
懒惰是不正常的行为吗？
每晚都需要睡够8个小时吗？
我们可以跑得又快又远吗？
体育等于锻炼吗？
在不算太遥远的过去，我们那些狩猎采集者、农耕者祖先，为了获得足够的食物，每天需要进行数小时的身体活动，偶尔也会为了娱乐或者社交而做游戏或者跳舞，但没人会为了健康而奔跑或者行走几千米。锻炼只是人类进化过程中近期才出现的现象。哈佛大学进化生物学家丹尼尔·利伯曼凭借自己多年在世界各地的研究与经验，向我们讲述为什么我们从未进化出锻炼的本能。
在这本打破神话的书中，利伯曼告诉我们，锻炼，并不是人类的本能。利伯曼从人类学和进化学的角度探讨了我们的身体，破解了关于锻炼的12个谬误，教我们可以正确地对待自己的身体并进行正确的身体活动，帮助那些对锻炼感到焦虑、困惑和纠结的人们把锻炼重新放到正确的位置上。",8,831,0,98.91,https://weread-1258476243.file.myqcloud.com/weread/cover/72/3300020372/s_3300020372.jpg
囚徒健身：用失传的技艺练就强大的生存实力,2013-10-01 00:00:00,生活百科-体育,这不是一本教你练出“可爱肌肉”的书，而是一本教你练出能用的力量、极限的力量、生存的力量的书。作者保罗?威德在美国最严酷的监狱中度过了19年，在其中逐渐挖掘出了一套最古老的健身法，在商业社会中早已失传的力量哲学，并凭此成为了地球上最强壮的人之一——这让他得以有尊严地生存下来。出狱之后，他把这套失传的技艺整理并公之于世——这是他带给我们的最珍贵礼物,9,826,0,12.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/578/750578/s_750578.jpg
运动改造大脑,2014-04-01 00:00:00,生活百科-体育,　　为什么有些人成绩好，人缘也好？为什么有些人会玩，也会念书？因为他们的大脑结构不一样！ 　　想改造失控的大脑吗？快系上你的慢跑鞋，就能工作顺利、学业进步、心情好！ 　　做事不顺利，压力山大，抑郁缠身，忘东忘西、无法专注，紧张焦虑，请注意，你的脑细胞开始变少、海马变瘦、突出萎缩、血清素快要不够用了！ 　　听听哈佛医学院教授瑞迪怎么说！《运动改造大脑》首度公开革命性的大脑研究，透过美国高中的体育改革计划、真实的案例与亲身经历、上百项科学研究证实，运动不只能健身、锻炼肌肉，还能锻炼大脑，改造心智与智商，让你更聪明、更快乐、更幸福！运动能刺激脑干，提供能量、热情和动机，还能调节脑内神经递质，改变既定的自我概念，稳定情绪，增进学习力。 　　请别再久坐、抑郁、碎碎念、想不停，身体只要动起来，就能增长脑细胞、避开消极中枢，重新开拓新回路，排除诸如焦虑、抑郁、ADD、成瘾、经前综合征等困扰，还能减缓老化，预防阿尔茨海默病！　　 　　几十年前，库珀发现了运动与心脏的奥秘，瑞迪则在《运动改造大脑》一书中，通过确凿的证据、大量突破性研究揭示了运动与大脑的联系。所以，动起来吧！你的大脑会感谢您的付出，并加倍回报给你。 　　别怀疑，你绝对有能力改造自己的大脑！想改善智商与心智吗？先穿上你的慢跑鞋吧！,25,774,0,9.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/393/713393/s_713393.jpg
施瓦辛格健身全书,2012-01-01 00:00:00,生活百科-体育,这本书包含健身所有方面的一切知识：从健身的背景知识和基础理论、对训练中各种因素的分析、适合各个阶段的训练计划，到对身体各个部位的分析、各种练习动作的详细讲解和对身体薄弱区域的改善建议，最后还有关于如何安排饮食和营养计划、如何避免和处理受伤的详细内容。书中有大量的插图，由施瓦辛格及其他的著名健美运动员做示例，让你更好地理解身体的各个部位和各种动作的要领，助你打造完美的身材。,9,905,0,68.36,https://wfqqreader-1252317822.image.myqcloud.com/cover/978/30181978/s_30181978.jpg
硬派健身,2015-06-01 00:00:00,生活百科-体育,十年前，我开始了自己的健身训练。然而，我却走了不少弯路，听信了不少错误的传言。十年间，我发现这世界有太多的人云亦云，太多的误人子弟，太多的急功近利，太多的寡廉鲜耻。十年后，此时、此地，我愿《硬派健身》，成为你的第一本健身书。,7,736,0,17.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/530/815530/s_815530.jpg
跑步治愈,2020-10-01 00:00:00,生活百科-体育,这是一本从日常的具象跑步中抽象出逻辑框架，以运动学、神经科学、心理学、生物学、医学等基础学科为依据，指导大众如何通过跑步让自己变得更好的工具书。跑步作为一种身心整合之道，深刻地影响了人类的生活、改变了人类的生命，还引发了诸多与跑步相关的身体和文化现象。开篇即从各个角度和学科，对跑步为何以及如何渗透我们的生活和文化，进行了多方位全面的解释和梳理：从影响大脑到治愈心灵，从形成独立的经济板块到成为一项旅游活动，侧面揭示现象背后的多重文化要素。拥有跑起来的动机或许还不够，展晖在书中会结合心理学、生物学、运动学、哲学和经济学等学科，无死角的指出民间流传的对跑步的错误认知。读完你会发现你关于跑步速度、力量、时间、工具等等的认知都错了。拥抱科学的态度，其实跑步是一件令人上瘾的事儿。,14,788,0,29.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/528/33846528/s_33846528.jpg
跑步圣经（第2版）,2018-08-16 00:00:00,生活百科-体育,《跑步圣经》这本书自2004年在德国出版以来，畅销十余年，稳居亚马逊网站运动类图书畅销榜前列。它由冠军教练精心撰写，以其卓越的科学性、系统性与实用性使欧洲百万读者受益，被无数跑步爱好者奉为经典之作。相信你可以在本书的指导下达成目标、超越自我。本书包含深入浅出的生理学知识、详细的跑步技术分解图、逐周的训练计划、合理的饮食搭配指南以及伤痛预防措施，帮助读者全方位提升速度、耐力、灵活性与力量。人天生就是跑步者，让这本书伴你奔跑一生！,33,767,0,27.74,https://wfqqreader-1252317822.image.myqcloud.com/cover/961/30181961/s_30181961.jpg
力量训练基础,2016-09-01 00:00:00,生活百科-体育,这是一本介绍力量训练的经典书籍，确切地说，它是一本介绍杠铃训练方法的经典之作。《力量训练基础》只介绍了五种主要的杠铃训练动作——五种被认为最有用的杠铃动作，深蹲、推举、卧推、硬拉和力量翻。作者以科学的态度和精益求精的精神，把这五种基本动作和杠铃训练的体系以正确的方式讲解得淋漓尽致。自从2005年出版以来，《力量训练基础》成为了有关举重训练的最畅销的书籍之一，获得了读者的高度认可。此外，健身领域的专家同样给予了这本书高度的评价。,17,917,0,39.62,https://wfqqreader-1252317822.image.myqcloud.com/cover/926/30181926/s_30181926.jpg
静坐的科学、医学与心灵之旅,2021-07-01 00:00:00,生活百科-体育,掌握“调节副交感神经”“开发大脑神经新回路”“让荷尔蒙活跃”这些科学方法，你所苦求的各种身心好状态，不再是难事。强大的方法背后必有真理存在：先让自己静下来。,14,859,0,51.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/299/39652299/s_39652299.jpg
高级运动营养学,2019-01-08 00:00:00,生活百科-体育,世界各地的精英运动员都知道丹·贝纳多特（Dan Benardot）博士，并渴望得到他的指导，因为他们知道，他的真知灼见可能是运动员能否获得金牌的决定性因素。来自各个大洲的很多高等院校都邀请丹前去讲学，他们希望学生们能师从最好的专家。在佐治亚州立大学（Georgia State University），我们只知道他是丹——一位了不起的朋友，一位出色的同事，一位忠实的丈夫，以及世界上最棒的孩子的父亲。《高级运动营养学》的第1 版非常成功。它被广泛应用于各种教学场合，以及拥有不同身材、体型和技能的运动员。精英运动员和普通运动员都在使用这本书。它已经成为运动营养师和运动科学专业的学生学习人类运动表现相关营养知识的必读书。对那些需要指导运动员如何在比赛中取得优势的教练员而言，它同样是首选读物。但就像每一本成功的图书一样，它需要进行一些修订和更新。这正是《高级运动营养学（第2 版）》如此重要的原因。,28,831,0,83.98,https://wfqqreader-1252317822.image.myqcloud.com/cover/899/30181899/s_30181899.jpg
