title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
生活蒙太奇,2020-07-01 00:00:00,艺术-绘画,《生活蒙太奇》是一部充满奇妙质感的绘本作品，每天都有无数年轻人转发或评论它的精彩画面或动图。#生活蒙太奇#在全球社交媒体上有超过1345万以上的话题阅读（包括但不限于新浪微博、Instagram等），关于静下来，看见平凡生活的美好，治愈自己，以及重新出发。《生活蒙太奇》的作者天然是一位从三岁开始专心画画的年轻女孩。那些在普通人看来平淡无奇的日子：晒在午后三点的阳光下，雨天一个人读书，抬头遇见初雪……作者把这些单独静止的画面，通过独特想象力和洞察力的艺术加工，画成可以阅读的，充满故事感的连续绘画作品，仿佛一部生活电影的蒙太奇（通过对生活片段的拼接，产生独特意义）。读者静下心来读一读，会从画面故事里得到一种前所未见的生活平静之美和细节之美。,32,925,0,42.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/727/33514727/s_33514727.jpg
梵高手稿,2018-04-01 00:00:00,艺术-绘画,自学画画的梵高，对自己的不足十分了解，但正如他在信中所言，只要坚持下去，相信自己可以掌握那些绘画技巧，不断的画画，那么他的人生便是有意义的。梵高焦虑着，怀疑着，痛苦着，也狂喜着，但他却从未让自己对绘画的激情被充满悲剧性的人生影响过，靠着不懈的努力与天赋的才华，梵高以旺盛的精力创作出了无数已成为无价之宝的作品。在这本全新翻译的梵高书信集中，纽约大都会艺术博物馆的安娜·苏，从近千封书信中精心挑选了150多封，撷取了梵高在其中描写这些作品创作、构思过程的片段，以及他对艺术、艺术家、文学、宗教、景观等众多话题的独特见解，配以信中提到的画作以及书信原稿作为参照，向所有热爱梵高的人展示出了一个不一样的梵高。在这本书里，梵高没有被生活琐事所侵扰，没有精神的痛苦与压力。在这里，梵高只属于绘画，属于艺术，属于那片金黄的麦田与飞过群鸦的天空。,5,929,0,115.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/921/29629921/s_29629921.jpg
有一年（《生活蒙太奇》作者的插画作品集）,2022-04-01 00:00:00,艺术-绘画,"这是一个关于美的创作试验：连续365天每天3小时的生活速写。
《有一年》是知名插画师、热门漫画作品《生活蒙太奇》作者天然的插画作品集。 
这是一个生活观察者对美好生活无时无刻的记录。
同时也是一个关于美的创作试验：连续365天每天3小时的生活速写，700多幅作品合集，呈现如诗如画的有一年。 
这一年里，天然的画笔带我们光临了生活中无数的美好场景和温柔角落。
在冬日的书店，阳光透过窗户洒进，有慵懒的猫咪和温暖的错觉；在半梦半醒的清晨，大家步履不停地梦游着奔向远方；儿时的旧物不经意地展现在眼前时，被冻结的时间似乎躲藏在弹珠里的气泡中；而猫咪们的慵懒，总是幸福得迷迷糊糊…… 
天然说：“有一年，有多彩的音律，有诗歌和细语，以及追逐时光时洒下的点点斑斓。”
《有一年》，不只是画笔记下的那一年，更是我们所有人的任何一年。
期待与各位一起回首这《有一年》的漫漫时光。",38,908,0,107.99,https://weread-1258476243.file.myqcloud.com/weread/cover/47/3300017547/s_3300017547.jpg
成人也要读绘本（共10册）,2022-03-01 00:00:00,艺术-绘画,绘本集共10册，分别为《生活蒙太奇》《我也不想这样》《看你一眼就会笑》《欢迎来到欲望商店》《你会不会喜欢我》《你可以帮我挠挠背吗？》《第一天上学，我好紧张》《阿狸·尾巴》《阿狸·梦之城堡》《父与子全集》 《生活蒙太奇》：一部充满奇妙质感的绘本作品，每天都有无数年轻人转发或评论它的精彩画面或动图。那些在普通人看来平淡无奇的日子：晒在午后三点的阳光下，雨天一个人读书，抬头遇见初雪……作者把这些单独静止的画面，通过独特想象力和洞察力的艺术加工，画成可以阅读的，充满故事感的连续绘画作品，仿佛一部生活电影的蒙太奇（通过对生活片段的拼接，产生独特意义）。读者静下心来读一读，会从画面故事里得到一种前所未见的生活平静之美和细节之美。 《欢迎来到欲望商店》：记录奇奇怪怪的想法和小欲望，无论欲望是否被满足，你都能从本书中找到快乐！  《看你一眼就会笑》：小鳄鱼盖朵和他可爱的小伙伴们的疗愈故事！200页趣味暖心漫画，或温馨、或可爱、或搞笑、或黑色幽默……集创意脑洞和可爱疗愈于一体，CHOW希望能传递温暖善意、开心快乐给大家。  《我也不想这样》：那个不想加班的人，明明就是自己啊！戳中笑点、泪点、痛点，击败每一次惶恐不安！ 我们都在和生活较劲想要变得更好，也会偶尔赌气放任自己不再奋力前行。但谁说人生就不是由这样那样的自己构成的呢？任何人，在任何时候，都该为最真实的自己感到自豪和骄傲。 《你会不会喜欢我》：这是一本把你萌到笑哈哈，笑完又有些想要哭的漫画。这是一本让你看到自己的漫画。可能我们每个人心中都住着一只企鹅：呆萌、内向、害羞、天真、腿短。偶尔挨打，沮丧的时候靠暴饮牛奶缓解压力。但我们也在努力经营自己的小小幸福：认真抓鱼、认真玩耍、认真照顾比自己更弱小的豆豆，认真恋爱，认真等待。 《你可以帮我挠挠背吗？》：小象的后背实在是太痒了，可是他够不到自己的后背。他想请大家帮一帮他，可却没有人能胜任这项工作。乌龟太懒，蜗牛又太黏，鳄鱼……小象可不敢让他来帮忙。小象该怎么办呢？会有人来帮帮他吗？  本书沿袭莉兹.克里莫一贯的萌系幽默风格，一个个呆萌、蠢萌、冷萌的小动物，为自己傲娇发声，让读者忍俊不禁，轻松解压。,316,739,0,143.99,https://weread-1258476243.file.myqcloud.com/weread/cover/10/3300013210/s_3300013210.jpg
画家之眼,2016-12-01 00:00:00,艺术-绘画,本书展示了天才的艺术家如何思考，高明的画家如何观察世界。同时也启示普通人如何像获取灵感。这不仅是一样教你怎么绘画的书，更是一本怎么样从不一样的角度去观察和思考世界的书，从而带大家发行不一样的世界，使人们创作出不一样的美。我们普通人看到的世界没什么大的差别。但画家看到的世界是不一样的。比如梵高的世界，莫奈的世界。即使世界是荒芜一片的沙漠，画家也能帮你看出不样的世界。,4,937,0,19.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/319/40935319/s_40935319.jpg
西方绘画大师经典佳作：莫奈（高清细节版）,2015-02-01 00:00:00,艺术-绘画,《西方绘画大师经典佳作：莫奈（高清细节版）》图文并茂地叙述了莫奈的生平与艺术创作经历，共收录莫奈超过100幅具代表性的作品。这些作品的创作贯穿了他的一生，从初露锋芒的青年时期，到迷恋印象派的中年时期，再到后来艺术升华的中老年时期，以及后花园世界的晚年时期，包括其永垂不朽的《睡莲》、《日本桥》等系列作品。《西方绘画大师经典佳作：莫奈（高清细节版）》对莫奈及其作品进行了系统性的介绍，阅读本书读者可以领略莫奈画作的限魅力。书中的图片极其精美，观赏性，对读者来说是一场难得的视觉盛宴。本书适合艺术爱好者及各大院校艺术相关专业的学生阅读。,9,828,0,39.2,https://wfqqreader-1252317822.image.myqcloud.com/cover/258/22691258/s_22691258.jpg
名画日历·2020,2019-10-01 00:00:00,艺术-绘画,《名画日历2020》为畅销艺术普及作家顾爷重磅新作，送给艺术爱好者的2020年专属日历，366天，每天一幅世界名画，每天一个名画故事，将艺术融入生活，带你读懂艺术简史。一本值得永久珍藏的“移动美术馆”。,40,742,0,47.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/992/29599992/s_29599992.jpg
不被定义的女孩,2022-06-01 00:00:00,艺术-绘画,希望所有女孩都能学会爱自己，在标签化的审美标准下不被定义，找寻属于自己的生活态度与生活方式。  本书是独立插画师ASEN创作的以“不被定义的女孩”为主题的作品合集，她笔下的主人公有着精致小巧的五官、丰腴的身材，充满着迷人的法式风情。她希望可以通过自己的画笔、通过这些作品让大家告别标签化的审美标准，不受外界影响，努力提升自己，丰富自己的内心世界。,3,872,0,43.5,https://weread-1258476243.file.myqcloud.com/weread/cover/69/3300018869/s_3300018869.jpg
萌系手绘简笔画，记录生活的小美好,2020-06-01 00:00:00,艺术-绘画,循序渐进式教学，每一个步骤都有清晰的思路指导。丰富的应用场景，实用满分，涵盖生活的方方面面。轻松掌握知识点，贴心指导，基础技能一次性加满。细腻的版式风格，每一个章节都有自己专属的颜色。优妮简笔画，抖音平台头部简笔画教学账号，用萌翻天的手绘作品创作优质视频教学课。总播放量超3亿次，1000万+人次点赞，单个教学视频超过202万人喜欢。“网红漫画家·私享课”系列，用价值让兴趣发光。在抖音和微博，至少有300万人跟着优妮学画画，双平台定期更新热门画画视频教程！可可爱爱，一学就会！万物皆可简笔画，除了丰富的教学内容，有趣的教学步骤，还有珍贵的私人绘画历程分享。网红漫画家们带来有温度、有价值的绘画技法教程，快来跟大神们一起学画画！,10,912,0,20.8,https://wfqqreader-1252317822.image.myqcloud.com/cover/103/31392103/s_31392103.jpg
慢慢来，比较快：成为插画师的30周学习手册,2019-11-01 00:00:00,艺术-绘画,这是一本写给插画师的学习手册，主要内容包括绘画前期的准备、习惯的养成、素材的积累、风格的形成、自我的创作，以及寻找突破和探索性的尝试等，用 30周的时间，带你了解插画师的成长心得。“慢慢来，比较快”，书中含有大量创作插画，配合深入浅出的讲解，帮助读者慢慢培养自己的绘画习惯，最终可以进行独立的个人创作。  本书适合想学习画画或想成为插画师的人，也适合有一定基础，但是多年不曾练习，想重新拾起绘画技能的朋友。愿本书能够帮到你，离梦想更近一步。,9,886,0,26.6,https://wfqqreader-1252317822.image.myqcloud.com/cover/241/30179241/s_30179241.jpg
