title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
黄易全集02：大唐双龙传（全20册）,2022-03-07 00:00:00,精品小说-武侠经典,隋末大乱，各地豪杰揭竿而起，割地称王；但隋炀帝荒淫如故，心中所系只是一本道家宝典《长生诀》。不料这本无人读懂的书，却意外被两个三餐难继的扬州街头小混混扒走。 寇仲与徐子陵从籍籍无名到震动江湖，由四处逃窜至争夺天下，更以其天纵之资，凭其机缘运数，最后成为了无可比拟的绝代大宗师，改变了整个历史的走向⋯⋯,22,913,0,299,https://weread-1258476243.file.myqcloud.com/weread/cover/5/3300012105/s_3300012105.jpg
古龙作品大全集（72册）,2013-04-01 00:00:00,精品小说-武侠经典,史上值得收藏的古龙文集，大陆合法授权华丽新版。囊括《小李飞刀》系列、《楚留香新传》四部曲、《陆小凤传奇》七部曲、《七种武器》四部曲，以及《萧十一郎》《火并萧十一郎》！作为当代华语文坛罕有的大师，古龙的作品是真正深入街头巷尾的文学经典。古龙的小说创造性地将戏剧、推理、诗歌等元素带入传统武侠，又将自己独特的人生哲学融入其中，阐述其对中国社会的独特洞见，将武侠小说引入了经典文学的殿堂。小李飞刀、陆小凤、楚留香等众多形象，早已成为当代中国人精神生活的重要角色。一句“人在江湖，身不由己”，流传之广，几乎成为中国人常见的口头禅，对当代中国人的价值观产生了深远的影响。,495,865,0,584.68,https://wfqqreader-1252317822.image.myqcloud.com/cover/629/827629/s_827629.jpg
黄易全集05：日月当空（全18册）,2022-04-01 00:00:00,精品小说-武侠经典,武曌出自魔门，却把魔门连根拔起，大肆屠戮魔门中人，以完成将魔门两派六道魔笈《天魔策》十卷重归於一的梦想。同时，希望将帝位传于武氏子弟，颠覆李唐王朝，朝廷、宫廷斗争不断。武周王朝周边各族也蠢蠢欲动，以期入主中原跃土。得到北方突厥势力支持的大江联以及魔门残余亦在江湖上兴风作浪，故事由此展开。,38,789,0,299,https://weread-1258476243.file.myqcloud.com/weread/cover/34/3300017134/s_3300017134.jpg
梁羽生武侠作品全集（共34本）,2012-08-01 00:00:00,精品小说-武侠经典,新派武侠小说的开山祖师梁羽生三十四部经典作品。对照香港报纸连载等多个版本查漏补缺。包括：《女帝奇英传》、《大唐游侠传》、《龙凤宝钗缘》、《慧剑心魔》、《武林天骄》、《飞凤潜龙》、《狂侠天骄魔女》、《瀚海雄风》……,5,800,0,828,https://wfqqreader-1252317822.image.myqcloud.com/cover/89/22781089/s_22781089.jpg
黄易全集03：边荒传说（全15册）,2022-03-01 00:00:00,精品小说-武侠经典,"边荒既是英雄豪杰死无葬身之所，亦为悍不畏死之人成名立万的舞台。前一刻或许是乱世中的桃花源，下一刻就会变成修罗地狱。在魏晋之际的铁血时刻，燕飞、刘裕、拓跋珪置身于这混乱的时代开始了他们人生的舞台，边荒传说正是由那里开始。
北望边荒犹万里，狂歌烈酒惜凋残！英雄美人今何在？孤石大江独钓鱼。",67,875,0,199,https://weread-1258476243.file.myqcloud.com/weread/cover/19/3300014619/s_3300014619.jpg
吉祥纹莲花楼·完美典藏版,2014-04-01 00:00:00,精品小说-武侠经典,《朱雀卷》：一步天下，一步江湖，昔日惊才绝艳的“四顾门”门主李相夷，如今慵懒落魄的吉祥纹莲花楼楼主李莲花，云泥之别的背后隐藏着怎样的故事？碧窗上舞动的鬼影，害人性命的不祥嫁衣，佛寺密道中的剥皮焦尸，能凭空杀人的断臂……一件件离奇古怪的命案令人不寒而栗，是意外还是鬼魅？是无心巧合还是居心叵测？隐世的李莲花踏上了寻凶之路，但看这位武功不再、穷困潦倒的绝代剑侠如何妙语解迷案，一笑对人生。《玄武卷》：昔日尘烟染上头，一抔黄土万事休。曾经恩爱缠绵的女子即将嫁作他人妇，衣冠冢前、黄蝶坟后，李莲花将作何选择？荒野无人的地洞里惊现骷髅，传闻中藏有绝世宝藏和武功的“黄泉府”究竟在何处？女宅之中莺歌燕舞、风情各异的绝色佳人，及精妙绝伦的菜肴令男人们流连忘返，一夜春风之后，却现恐怖碎尸。一块针法细密、制作精良的绣花人皮将引出怎样的故事？李莲花即将看穿怎样的恩怨情仇？《青龙卷》：竹林中弥散浓雾，浓雾中隐现灯火，那等候在灯火之处的，是人是鬼？江湖少年疯狂寻觅“龙王棺”，为求与绝代佳人角丽谯有一夜之缘，但那龙王棺下隐藏着怎样的阴谋诡计？一间荒凉的客栈，几间染血的房间，一个无坟的村落，李莲花将在此遭遇怎样的险境？又将解开怎样骇人听闻的故事？一头母猪悬梁自尽，一只公猪切腹而亡，惊骇又可笑的背后，是谁的面具铮然破裂？李莲花首对横剑而立的绝代高手，他会挥剑以对吗？《白虎卷》（大结局）：写着一连串不明词语的纸片引出皇家百年秘史，触摸到谜底的人都得死。一个鬼面妖身的四足兽连杀几人，那是千年狐妖，或是白虎大王？一首老太监的遗诗，暗示着皇族隐秘，在长乐塔下，一切都将真相大白。往事飘摇，故人来访，一柄宿命的长剑刺入李莲花的胸口，他能起死回生吗？烈焰焚天，江湖祸乱之源“鱼龙牛马帮”灰飞烟灭，云比丘通敌背叛，将被处死，谁能救他？宿命之战，海天之际，是谁姗姗来迟、终生毁约？正是“荆门蓬草扫坟花，十里迢迢赴碧纱。斯人已是石中火，何事隙中寻少骅？”玉壶西映木兰杯，一床明月照窗扉。此剑已当沉西海，却问白杨悲不悲？欲知李莲花终局，请看《吉祥纹莲花楼》大结局《白虎卷》。,20,877,0,21.9,https://wfqqreader-1252317822.image.myqcloud.com/cover/359/30581359/s_30581359.jpg
黄易全集04：覆雨翻云（全12册）,2022-03-01 00:00:00,精品小说-武侠经典,元末明初，退隐20年的魔师庞斑，带领门下弟子重出江湖，掀起滔天巨浪。而唯一能与他抗衡的浪翻云，却自爱妻纪惜惜身故后万念俱灰，剑道至境不再。        江湖腥风血雨，年轻一辈的杰出人物亦正奋勇侠气！出身卑贱的韩柏、慈航静斋传人秦梦瑶、英勇傲气的风行烈……生离死别，爱恨情仇，命运的旋涡将他们卷在了一起。        唯能极于情，故能极于剑！,16,875,0,168,https://weread-1258476243.file.myqcloud.com/weread/cover/20/3300014620/s_3300014620.jpg
沧海（全集）,2012-10-01 00:00:00,精品小说-武侠经典,昆仑之巅，热血重燃。正史？野史？与江湖有关的明朝那些事儿！东岛四尊，西城八部，六大劫奴，双子星卷入强手对决，生死试炼将启！欲与金庸试比高！,23,822,0,10.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/672/908672/s_908672.jpg
古龙：陆小凤传奇（全7册）,2018-08-01 00:00:00,精品小说-武侠经典,读古龙长大的人，都活得很酷！在《陆小凤传奇》里，酷就是根本懒得当大侠。读懂陆小凤，也就读懂了古龙！113部电影、104部电视剧、32个游戏、14部漫画不是真正的古龙，刀一样、诗一样、风一样、酒一样的文字才是真正的古龙！古龙诞辰80周年纪念版！《陆小凤传奇》系列全七册，囊括《陆小凤传奇：金鹏王朝》《陆小凤传奇2：绣花大盗》《陆小凤传奇3：决战前后》《陆小凤传奇4：银钩赌坊》《陆小凤传奇5：幽灵山庄》《陆小凤传奇6：凤舞九天》《陆小凤传奇7：剑神一笑》七部经典 。人人都说陆小凤是大侠，其实他根本懒得当大侠，却因为好管闲事。被一次次卷入迷离诡异的案件中。陆小凤是一个人， 是一个最能令你永难忘怀的人 。他重情重义，却风流成性。 他是个天生懒人，却好管闲事。 他屡次被卷入危险，却总能逢凶化吉。 他是个混蛋，却是个可爱的混蛋。 江湖人称陆小凤“陆大侠”， 可他从不把自己当大侠， 他不想当大侠， 他讨厌当大侠， 他根本懒得当大侠。,20,824,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/701/23796701/s_23796701.jpg
黄易全集07：天地明环（全11册）,2022-04-01 00:00:00,精品小说-武侠经典,黄易绝笔之作！《盛唐三部曲》精彩之高潮！含23卷手写遗稿。天下间最变幻莫测的战场！无主之地，无定之河，五百鹰旅，抢占统万城！邪帝前世今生之谜，符太大明尊教之秘，李隆基天子视野，高力士弄臣手段。武侠玄幻，风云历史，盛唐人物风采！这段武周过渡往盛唐的路上，处处凶险，却又妙趣横生。武则天坐绝关，是否成功破空而去？龙鹰如何拨乱反正？李隆基如何重塑大唐？妖氛罩天，明空还否？,43,798,0,119,https://weread-1258476243.file.myqcloud.com/weread/cover/56/3300017256/s_3300017256.jpg
黄易全集06：龙战在野（全18册）,2022-04-01 00:00:00,精品小说-武侠经典,《盛唐三部曲》第二部！因中宗回朝，武则天渐被孤立。龙鹰的生命也起了翻天覆地的大变化，“大周国宾”的风光日子一去不返，唯有再战于野，方能于无边无际的惊涛骇浪中力挽狂澜。荒漠古道、异族环伺，五百精骑，踏上精彩征途。新的传奇，由此展开!,36,827,0,299,https://weread-1258476243.file.myqcloud.com/weread/cover/55/3300017255/s_3300017255.jpg
古龙经典小李飞刀（共9册）,2018-07-01 00:00:00,精品小说-武侠经典,读古龙长大的人，都活得很酷！在《小李飞刀》里，酷就是永远追求心中的正义。没读小李飞刀，就等于没读古龙！小李飞刀，例不虚发！小李飞刀从不轻易出手，但只要一出手，刀一定在它该在的地方。小李飞刀不只是一种武器，也不只是一个人，而是一种精神力量，人们只要看到小李飞刀的出现，就知道强权必将被消灭，正义必将伸张。每个永远追求正义的人，心中都有一把小李飞刀。《小李飞刀》系列中登场的经典人物：李寻欢、阿飞、林诗音、林仙儿、叶开、傅红雪。,3,853,0,49.59,https://wfqqreader-1252317822.image.myqcloud.com/cover/210/22926210/s_22926210.jpg
